SMILES,property,source
c1ccc2c(c1)c1ccccc1n2Cc1ccc(Cn2c3ccccc3c3ccccc32)cc1,SA_logP_target,chembl/best_from_chembl
CCOC(=O)c1ccc(NCCCCCCCCCCCCCCC(C)C)cc1,SA_logP_target,chembl/best_from_chembl
COc1ccccc1CNCCCCCCNCCCCCCCCCCNCCCCCCNCc1ccccc1OC,SA_logP_target,chembl/best_from_chembl
COc1ccccc1CNCCCCCCCNCCCCCCCCNCCCCCCCNCc1ccccc1OC,SA_logP_target,chembl/best_from_chembl
COc1ccccc1CNCCCCCCCCNCCCCCCNCCCCCCCCNCc1ccccc1OC,SA_logP_target,chembl/best_from_chembl
O=C1C(=Cc2cccc(Oc3ccccc3)c2)c2ccccc2N1c1c(Cl)cccc1Cl,SA_logP_target,chembl/best_from_chembl
Cc1ccc(-c2ccccc2SCC(=O)Nc2ccc(-c3ccc(CC(=O)O)cc3)cc2Cl)c(Cl)c1,SA_logP_target,chembl/best_from_chembl
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,SA_logP_target,chembl/best_from_chembl
CCCCCCCCCCCCCCCCNc1ccc(C(=O)NS(=O)(=O)c2ccc(C)cc2)cc1,SA_logP_target,chembl/best_from_chembl
CC(C)c1ccc(-c2cc(NC(=O)C(Cl)Cl)cc(-c3ccc(C(C)C)cc3)c2)cc1,SA_logP_target,chembl/best_from_chembl
CCSCCCCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1,SA_logP_target,chembl/best_from_chembl
CCCCCCCCCCc1ccc(NC(=O)c2ccccc2-c2ccccc2C(=O)O)cc1,SA_logP_target,chembl/best_from_chembl
CCCCCCCCCCCCCCCCNc1ccc(CCCC(=O)O)cc1,SA_logP_target,chembl/best_from_chembl
O=C(Nc1cccc(-c2ccc(-c3nc4cc(F)ccc4[nH]3)cc2)c1)Nc1ccc(Cl)c(Cl)c1,SA_logP_target,chembl/best_from_chembl
O=C(Nc1ccc(-c2cccc(-c3nc4cc(F)ccc4[nH]3)c2)cc1)Nc1ccc(Cl)c(Cl)c1,SA_logP_target,chembl/best_from_chembl
c1ccc2c(c1)C(=Nc1ccc(N=C3c4ccccc4-c4ccccc43)cc1)c1ccccc1-2,SA_logP_target,chembl/best_from_chembl
Clc1ccc2nc(-c3cccc(Oc4ccccc4)c3)cc(-c3ccccc3)c2c1,SA_logP_target,chembl/best_from_chembl
CCCCCCCCCCCCCCCCCCCC[n+]1ccccc1,SA_logP_target,chembl/best_from_chembl
CCOC(=O)c1ccc(NCCCCCCCCCCCCCCCCSC(C)=O)cc1,SA_logP_target,chembl/best_from_chembl
c1ccc2c(c1)Sc1ccccc1N2CCCN1c2ccccc2Sc2ccccc21,SA_logP_target,chembl/best_from_chembl
CC(C)(c1cn(Cc2ccccc2)c2ccccc12)c1cn(Cc2ccccc2)c2ccccc12,SA_logP_target,chembl/best_from_chembl
O=C1C(=Cc2ccc(-c3ccc(F)cc3)cc2)CCCC1=Cc1ccc(Cl)c(Cl)c1,SA_logP_target,chembl/best_from_chembl
CCCCC1CCC(c2ccc(NC(=S)Nc3cccc(C(F)(F)F)c3)cc2)CC1,SA_logP_target,chembl/best_from_chembl
CCSCCCCCCCCCCCCCCCCOc1ccc(C(=O)O)cc1,SA_logP_target,chembl/best_from_chembl
Cc1cc2nc(-c3cccc(Oc4ccccc4)c3)cc(-c3ccccc3)c2cc1C,SA_logP_target,chembl/best_from_chembl
O=C(C(=Cc1ccc(Br)cc1)SCc1ccc(Cl)cc1)c1ccc(Br)cc1,SA_logP_target,chembl/best_from_chembl
c1ccc(CCCn2cc(-c3ccc(-c4ccccc4COc4cccc5ccccc45)cc3)nn2)cc1,SA_logP_target,chembl/best_from_chembl
CCCCCCCCCCCCCCCC(C)(C)Oc1ccc(C(=O)O)cc1,SA_logP_target,chembl/best_from_chembl
c1ccc(CCCCNCc2cc(CNCCCCc3ccccc3)cc(CNCCCCc3ccccc3)c2)cc1,SA_logP_target,chembl/best_from_chembl
O=C(Nc1cccc(NC(=O)Nc2ccc(Br)cc2Br)c1)Nc1ccc(Br)cc1Br,SA_logP_target,chembl/best_from_chembl
Cc1ccc(C2=C(c3ccc(C)cc3)C(c3ccc(C)cc3)=C(c3ccc(C)cc3)C2=O)cc1,SA_logP_target,chembl/best_from_chembl
Cc1c(C)n(Cc2ccc(-c3ccccc3)cc2)c2ccc(C(=O)NCc3cccc(C(C)C)c3)cc12,SA_logP_target,chembl/best_from_chembl
c1ccc2sc(-c3c4ccccc4cc4ccc5ccccc5c34)cc2c1,SA_logP_target,chembl/best_from_chembl
CCCCc1sc(-c2ccc(Oc3ccc(Cl)cc3)cc2)nc1-c1ccc(O)cc1,SA_logP_target,chembl/best_from_chembl
Cc1cccc(Oc2nc(-c3ccc(NC(=S)Nc4ccc(Br)cc4)cc3)nc3ccccc23)c1,SA_logP_target,chembl/best_from_chembl
CN(CCCCCCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,SA_logP_target,chembl/best_from_chembl
CCC(=C(c1ccc(NC(=O)C(C)C)cc1)c1ccc(OC)cc1)c1ccc(Cl)cc1Cl,SA_logP_target,chembl/best_from_chembl
CCCCCCCCCCCCCCCCOc1ccc(C=C(C)C(=O)O)cc1,SA_logP_target,chembl/best_from_chembl
Cc1cc(C)c(NC(=O)N(Cc2ccc(-c3ccccc3)cc2)C2CCCCCC2)c(C)c1,SA_logP_target,chembl/best_from_chembl
CCCCCCCCn1cc(CN2CCCCC2)c2cc(-c3cccc(C)c3)ccc21,SA_logP_target,chembl/best_from_chembl
O=C(O)CCCCCc1ccc(NC(=O)Nc2ccc(Nc3c4ccccc4nc4ccccc34)cc2)cc1,SA_logP_target,chembl/best_from_chembl
COc1ccc(C=Cc2c(-c3ccc(OC)cc3)oc3ccc(-c4ccc(OC)cc4)cc23)cc1,SA_logP_target,chembl/best_from_chembl
C[N+](C)(C)c1cccc(-c2ccc3c(-c4ccc(-c5ccccc5)cc4)cccc3c2)c1,SA_logP_target,chembl/best_from_chembl
C[N+](C)(C)c1ccc(-c2ccc3c(-c4cccc(-c5ccccc5)c4)cccc3c2)cc1,SA_logP_target,chembl/best_from_chembl
C[N+](C)(C)c1ccc(-c2ccc3c(-c4ccc(-c5ccccc5)cc4)cccc3c2)cc1,SA_logP_target,chembl/best_from_chembl
Cc1sc(Nc2ccc(Nc3nc(-c4ccccc4)c(C)s3)cc2)nc1-c1ccccc1,SA_logP_target,chembl/best_from_chembl
Clc1ccc(-c2cc3[nH]c4ccccc4c3cc2-c2ccc(Cl)cc2)cc1,SA_logP_target,chembl/best_from_chembl
O=C(O)CCCCCCc1ccc(C(=O)Nc2ccc(Nc3c4ccccc4nc4ccccc34)cc2)cc1,SA_logP_target,chembl/best_from_chembl
CCCCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1Br,SA_logP_target,chembl/best_from_chembl
O=C(Nc1ccc(-c2nc3ccc(NC(=O)c4cccc5ccccc45)cc3[nH]2)cc1)c1cccc2ccccc12,SA_logP_target,chembl/best_from_chembl
c1ccc2c(CNCCCCNCc3c4ccccc4cc4ccccc34)c3ccccc3cc2c1,SA_logP_target,chembl/best_from_chembl
c1ccc(CN(CCOc2ccc(NC(=Nc3ccccc3)c3ccccc3)cc2)Cc2ccccc2)cc1,SA_logP_target,chembl/best_from_chembl
CCCCCCCCCCCCCCCCSc1ccc(C(=O)O)cc1,SA_logP_target,chembl/best_from_chembl
O=C(Nc1cc(Cl)cc(Cl)c1)c1ccc(C(=O)Nc2cc(Cl)cc(Cl)c2)c2ccccc12,SA_logP_target,chembl/best_from_chembl
O=C(O)c1ccc(C=Cc2ccc3c(-c4ccccc4)ccc(-c4ccccc4)c3c2)cc1,SA_logP_target,chembl/best_from_chembl
CCC(=C(c1ccccc1)c1ccc(NC(=O)C(C)C)cc1)c1ccc(Cl)cc1Cl,SA_logP_target,chembl/best_from_chembl
