SMILES,property,source
CCCCCCCCCCCCCCCCCC=CCl,SA_logP_target,chembl/graph_ga
c1ccc2c(c1)c1ccccc1n2Cc1ccc(Cn2c3ccccc3c3ccccc32)cc1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCCCCSCC,SA_logP_target,chembl/graph_ga
CCOC(=O)c1ccc(NCCCCCCCCCCCCCCC(C)C)cc1,SA_logP_target,chembl/graph_ga
CC(C)CCc1ccc(C(=O)Nc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCNCc1c2ccccc2cc2ccccc12,SA_logP_target,chembl/graph_ga
CC(C)CCCCCCCOC(=O)c1ccc(Cn2c3ccccc3c3ccccc32)cc1,SA_logP_target,chembl/graph_ga
O=C1C(=Cc2cccc(Oc3ccccc3)c2)c2ccccc2N1c1c(Cl)cccc1Cl,SA_logP_target,chembl/graph_ga
COc1ccc(N(c2ccccc2)c2ccc(NC(=O)c3ccc(CCCCCCC(=O)O)cc3)cc2)cc1,SA_logP_target,chembl/graph_ga
Clc1ccc(-c2ccc(-c3cccc(-c4ccccc4)c3)cc2)cc1Cl,SA_logP_target,chembl/graph_ga
CN(CCCCCCCCOc1ccc(-c2cc3ccccc3o2)cc1)CCc1ccccc1,SA_logP_target,chembl/graph_ga
O=C(O)c1ccc(-c2sc(-c3ccc(Oc4ccc(Cl)cc4)cc3)nc2-c2ccc(O)cc2)cc1,SA_logP_target,chembl/graph_ga
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCCNc1ccc(C(=O)NS(=O)(=O)c2ccc(C)cc2)cc1,SA_logP_target,chembl/graph_ga
Cc1cc(C)c(NC(=O)CCCCCCOc2ccc(-c3cc4ccccc4o3)cc2)c(C)c1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCCOc1ccc(C(=O)O)cc1Br,SA_logP_target,chembl/graph_ga
c1ccc2c(c1)C(=Nc1ccc(Cn3c4ccccc4c4ccccc43)cc1)c1ccccc1-2,SA_logP_target,chembl/graph_ga
CC(C)CCCCCCc1ccc(Cn2c3ccccc3c3ccccc32)cc1,SA_logP_target,chembl/graph_ga
Cc1ccc(-c2ccccc2Sc2ccc(Br)cc2Br)c(Cl)c1,SA_logP_target,chembl/graph_ga
CCCCCCc1nc(-c2ccc(NC(=S)Nc3ccc(Br)cc3)cc2)nc2ccccc12,SA_logP_target,chembl/graph_ga
CC(C)c1ccc(-c2cc(NC(=O)C(Cl)Cl)cc(-c3cccc(C(C)C)c3)c2)cc1,SA_logP_target,chembl/graph_ga
CC(C)c1ccc(-c2cc(NC(=O)C(Cl)Cl)cc(-c3ccc(C(C)C)cc3)c2)cc1,SA_logP_target,chembl/graph_ga
Fc1ccc2[nH]c(-c3cccc(-c4ccc(-c5ccc(Cl)c(Cl)c5)cc4)c3)nc2c1,SA_logP_target,chembl/graph_ga
O=C(O)c1ccc(SCCCCCCCCCCCCCc2ccccc2)cc1,SA_logP_target,chembl/graph_ga
C=C(CCCCCCCCC)c1c(-c2ccccc2)[nH]c2ccccc12,SA_logP_target,chembl/graph_ga
CCSCCCCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCc1ccc(NC(=O)c2ccccc2-c2ccccc2C(=O)O)cc1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCCNc1ccc(CCCC(=O)O)cc1,SA_logP_target,chembl/graph_ga
CCCC=Cc1ccc2c(-c3ccccc3)ccc(-c3ccccc3)c2c1,SA_logP_target,chembl/graph_ga
CCCC=Cc1ccc2c(-c3ccc(-c4ccccc4)cc3)cccc2c1,SA_logP_target,chembl/graph_ga
O=C(Nc1cccc(-c2ccc(-c3nc4cc(F)ccc4[nH]3)cc2)c1)Nc1ccc(Cl)c(Cl)c1,SA_logP_target,chembl/graph_ga
O=C(Nc1ccc(-c2cccc(-c3nc4cc(F)ccc4[nH]3)c2)cc1)Nc1ccc(Cl)c(Cl)c1,SA_logP_target,chembl/graph_ga
O=C(O)CCCCCCc1ccc(C(=O)Nc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,SA_logP_target,chembl/graph_ga
c1ccc2c(c1)C(=Nc1ccc(N=C3c4ccccc4-c4ccccc43)cc1)c1ccccc1-2,SA_logP_target,chembl/graph_ga
Clc1ccc2nc(-c3cccc(Oc4ccccc4)c3)cc(-c3ccccc3)c2c1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCCCCCC[n+]1ccccc1,SA_logP_target,chembl/graph_ga
CCC(=C(c1ccccc1)c1ccc(Cl)cc1)c1ccc(Cl)cc1Cl,SA_logP_target,chembl/graph_ga
CCCCOCCCCCCCCCCCCCCCCSCC,SA_logP_target,chembl/graph_ga
c1ccc2c(c1)Sc1ccccc1N2CCCN1c2ccccc2Sc2ccccc21,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCc1ccc(Cl)c(OC)c1,SA_logP_target,chembl/graph_ga
Fc1ccc2[nH]c(-c3cccc(-c4ccc(SCc5ccc(Cl)cc5)cc4)c3)nc2c1,SA_logP_target,chembl/graph_ga
c1ccc2oc(-c3ccc(NCc4c5ccccc5cc5ccccc45)cc3)cc2c1,SA_logP_target,chembl/graph_ga
CC(C)(c1cn(Cc2ccccc2)c2ccccc12)c1cn(Cc2ccccc2)c2ccccc12,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCCc1ccc(C)cc1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCOc1ccc(CSCC)cc1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCN(CCCC)CCCC,SA_logP_target,chembl/graph_ga
Cc1cc(NCCCCCCCCCC(=O)Nc2ccc(Cl)c(Cl)c2)c2ccccc2n1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCCNc1ccc(OCC)cc1,SA_logP_target,chembl/graph_ga
CCCCCCCCC=CCCCCCCCC(=O)Nc1ccc(C(=O)OCC)cc1F,SA_logP_target,chembl/graph_ga
CCCCC1CCC(c2ccc(NC(=S)Nc3cccc(C(F)(F)F)c3)cc2)CC1,SA_logP_target,chembl/graph_ga
CCCCC1CCC(c2ccc(NC(=S)Nc3ccc(C(F)(F)F)cc3)cc2)CC1,SA_logP_target,chembl/graph_ga
CCSCCCCCCCCCCCCCCCCOc1ccc(C(=O)O)cc1,SA_logP_target,chembl/graph_ga
CCCCCCc1nc(-c2ccccc2)cc(-c2ccc(Cl)c(Cl)c2)c1C(=O)OCC,SA_logP_target,chembl/graph_ga
Cc1cc2nc(-c3cccc(Oc4ccccc4)c3)cc(-c3ccccc3)c2cc1C,SA_logP_target,chembl/graph_ga
CC(=O)c1c(-c2ccc(Cl)c(Cl)c2)cc(-c2ccccc2)nc1Nc1ccc(C)cc1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCC(C)(C)Oc1ccc(C(=O)O)cc1,SA_logP_target,chembl/graph_ga
c1ccc(CCCCNCc2cc(CNCCCCc3ccccc3)cc(CNCCCCc3ccccc3)c2)cc1,SA_logP_target,chembl/graph_ga
CCC(=C(c1ccc(OC)cc1)c1cccc(Cl)c1)c1ccc(Cl)cc1Cl,SA_logP_target,chembl/graph_ga
CCC(=C(c1ccc(Cl)cc1)c1ccc(OC)cc1)c1ccc(Cl)cc1Cl,SA_logP_target,chembl/graph_ga
O=C(Nc1cccc(NC(=O)Nc2ccc(Br)cc2Br)c1)Nc1ccc(Br)cc1Br,SA_logP_target,chembl/graph_ga
Cc1ccc(C2=C(c3ccc(C)cc3)C(c3ccc(C)cc3)=C(c3ccc(C)cc3)C2=O)cc1,SA_logP_target,chembl/graph_ga
CC(C)CCCCCCCCCCCCCCNC=Cc1ccccc1,SA_logP_target,chembl/graph_ga
CCCCCCCCCCCCCCCc1ccc(Cl)cc1,SA_logP_target,chembl/graph_ga
Cc1c(C)n(Cc2ccc(-c3ccccc3)cc2)c2ccc(C(=O)NCc3cccc(C(C)C)c3)cc12,SA_logP_target,chembl/graph_ga
c1ccc2sc(-c3c4ccccc4cc4ccc5ccccc5c34)cc2c1,SA_logP_target,chembl/graph_ga
CC(=O)c1ccc(NCCCCCCCCCCCCCCC(C)C)cc1,SA_logP_target,chembl/graph_ga
CC(C)CCc1ccc(-c2ccccc2)c2ccc(C=Cc3ccc(O)cc3)cc12,SA_logP_target,chembl/graph_ga
CCCCCCCCC=CCCCCCCCC(=O)Nc1cccc(C)c1,SA_logP_target,chembl/graph_ga
CCCCc1sc(-c2ccc(Oc3ccc(Cl)cc3)cc2)nc1-c1ccc(O)cc1,SA_logP_target,chembl/graph_ga
Cc1cccc(Oc2nc(-c3ccc(NC(=S)Nc4ccc(Br)cc4)cc3)nc3ccccc23)c1,SA_logP_target,chembl/graph_ga
O=C(c1ccccc1)c1c(-c2ccc(Cl)cc2)cc(-c2ccccc2)nc1-c1ccccc1,SA_logP_target,chembl/graph_ga
c1ccc2c(-c3c4ccccc4cc4ccc5ccccc5c34)cccc2c1,SA_logP_target,chembl/graph_ga
