SMILES,property,source
c1ccc2c(c1)c1ccccc1n2Cc1ccc(Cn2c3ccccc3c3ccccc32)cc1,SA_logP_target,chembl/smiles_ga
CCOC(=O)c1ccc(NCCCCCCCCCCCCCCC(C)C)cc1,SA_logP_target,chembl/smiles_ga
COc1ccccc1CNCCCCCCNCCCCCCCCCCNCCCCCCNCc1ccccc1OC,SA_logP_target,chembl/smiles_ga
COc1ccccc1CNCCCCCCCNCCCCCCCCNCCCCCCCNCc1ccccc1OC,SA_logP_target,chembl/smiles_ga
COc1ccccc1CNCCCCCCCCNCCCCCCNCCCCCCCCNCc1ccccc1OC,SA_logP_target,chembl/smiles_ga
CCCCCCCCCCCCCCCCOc1c(Br)cc(C(=O)OC)cc1[N+](=O)[O-],SA_logP_target,chembl/smiles_ga
O=C1C(=Cc2cccc(Oc3ccccc3)c2)c2ccccc2N1c1c(Cl)cccc1Cl,SA_logP_target,chembl/smiles_ga
Cc1ccc(-c2ccccc2SCC(=O)Nc2ccc(-c3ccc(CC(=O)O)cc3)cc2Cl)c(Cl)c1,SA_logP_target,chembl/smiles_ga
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,SA_logP_target,chembl/smiles_ga
CC(C)(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)(C)C,SA_logP_target,chembl/smiles_ga
CCCCCCCCCCCCCCCCNc1ccc(C(=O)NS(=O)(=O)c2ccc(C)cc2)cc1,SA_logP_target,chembl/smiles_ga
CC(C)N(Cc1cccc(OCCCCCC(=O)O)c1)C(=O)c1ccc(-c2cccc(OCc3ccccc3)c2)cc1,SA_logP_target,chembl/smiles_ga
CC(C)c1ccc(-c2cc(NC(=O)C(Cl)Cl)cc(-c3ccc(C(C)C)cc3)c2)cc1,SA_logP_target,chembl/smiles_ga
O=C(C(=Cc1ccc(Br)cc1)Sc1ccc(Br)cc1)c1ccc(Br)cc1,SA_logP_target,chembl/smiles_ga
CCSCCCCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1,SA_logP_target,chembl/smiles_ga
