SMILES,property,source
CCCCCCCCC=Cc1ccc(C=CC(=O)c2cccc(Cl)c2)cc1,SA_logP_target,chembl/smiles_lstm
CCCCCCCCC=CCCCCCCCc1cc(=O)c2ccc(OC)c(OC)c2o1,SA_logP_target,chembl/smiles_lstm
N=C(Nc1ccccc1)Nc1ccc(-c2ccc(-c3ccc(NC(=N)Nc4ccccc4)cc3)s2)cc1,SA_logP_target,chembl/smiles_lstm
COc1ccc(-c2cc(-c3cccc(Cl)c3)ncc2-c2ccc(OCCCN3CCCCC3)cc2)cc1,SA_logP_target,chembl/smiles_lstm
CN(C)c1ccc(C=Cc2ccc(C=Cc3ccc(NC(=O)c4cccc(Cl)c4)cc3)cc2)cc1,SA_logP_target,chembl/smiles_lstm
c1ccc2c(c1)c1ccccc1n2Cc1ccc(Cn2c3ccccc3c3ccccc32)cc1,SA_logP_target,chembl/smiles_lstm
CCCCCCCCCCCCCCCC(=O)Nc1c(OCCF)cc(CCCC)cc1C(=O)NCCC(=O)O,SA_logP_target,chembl/smiles_lstm
CC(C)(C)CCCCCCOC(=O)c1cccc(OCc2cccc(OCc3ccccc3)c2)c1,SA_logP_target,chembl/smiles_lstm
c1ccc2c(Nc3nc(CN(CC4CCCCC4)CC4CCCCC4)cs3)cccc2c1,SA_logP_target,chembl/smiles_lstm
CCOC(=O)c1ccc(NCCCCCCCCCCCCCCC(C)C)cc1,SA_logP_target,chembl/smiles_lstm
COc1cccc(CN(Cc2ccccc2-c2ccc(-c3ccc(CCC(=O)O)cc3)cc2)C(=O)C=Cc2ccc(O)c(OC)c2)c1,SA_logP_target,chembl/smiles_lstm
CCCCCCCCC=CCCCCCCCc1nnc(Nc2ccccc2)o1,SA_logP_target,chembl/smiles_lstm
CCCCCCCCCCCCCCCn1cc(COC(=O)c2c(Cl)ccc(C)c2C)nn1,SA_logP_target,chembl/smiles_lstm
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1ccc2nccc(C=Cc3ccccc3)c2c1,SA_logP_target,chembl/smiles_lstm
O=C(Nc1ccc(Oc2ccc(-c3ncccc3C(F)(F)F)cc2)cc1)Nc1cccc(Cl)c1F,SA_logP_target,chembl/smiles_lstm
Fc1cccc(COc2ccc(Nc3cc(Oc4cccc(NCc5ccccc5)c4)ncn3)cc2Cl)c1,SA_logP_target,chembl/smiles_lstm
CCCCCCCCCCCCc1c(-c2ccc(O)cc2)[nH]c2ccccc12,SA_logP_target,chembl/smiles_lstm
COc1ccccc1CNCCCCCCNCCCCCCCCCCNCCCCCCNCc1ccccc1OC,SA_logP_target,chembl/smiles_lstm
COc1ccccc1CNCCCCCCCNCCCCCCCCNCCCCCCCNCc1ccccc1OC,SA_logP_target,chembl/smiles_lstm
COc1ccccc1CNCCCCCCCCNCCCCCCNCCCCCCCCNCc1ccccc1OC,SA_logP_target,chembl/smiles_lstm
COc1ccccc1CNCCCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,SA_logP_target,chembl/smiles_lstm
COc1ccc(CNCCCCCCCNCCCCCCCCNCCCCCCCNCc2ccccc2OC)cc1,SA_logP_target,chembl/smiles_lstm
COc1ccc(CNCCCCCCCCNCCCCCCCCNCCCCCCNCc2ccccc2OC)cc1,SA_logP_target,chembl/smiles_lstm
COc1ccc(CNCCCCCCCCNCCCCCCCCNCCCCCCNCc2cccc(OC)c2)cc1,SA_logP_target,chembl/smiles_lstm
CCCCCCCCCCCCCCCCOc1c(Br)cc(C(=O)OC)cc1[N+](=O)[O-],SA_logP_target,chembl/smiles_lstm
Cc1cc(NC(=O)c2cc(Br)cc(Br)c2O)ccc1CCCOc1ccc(-c2nc3cc(C(=O)O)ccc3o2)cc1,SA_logP_target,chembl/smiles_lstm
CCCc1cc(Nc2c(CC)cc(CCCC(C)C)nc2CCCC(C)C)ccc1C(=O)O,SA_logP_target,chembl/smiles_lstm
O=c1oc2ccccc2cc1-c1ccc2c(-c3ccc(Cl)cc3)cc(-c3ccccc3)nc2c1,SA_logP_target,chembl/smiles_lstm
O=C1C(=Cc2cccc(Oc3ccccc3)c2)c2ccccc2N1c1c(Cl)cccc1Cl,SA_logP_target,chembl/smiles_lstm
O=C1C(=Cc2ccc(Oc3ccccc3)cc2)c2ccccc2N1c1c(Cl)cccc1Cl,SA_logP_target,chembl/smiles_lstm
CCOC(=O)C(F)(F)CCCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O,SA_logP_target,chembl/smiles_lstm
CCCCCCCCCCCCCCCC(=O)Nc1ccc(OC(F)(F)F)cc1,SA_logP_target,chembl/smiles_lstm
CCCCCC=CCC=CCCCCCCCC(=O)Nc1c(F)cc(F)c(F)c1F,SA_logP_target,chembl/smiles_lstm
O=C(O)CCCCCCCSc1nnc(-c2ccccc2)c(-c2ccccc2)c1-c1ccccc1,SA_logP_target,chembl/smiles_lstm
CC(=O)c1ccc(Cl)c(-c2ccc(-c3nc(-c4ccc(Cl)c(Cl)c4)cs3)cc2C(=O)O)c1,SA_logP_target,chembl/smiles_lstm
C=CCCCCCCCCCOc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2C(=O)O)c(Cl)c1,SA_logP_target,chembl/smiles_lstm
COc1ccc(-c2cc(-c3ccc(Cl)cc3)nc(-c3ccc(N(CCC(=O)O)C(=O)c4ccc(F)cc4)cc3)c2)cc1,SA_logP_target,chembl/smiles_lstm
Cc1cccc(Cl)c1Nc1nc2ccc(NCc3ccc(NC(=O)c4cccc(F)c4)cc3)cc2s1,SA_logP_target,chembl/smiles_lstm
COc1ccc(Cc2cc(C3CCCCC3)c(CC=CC(C)=O)c(-c3cccc(OC)c3)c2C)cc1,SA_logP_target,chembl/smiles_lstm
CCCCCCCCC=CCCCCCCC(=O)Nc1cccc(SC)c1,SA_logP_target,chembl/smiles_lstm
CCCCN(Nc1ccc(-c2ccccc2C(=O)O)cc1)c1ccc(-c2ccc(Cl)cc2)cc1,SA_logP_target,chembl/smiles_lstm
Cc1cc(C)cc(NC(=O)N(c2ccc(Cl)cc2)c2ccc(-c3ccccc3)cc2)c1,SA_logP_target,chembl/smiles_lstm
Cc1ccc(-c2ccccc2SCC(=O)Nc2ccc(-c3ccc(CC(=O)O)cc3)cc2Cl)c(Cl)c1,SA_logP_target,chembl/smiles_lstm
CC(C)(C)OC(=O)Nc1cc(NC(=O)c2cccc(Br)c2)cc2c(Nc3cccc(Cl)c3)nccc12,SA_logP_target,chembl/smiles_lstm
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,SA_logP_target,chembl/smiles_lstm
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)(C)C,SA_logP_target,chembl/smiles_lstm
CC(C)(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)(C)C,SA_logP_target,chembl/smiles_lstm
