SMILES,property,source
COc1ccccc1NC(=O)C(=O)NNC(=O)c1ccco1,SC_osimertinib,chembl_wc/best_from_chembl
COC(=O)C1C(=O)C(C(=O)OC)C(c2ccccn2)N(CCO)C1c1ccccn1,SC_osimertinib,chembl_wc/best_from_chembl
COC(=O)C1C(=O)C(C(=O)OC)C(c2ccccn2)N(CCOCCO)C1c1ccccn1,SC_osimertinib,chembl_wc/best_from_chembl
CCOC(=O)c1cn(CC(=O)Nc2ccc(OC)cc2OC)nn1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccc(OCC(=O)NNC(=O)C(=O)Nc2cc(OC)ccc2OC)cc1,SC_osimertinib,chembl_wc/best_from_chembl
COC(=O)CNC(=O)CN(c1ccc(OC)cc1OC)S(=O)(=O)c1ccccc1,SC_osimertinib,chembl_wc/best_from_chembl
COC(=O)C1C(=O)C(C(=O)OC)C(c2ccccn2)N(CCCO)C1c1ccccn1,SC_osimertinib,chembl_wc/best_from_chembl
NNC(=O)C(=O)c1cc2ccccc2n1S(=O)(=O)c1ccccc1,SC_osimertinib,chembl_wc/best_from_chembl
COC(=O)C1C(=O)C(C(=O)OC)C(c2ccccn2)NC1c1ccccn1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccccc1OCC(=O)NNC(=O)c1cnccn1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccccc1C(=O)OCC(=O)NCCNC(=O)COC(=O)c1ccccc1OC,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccccc1OCC(=O)NNC(=S)NC(=O)c1ccco1,SC_osimertinib,chembl_wc/best_from_chembl
CC(C)(C)[Si](OCC1OC(n2ccc(N)nc2=O)C(O)C1O)(c1ccccc1)c1ccccc1,SC_osimertinib,chembl_wc/best_from_chembl
CC(=O)Nc1ccccc1C(=O)OCC(=O)Nc1ncccn1,SC_osimertinib,chembl_wc/best_from_chembl
COC(=O)c1ccccc1NC(=O)CSc1nc(N)cc(N)n1,SC_osimertinib,chembl_wc/best_from_chembl
COc1cccc(C=NNC(=O)Cn2nnc3ccccc32)c1O,SC_osimertinib,chembl_wc/best_from_chembl
COC(=O)c1ccccc1NC(=O)C(=O)NCc1ccncc1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1OC,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccc(NC(=O)C[S+]([O-])CC(=O)Nc2cccnc2)cc1,SC_osimertinib,chembl_wc/best_from_chembl
COC(=O)C(NC(=O)CN1C(=O)c2ccccc2C1=O)c1ccc(O)c(OC)c1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccccc1C(=O)COC(=O)CNS(=O)(=O)c1ccc(NC(C)=O)cc1,SC_osimertinib,chembl_wc/best_from_chembl
CN(C)CC(=O)Nc1cccc2c1C(=O)c1c(NC(=O)CN(C)C)cccc1C2=O,SC_osimertinib,chembl_wc/best_from_chembl
N#Cc1ccccc1OCC(=O)NNC(=O)c1ccncc1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccc(C2C(C(=O)c3ccccc3OC)O[NH+](C)C2P(=O)([O-])O)cc1,SC_osimertinib,chembl_wc/best_from_chembl
COc1cc(OC)nc(NC(=O)CS(=O)(=O)c2ccccc2)n1,SC_osimertinib,chembl_wc/best_from_chembl
O=C(NCc1cccc(CNC(=O)C(=O)NCc2ccco2)c1)C(=O)NCc1ccco1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccc(NC(=O)COC(=O)CN2C(=O)c3ccccc3C2=O)cc1,SC_osimertinib,chembl_wc/best_from_chembl
O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(OCc3ccccc3)cc2o1,SC_osimertinib,chembl_wc/best_from_chembl
CC(C(=O)OCn1nnc2ccccc2c1=O)N1C(=O)c2ccccc2C1=O,SC_osimertinib,chembl_wc/best_from_chembl
COc1cc(OC)cc(C(=O)NNC(=O)CNC(=O)c2cccs2)c1,SC_osimertinib,chembl_wc/best_from_chembl
COc1cc(OC)cc(C(=O)NNC(=S)NC(=O)c2cccnc2)c1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccccc1CNC(=O)COC(=O)CNS(=O)(=O)c1ccc(C)cc1,SC_osimertinib,chembl_wc/best_from_chembl
CC(=O)Nc1ccc(S(=O)(=O)N(C#N)c2nc(N(C)C)nc(N(C)C)n2)cc1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccc(OCC(N)=NNC(=O)c2ccncc2)cc1,SC_osimertinib,chembl_wc/best_from_chembl
O=C(CCN1C(=O)c2ccccc2C1=O)OCn1nnc2ccccc2c1=O,SC_osimertinib,chembl_wc/best_from_chembl
Nn1c(Sc2nc3ccccc3c(=O)n2N)nc2ccccc2c1=O,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccc(OCC(O)CNS(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,SC_osimertinib,chembl_wc/best_from_chembl
O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ncccn1,SC_osimertinib,chembl_wc/best_from_chembl
COc1cc(C=NNC(=O)CNc2nnc(O)nc2O)ccc1OCc1ccccc1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccccc1C(=O)NC(=O)COC(=O)CNC(=O)c1ccccc1,SC_osimertinib,chembl_wc/best_from_chembl
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,SC_osimertinib,chembl_wc/best_from_chembl
COC(=O)c1ccc(OC)c(NS(=O)(=O)c2ccc(-n3cnnn3)cc2)c1,SC_osimertinib,chembl_wc/best_from_chembl
CCOC(=O)C1C(c2ccccn2)NC(c2ccccn2)C(C(=O)OCC)S1(=O)=O,SC_osimertinib,chembl_wc/best_from_chembl
CCOC(=O)C(=O)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccccc1CCNS(=O)(=O)NS(=O)(=O)NCCc1ccccc1OC,SC_osimertinib,chembl_wc/best_from_chembl
COc1cccc(CCNS(=O)(=O)NS(=O)(=O)NCCc2cccc(OC)c2)c1,SC_osimertinib,chembl_wc/best_from_chembl
COc1cccc(OC)c1-c1ccc(C(=O)N=C(N)N)o1,SC_osimertinib,chembl_wc/best_from_chembl
COc1cccc(-c2ccc(C(=O)N=C(N)N)o2)c1OC,SC_osimertinib,chembl_wc/best_from_chembl
COc1ccccc1S(=O)(=O)NCCNS(=O)(=O)c1ccccc1OC,SC_osimertinib,chembl_wc/best_from_chembl
