SMILES,property,source
COc1ccc(NC(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)Nc2ccccc2Nc2ncccn2)c(OC)c1,SC_osimertinib,chembl_wc/graph_ga
COc1cc(OC)cc(S(=O)(=O)n2c(C(=O)C(=O)C(=O)C(=O)C(O)Nc3ncccn3)cc3ccccc32)c1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(O)C(=O)C(=O)Nc1ccccc1Nc1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(=O)C(=O)Nc1ccccc1Nc1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(O)C(=O)C(=O)Nc1ccccc1Nc1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)Nc1ccccc1Nc1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1C(O)C(=O)C(=O)C(=O)C(=O)C(=O)Nc1ccccc1Nc1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1cc(S(=O)(=O)n2c(C(=O)C(=O)C(=O)NN)cc3ccccc32)ccc1OC(O)Nc1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1ccc(NC(=O)C(=O)Oc2ccccc2NC(=O)C(=O)COC(O)Nc2ncccn2)c(OC)c1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NCC(=O)C(Nc1ncccn1)C(=O)C(=O)C(=O)C(=O)Nc1ccccc1OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(Nc1ncccn1)C(=O)C(=O)Nc1ccccc1OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)CC(=O)C(=O)C(Nc1ncccn1)On1nnc2ccccc21,SC_osimertinib,chembl_wc/graph_ga
COc1cccc(S(=O)(=O)n2c(C(=O)C(=O)C(=O)C(=O)C(O)Nc3ncccn3)cc3ccccc32)c1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(Nc1ncccn1)n1nnc2ccccc21,SC_osimertinib,chembl_wc/graph_ga
COc1ccc(S(=O)(=O)n2c(C(=O)C(=O)NC(=O)C(=O)Cc3ncccn3)cc3ccccc32)c(OC)c1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(Nc1ncccn1)n1nnc2ccccc21,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)COC(Nc1ncccn1)C(=O)Nc1ccccc1OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccc(NC(=O)C(=O)C(=O)C(=O)C(=O)Nc2ccccc2Nc2ncccn2)c(OC)c1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(Nc1ncccn1)n1nnc2ccccc21,SC_osimertinib,chembl_wc/graph_ga
COc1cc(S(=O)(=O)n2c(C(=O)C(=O)NN)cc3ccccc32)ccc1OC(=O)c1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)Oc1ccccc1NC(=O)C(=O)COC(O)Nc1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(Nc1ncccn1)C(=O)C(=O)Nc1ccccc1OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(Nc1ncccn1)C(=O)Nc1ccccc1OC,SC_osimertinib,chembl_wc/graph_ga
COCCOC(O)C(Nc1ncccn1)C(=O)Nc1ccccc1OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NCNC(=O)C(=O)C(=O)C(=O)Nc1ccccc1OC(=O)c1ncccn1,SC_osimertinib,chembl_wc/graph_ga
C=C(C(=O)CC(Nc1ncccn1)C(=O)OC)C(=O)C(=O)Nc1ccccc1OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(Nc1ncccn1)n1nnc2ccccc21,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)COC(Nc1ncccn1)C(O)OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)CC(=O)C(Nc1ncccn1)C(=O)C(=O)C(=O)C(=O)Nc1ccccc1OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)COC(Nc1ncccn1)OC,SC_osimertinib,chembl_wc/graph_ga
C=C(CC(=O)C(O)Nc1ncccn1)C(=O)C(=O)Nc1ccccc1OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccncc1NCC(=O)C(=O)NCC(=O)C(=O)Nc1ccccc1OS(=O)(=O)c1ccncc1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(Nn1nnc2ccccc21)c1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(Nc1ncccn1)C(O)OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(OC)C(Nc1ncccn1)C(O)Nc1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(OC)C(Nc1ncccn1)Nc1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1cccc(NC(=O)C(=O)C(=O)C(O)c2ncccn2)c1On1nnc2ccccc21,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(Nc1ncccn1)OC,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)C(=O)C(=O)C(OC)C(C)Nc1ncccn1,SC_osimertinib,chembl_wc/graph_ga
COc1ccccc1NC(=O)C(=O)CC(=O)C(Nc1ncccn1)C(O)c1ncccn1,SC_osimertinib,chembl_wc/graph_ga
