SMILES,property,source
COc1ccc(NC(=O)CN(C)CC(=O)NC(=O)Cn2cnc3onc(-c4ccccc4)c3c2=O)c(OC)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)CN(C)CC(=O)NNC(=O)Cn2c3ccccc3c(=O)c3cccnc32)c(OC)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)C(=O)NCCN2CCN(c3ncnc4ccccc34)CC2)c(OC)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)C(=O)NCCN2CCN(c3ncnc4ccccc34)CC2)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NNC(=O)Cn2cnc3onc(-c4ccccc4N)c3c2=O)c(OC)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NNC(=O)Cn2cnc3onc(-c4ccccc4)c3c2=O)c(OC)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)CN(C)CC(=O)NNC(=O)Cn2cnc3onc(-c4ccccc4)c3c2=O)c(OC)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(OC)c(NC(=O)CN(C)CC(=O)NNC(=O)Cn2c3ccccc3c(=O)c3cccnc32)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)CN(C)CC(=O)NNC(=O)Cn2c3ccccc3c(=O)c3cccnc32)cc(OC)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NCN2CCN(c3ncnc4ccccc34)CC2)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)Cn2c(=O)cnc3ccccc3c2=O)c(OC)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)CN(C)CC(=O)Cn2c(=O)cnc3ccccc3c2=O)c(OC)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
CNc1cc(NC(=O)Cn2c(=O)cnc3ccccc3c2=O)c(NC(=O)CN(C)C)cc1OC,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NNC(=O)Cn2c3ccccc3c(=O)c3cccnc32)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NC(=O)Cn2cnc3onc(-c4ccccc4)c3c2=O)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)C(=O)NCCN2CCN(c3ncnc4ccccc34)CC2)cc(OC)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)C(=O)NCCN2CCN(c3nccnc3NC(=O)Cn3cnc4ccccc4c3=O)CC2)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)CN(C)C)c(N)c(NC(=O)CN(Cn2cnc3ccccc3c2=O)N=Cc2nccn2C)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(OC)cc(N(CCN(C)C)CC(=O)NNC(=O)Cn2cnc3ccccc3c2=O)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)CN(C)CC(=O)NC(=O)Cn2cnc3onc(-c4ccccc4N)c3c2=O)c(OC)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)Cn2c(=O)cnc3ccccc3c2=O)c(OC)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)CN(C)C)c(NC(=O)Cn2c(=O)n(-c3ccccn3)c(=O)c3ncccc32)c(OC)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)n2c(=O)cnc3ccccc3c2=O)c(OC)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NS(=O)(=O)CN(C)C)c(OC)cc1NC(=O)CNC(=O)Cn1cnc2onc(-c3ccccc3)c2c1=O,SC_osimertinib,chembl_wc/smiles_lstm
COc1cccc(NC(=O)C(=O)NCCN2CCN(c3ncnc4ccccc34)CC2)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(OC)c(NC(=O)CN(C)CC(=O)NC(=O)Cc2nc(=O)c3ccccc3n2C)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccccc1NC(=O)CN(C)CC(=O)NNC(=O)Cn1cnc2onc(-c3ccc(N(C)C)cc3)c2c1=O,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(OC)c(NC(=O)CN(C)CC(=O)NNC(=O)Cn2cnc3onc(-c4ccccc4)c3c2=O)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)CN(C)C)c(NC(=O)Cn2c(=O)cnc3ccccc3c2=O)c(OC)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NC(=O)Cn2cnc3onc(-c4ccccc4N)c3c2=O)cc1OC,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CCNC(=O)Cn2cnc3onc(-c4ccccc4N)c3c2=O)c(OC)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NCCN2CCN(c3ncnc4ccccc34)CC2)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)COC(=O)CN(C)CC(=O)OCn2c(N)nc3ccccc3c2=O)c(OC)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)CN(C)CCn2c(=O)cnc3ccccc3c2=O)c(OC)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1cccc(NC(=O)CN(C)CCn2c(=O)cnc3ccccc3c2=O)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)CN(C)C)c(NC(=O)COC(=O)Cn2cnc3onc(-c4ccccc4)c3c2=O)c(OC)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NCCn2c(=O)cnc3ccccc3c2=O)c(OC)c1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccccc1NC(=O)CN(C)CC(=O)OCC(=O)NCCn1cnc2onc(-c3cccc(N)c3)c2c1=O,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NCNC(=O)Cn2cnc3onc(-c4ccccc4)c3c2=O)c(OC)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NCCNC(=O)Cn2cnc3onc(-c4ccccc4)c3c2=O)cc1N,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NCCn2c(=O)c3ccccc3n(C)c2=O)c(OC)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccccc1N(CCN(C)C)CC(=O)NNC(=O)Cn1cnc2onc(-c3ccccc3)c(=O)c2c1=O,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NNC(=O)Cn2cnc3onc(-c4ccccc4)c3c2=O)c(OC)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)CC(=O)NNC(=O)Cn2cnc3ccccc3c2=O)c(N2CCN(c3ncccn3)CC2)c1,SC_osimertinib,chembl_wc/smiles_lstm
COc1cc(NC(=O)Cn2c(=O)cnc3ccccc3c2=O)c(OC)cc1NC(=O)CN(C)C,SC_osimertinib,chembl_wc/smiles_lstm
