SMILES,property,source
COc1ccc(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1,Osimertinib MPO,chembl_wo/best_from_chembl
COc1cc(C2(O)CCN(CC(N)=O)CC2O)ccc1Nc1ncc2ccc(-c3ccccc3N(C)S(C)(=O)=O)n2n1,Osimertinib MPO,chembl_wo/best_from_chembl
CN1CCN(c2ccc(Nc3ncc4ccc(=O)n(CC(O)CO)c4n3)cc2)CC1,Osimertinib MPO,chembl_wo/best_from_chembl
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,Osimertinib MPO,chembl_wo/best_from_chembl
COc1ccc(OC)c(NC(=O)CNC(=O)Cn2cnc3ccccc3c2=O)c1,Osimertinib MPO,chembl_wo/best_from_chembl
COc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)COC(=O)Cn1cnc2ccccc2c1=O,Osimertinib MPO,chembl_wo/best_from_chembl
COC(=O)c1ccccc1NC(=O)CN(C)CC(O)Cn1c(=O)c2ccccc2n(C)c1=O,Osimertinib MPO,chembl_wo/best_from_chembl
COc1ccccc1NC(=O)CN(C)S(=O)(=O)c1ccc2c(c1)c(=O)n(C)c(=O)n2C,Osimertinib MPO,chembl_wo/best_from_chembl
COc1ccc(-n2nc(C(=O)NCC(=O)NCCN(C)C)c3ccccc3c2=O)c(OC)c1,Osimertinib MPO,chembl_wo/best_from_chembl
CN(CC(=O)Nc1ccc(CC#N)cc1)CC(O)Cn1c(=O)c2ccccc2n(C)c1=O,Osimertinib MPO,chembl_wo/best_from_chembl
COc1cc(N2CCN(C)CC2)ccc1Nc1nc(N)nn1C(=O)NCc1ccccc1S(C)(=O)=O,Osimertinib MPO,chembl_wo/best_from_chembl
COc1cc(N2CCN(C)CC2)ccc1Nc1nc(N)n(C(=O)NCc2ccccc2S(C)(=O)=O)n1,Osimertinib MPO,chembl_wo/best_from_chembl
COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,Osimertinib MPO,chembl_wo/best_from_chembl
COc1cc2nc(N3CCN(CCO)CC3)nc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,Osimertinib MPO,chembl_wo/best_from_chembl
COc1cccc(NC(=O)CN(C)CC(=O)c2c(N)n(Cc3ccccc3)c(=O)n(C)c2=O)c1,Osimertinib MPO,chembl_wo/best_from_chembl
COc1ccc(C(=O)Nc2cc3cnc(N4CCN(CCO)CC4)cc3n(C)c2=O)cc1,Osimertinib MPO,chembl_wo/best_from_chembl
CN1CCN(c2cc(-c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccn2)CC1,Osimertinib MPO,chembl_wo/best_from_chembl
COc1cccc(OC)c1NC(=O)C(=O)Nn1c(NNC(=O)c2ccncc2)nc2ccccc2c1=O,Osimertinib MPO,chembl_wo/best_from_chembl
COc1ccccc1N1CCN(CCCNc2ccn3c(n2)nc2c3c(=O)n(C)c(=O)n2C)CC1,Osimertinib MPO,chembl_wo/best_from_chembl
COc1cc(N2CCN(C)CC2)ccc1Nc1nc(N)n(C(=O)NCc2cccc(S(C)(=O)=O)c2)n1,Osimertinib MPO,chembl_wo/best_from_chembl
