SMILES,property,source
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)COn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1ccnc(Nc2cc(NC(=O)C(N)n3c(=O)c4ccccc4n(C)c3=O)c(N3CCN(C)CC3)cc2OC)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(=O)COn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1ccnc(Nc2cc(NC(=O)C(O)n3c(=O)c4ccccc4n(C)c3=O)c(N3CCN(C)CC3)cc2OC)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1ccnc(Nc2cc(NC(=O)COn3c(=O)c4ccccc4n(C)c3=O)c(N3CCN(C)CC3)cc2OC)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)COOn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C(N)=O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)On2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(=O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(=O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(C)On2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(OC)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1ccnc(Nc2cc(NC(=O)C(O)On3c(=O)c4ccccc4n(C)c3=O)c(N3CCN(C)CC3)cc2OC)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)COn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)COn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(OC)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(OC)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(N)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
CN1CCN(c2cc(N(C)C)c(Nc3ncccn3)cc2NC(=O)C(N)n2c(=O)c3ccccc3n(C)c2=O)CC1,Osimertinib MPO,chembl_wo/graph_ga
CN1CCN(c2cc(N(C)C)c(Nc3ncccn3)cc2NC(=O)C(O)n2c(=O)c3ccccc3n(C)c2=O)CC1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C(N)=O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C(N)=O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(=O)C(O)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(=O)C(O)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C)n1,Osimertinib MPO,chembl_wo/graph_ga
COOn1c(=O)n(CC(=O)Nc2cc(Nc3ncccn3)c(OC)cc2N2CCN(C)CC2)c(=O)c2ccccc21,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(ON)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)On2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)On2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(OC)c2=O)cc1Nc1nccc(C)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(C(N)=O)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
CC(=O)Oc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(O)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(N)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(O)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(N)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
CN1CCN(c2cc(N(C)N)c(Nc3ncccn3)cc2NC(=O)Cn2c(=O)c3ccccc3n(C)c2=O)CC1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)COn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C(N)=O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(=O)COn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(OC)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)NC(=O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
CN1CCN(c2cc(OC(N)=O)c(Nc3ncccn3)cc2NC(=O)Cn2c(=O)c3ccccc3n(C)c2=O)CC1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(N)c2=O)cc1Nc1nccc(C)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(OO)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(ON)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2C=CCN(C)C2)c(NC(=O)COn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
CN1CCN(c2cc(N(C)C)c(NC(=O)C(N)n3c(=O)c4ccccc4n(C)c3=O)cc2Nc2nccc(N)n2)CC1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N(C)C)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C(N)=O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(C(C)=O)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COOOn1c(=O)n(CC(=O)Nc2cc(Nc3ncccn3)c(OC)cc2N2CCN(C)CC2)c(=O)c2ccccc21,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(NC(=O)C(N)n2c(=O)c3ccccc3n(C)c2=O)c(N2CCN(C)CC2)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(N)c2=O)cc1Nc1nccc(C)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(N)c2=O)cc1Nc1nccc(C)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(C)n2c(=O)c3ccccc3n(N)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1ccnc(Nc2cc(NC(=O)C(N)n3c(=O)c4ccccc4n(C(N)=O)c3=O)c(N3CCN(C)CC3)cc2OC)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(OC)n2c(=O)c3ccccc3n(C(N)=O)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(OC(N)=O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(=O)C(=O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1ccnc(Nc2cc(NC(=O)C(N)n3c(=O)c4ccccc4n(O)c3=O)c(N3CCN(C)CC3)cc2OC)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(OC)n2c(=O)c3ccccc3n(N)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(OC)c2=O)cc1Nc1nccc(O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(OC)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(OC)c2=O)cc1Nc1nccc(O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(OC)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
CN1CCN(c2cc(OC(N)=O)c(Nc3ncccn3)cc2NC(=O)C(N)n2c(=O)c3ccccc3n(C)c2=O)CC1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1ccnc(Nc2cc(NC(=O)Cn3c(=O)c4ccccc4n(OC)c3=O)c(N3CCN(C)CC3)cc2OC)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(OO)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(O)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(N)c2=O)cc1Nc1nccc(O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(N)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(O)c2=O)cc1Nc1nccc(C)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1ccnc(Nc2cc(NC(=O)C(N)n3c(=O)c4ccccc4n(OC)c3=O)c(N3CCN(C)CC3)cc2OC)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(OC)c2=O)cc1Nc1nccc(C(N)=O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2C=CCN(C)C2)c(NC(=O)COn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C(N)=O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(ON)c2=O)cc1Nc1nccc(C)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(=O)n2c(=O)c3ccccc3n(ON)c2=O)cc1Nc1ncccn1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)COCn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C(N)=O)n1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(O)n2c(=O)c3ccccc3n(O)c2=O)cc1Nc1nccc(C)n1,Osimertinib MPO,chembl_wo/graph_ga
CN1CCN(c2cc(ON)c(Nc3ncccn3)cc2NC(=O)Cn2c(=O)c3ccccc3n(C)c2=O)CC1,Osimertinib MPO,chembl_wo/graph_ga
COc1cc(N2CCN(C)CC2)c(NC(=O)C(OC)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(N)n1,Osimertinib MPO,chembl_wo/graph_ga
