SMILES,property,source
BN1CN(CC(N)=O)CN[IH]1(S)c1cc(OC)c(Nc2ncc3bbc(-c4bbccc4[SH](C)S(=C)(C)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CNC1(S)c1cc(OC)c(Nc2ncc3bbc(-c4bbccc4[SH](C)S(=C)(C)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CCC1(P)c1cc(OC)c(Nc2ncc3cbc(-c4bbbcc4[SH](B)S(=C)(C)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CCC1(P)c1cc(OC)c(Nc2ncc3cbc(-c4bbbcc4[SH](B)S(=C)(C)=O)p3n2)bn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CCC1(O)c1cc(OC)c(Nc2nbc3bpc(-c4bbccc4[SH](S)S(=C)(C)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CCC1(O)c1cc(OC)c(Nc2nbc3bpc(-c4bbccc4[SH](S)S(=C)(=O)I)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CCC1(I)c1cc(OC)c(Nc2ncc3cbc(-c4bbbcc4[SH](B)S(=C)(C)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
B=S(B)(=O)[SH](S)c1bcccc1-c1pcc2cnc(Nc3bnc([IH]4(O)CCN(CC(N)=O)CN4B)cc3OC)np12,Osimertinib MPO,chembl_wo/smiles_ga
B=S(B)(=O)[SH](S)c1bcccc1-c1ccc2cnc(Nc3bnc([IH]4(O)CCN(C[PH](N)=O)CN4B)cc3OC)np12,Osimertinib MPO,chembl_wo/smiles_ga
B=S(B)(=O)[SH](S)c1bcccc1-c1ccc2cnc(Nc3bnc([IH]4(O)CCN(CC(N)=O)CN4B)cc3OC)np12,Osimertinib MPO,chembl_wo/smiles_ga
B=S(B)(=O)[SH](S)c1bcccc1-c1ccc2cnc(Nc3bnc([IH]4(F)CCN(CC(N)=O)CN4B)cc3OC)np12,Osimertinib MPO,chembl_wo/smiles_ga
B=S(B)(=O)[SH](S)c1bcccc1-c1ccc2cnc(Nc3bnc(C4(O)CCN(C[PH](N)=O)CN4B)cc3OC)np12,Osimertinib MPO,chembl_wo/smiles_ga
B=S(B)(=O)[SH](I)c1bcccc1-c1ccc2cnc(Nc3bnc([IH]4(O)CCN(C[PH](N)=O)CN4B)cc3OC)np12,Osimertinib MPO,chembl_wo/smiles_ga
B=S(B)(=O)[SH](S)c1bcccc1-c1ccc2cnc(Nc3bnc(C4(P)CCN(C[PH](N)=O)CN4B)cc3OC)np12,Osimertinib MPO,chembl_wo/smiles_ga
B[SH](B)(=O)[SH](C)c1ccccc1-c1ccc2cnc(Nc3cnc(C4(O)CCN(CC(N)=O)CN4C)cc3OC)np12,Osimertinib MPO,chembl_wo/smiles_ga
BOc1cc([PH]2(O)CCN(CC(N)=O)CN2B)ncc1Nc1ncc2ccc(-c3ccccc3[SH](C)S(B)(B)O)p2n1,Osimertinib MPO,chembl_wo/smiles_ga
BOc1cc(C2(O)CCN(CC(N)=O)CC2B)ncc1Nc1nbc2bbc(-c3bbccc3[SH](S)S(=C)(N)=O)p2n1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(C[PH](N)=O)CCC1(P)c1cc(OC)c(Nc2ncc3ccc(-c4cccbc4[SH](S)[SH](B)(B)=O)p3n2)bn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(C[PH](N)=O)CCC1(O)c1cc(OC)c(Nc2ncc3ccc(-c4pcccc4[SH](S)[SH](B)(B)=O)p3n2)bn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(C[PH](N)=O)CCC1(O)c1cc(OC)c(Nc2ncc3ccc(-c4pccbc4[SH](S)[SH](B)(B)=O)p3n2)bn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(C[PH](N)=O)CCC1(O)c1cc(OC)c(Nc2ncc3ccc(-c4pccbc4[SH](O)[SH](B)(B)=O)p3n2)bn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(C[PH](N)=O)CCC1(O)c1cc(OC)c(Nc2ncc3ccc(-c4cccbc4[SH](S)[SH](B)(B)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(C[PH](N)=O)CCC1(O)c1cc(OC)c(Nc2ncc3ccc(-c4cccbc4[SH](S)[SH](B)(B)=O)p3n2)bn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(C[PH](N)=O)CCC1(O)c1cc(OC)c(Nc2ncc3ccc(-c4cbcbc4[SH](S)[SH](B)(C)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(C[PH](N)=O)CCC1(O)c1cc(OC)c(Nc2ncc3ccc(-c4cbcbc4[SH](S)[SH](B)(B)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(C[PH](N)=O)CCC1(O)c1cc(OC)c(Nc2ncc3ccc(-c4bccbc4[SH](S)[SH](B)(B)=O)p3n2)bn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(C[PH](N)=O)CCC1(B)c1cc(OC)c(Nc2ncc3ccc(-c4cbcbc4[SH](S)[SH](B)(B)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CSC1(O)c1cc(OC)c(Nc2nbc3cbc(-c4ccccc4[SH](C)[SH](B)(B)=I)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)COC1(O)c1cc(OC)c(Nc2ncc3ccc(-c4ccccc4[SH](C)S(B)(B)O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(O)c1cc(OC)c(Nc2ncc3ccc(-c4ccccc4[SH](N)S(B)(N)O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(O)c1cc(OC)c(Nc2ncc3ccc(-c4ccccc4[SH](N)S(B)(B)O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(O)c1cc(OC)c(Nc2ncc3ccc(-c4ccccc4[SH](C)S(B)(B)O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(O)c1cc(OC)c(Nc2ncc3ccc(-c4bcccc4[SH](N)S(B)(B)O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(O)c1cc(OC)c(Nc2nbc3ccc(-c4ccccc4[SH](N)S(B)(B)O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(B)c1cc(OC)c(Nc2ncc3ccc(-c4ccccc4[SH](N)S(B)(N)O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(B)c1cc(OC)c(Nc2nbc3ccc(-c4pcccc4[SH](N)S(B)(C)O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(B)c1cc(OC)c(Nc2nbc3ccc(-c4pcccc4[SH](N)S(B)(B)O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(B)c1cc(OC)c(Nc2nbc3ccc(-c4pcccc4[SH](N)S(B)(B)C)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(B)c1cc(OC)c(Nc2nbc3ccc(-c4ccccc4[SH](N)S(B)(B)O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CC[PH]1(B)c1cc(OC)c(Nc2nbc3cbc(-c4pcccc4[SH](N)S(B)(B)C)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CCC1(P)c1cc(OC)c(Nc2ncc3ccc(-c4ccccc4[SH](C)[SH](B)(B)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CCC1(O)c1ncc(Nc2ncc3cbc(-c4bcccc4[SH](C)[SH](B)(=O)P)p3n2)c(OC)p1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CCC1(O)c1nbc(Nc2ncc3ccc(-c4bcccc4[SH](C)[SH](B)(=O)P)p3n2)c(OC)p1,Osimertinib MPO,chembl_wo/smiles_ga
BN1CN(CC(N)=O)CCC1(O)c1cc(OC)c(Nc2ncc3cpc(-c4ccccc4[SH](C)[SH](B)(B)=O)p3n2)cn1,Osimertinib MPO,chembl_wo/smiles_ga
