SMILES,property,source
COc1ccccc1NC(=O)Cn1c(=O)n(CCN(C)C)c(=O)c2cnc(Nc3ccc(N4CC(N)C4)cc3OC)nc21,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)n(CCN(C)C)c(=O)c2cnc(Nc3ccc(N4CC(O)C4)cc3OC)nc21,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CNC(O)C4)cc3OCCN(C)C)nc2n(C)c1=O,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)n(C)c(=O)c2cnc(Nc3ccc(N4CCN(CCO)CC4)cc3OC)nc21,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CCN(CCO)CC4)cc3OC)nc2n(C)c1=O,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc2n(CCN)c1=O,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CCN(CC(O)CN(C)C)CC4)cc3OC)nc2n(C)c1=O,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CCN(C(CO)CN(C)C)CC4)cc3OC)nc2n(C)c1=O,Osimertinib MPO,chembl_wo/smiles_lstm
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(=O)n(C)c(=O)n(CC(=O)Nc3cccc(C(N)=O)c3)c2n1,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)n(C)c(=O)c2cnc(Nc3ccc(N4CCN(CC(N)=O)CC4)cc3OC)nc21,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CCN(CC(N)=O)CC4)cc3OC)nc2n(C)c1=O,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CCN(C)C4O)cc3)nc2n(C)c1=O,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CCN(CC(=O)O)CC4)cc3OC)nc2n(C)c1=O,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3cnc(N4CCN(C)CC4)cc3OC)nc2n(C)c1=O,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)n(C)c(=O)c2cnc(Nc3ccnc(N4CCN(C)CC4)c3)nc21,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccc(NC(=O)Cn2c(=O)c3cc(Nc4ncccn4)ccc3n(CC(=O)NCCN(C)C)c2=O)c(OC)c1N,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)n(C)c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)c(NS(N)(=O)=O)c3)nc21,Osimertinib MPO,chembl_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)c(NS(N)(=O)=O)c3)nc2n(C)c1=O,Osimertinib MPO,chembl_wo/smiles_lstm
