SMILES,property,source
CC(C)c1cccc(C(C)C)c1NC(=O)NC1CCCc2occc21,SA_logP_target,best_from_chembl
CC(C)c1cccc(C(C)C)c1NC(=O)N(C)C(C)c1cccnc1,SA_logP_target,best_from_chembl
c1coc(-c2nc(-c3ccco3)c(-c3ccco3)nc2-c2ccco2)c1,SA_logP_target,best_from_chembl
Cc1noc(C)c1C(C)NC(=O)Nc1c(C(C)C)cccc1C(C)C,SA_logP_target,best_from_chembl
Cc1cc(C(=O)Nc2c(C(C)C)cccc2C(C)C)c(C)o1,SA_logP_target,best_from_chembl
Cc1cccc(C(C)C)c1NC(=O)c1cc(C)n(C(C)C)c1C,SA_logP_target,best_from_chembl
Cc1nc(CN(C)C(=O)Nc2c(C(C)C)cccc2C(C)C)cs1,SA_logP_target,best_from_chembl
Cc1cccc(C)c1Oc1ccccc1NCc1nnc(C2CCC2)o1,SA_logP_target,best_from_chembl
Cc1nc(C(C)Nc2c(C)cc(Br)cc2C)c(C)s1,SA_logP_target,best_from_chembl
Cc1cc(SC2CCCCC2)ccc1NCc1nnc(C2CC2)o1,SA_logP_target,best_from_chembl
Cc1cccc(C(C)C)c1NC(=O)NC(C)(C)c1nc(C)c(C)s1,SA_logP_target,best_from_chembl
Cc1cccc(C)c1NC(=O)c1ccc(SCc2cccnc2)cc1,SA_logP_target,best_from_chembl
Cc1cccc(C)c1NC(=O)c1sc2ccc(F)cc2c1C,SA_logP_target,best_from_chembl
Cc1cc(-c2csc(C3CC3)n2)c(C)n1Cc1cccs1,SA_logP_target,best_from_chembl
NC(c1c2ccccc2c(Cl)c2ccccc12)C(F)(F)F,SA_logP_target,best_from_chembl
N#CCCSc1ccccc1NC(=O)c1cccc(-c2ccoc2)c1,SA_logP_target,best_from_chembl
CC(C)c1ncc(CNC(CC(F)(F)F)c2ccc(F)cc2)s1,SA_logP_target,best_from_chembl
CC(C)c1nc(CNC(CC(F)(F)F)c2ccc(F)cc2)cs1,SA_logP_target,best_from_chembl
Cc1cc(-c2cccc(Cl)c2)ccc1NCc1nnc(C2CC2)o1,SA_logP_target,best_from_chembl
Cc1cc(C)n(-c2ccc(C(=O)Nc3c(C)cccc3C(C)C)cc2)n1,SA_logP_target,best_from_chembl
CC1(C)CCC(NC(=O)c2sccc2C2CC2)c2ccccc21,SA_logP_target,best_from_chembl
Fc1ccc(C(CC(F)(F)F)NCc2cccc3cccnc23)cc1,SA_logP_target,best_from_chembl
Cc1cc(SC(C)(C)C)ccc1NCc1nnc(C2CCC2)o1,SA_logP_target,best_from_chembl
NC(c1ccc2ccc3cccc4ccc1c2c34)C(F)(F)F,SA_logP_target,best_from_chembl
CC(=O)Nc1cccc(C(=O)Nc2c(C(C)C)cccc2C(C)C)c1,SA_logP_target,best_from_chembl
CC(=O)Nc1ccc(C(=O)Nc2c(C(C)C)cccc2C(C)C)cc1,SA_logP_target,best_from_chembl
CC(C)c1cccc(C(C)C)c1NCc1ccco1,SA_logP_target,best_from_chembl
Cc1nc(SCCCC#N)c2c(-c3cccs3)csc2n1,SA_logP_target,best_from_chembl
CC(=O)Oc1ccc(C(=O)Nc2c(C(C)C)cccc2C(C)C)cc1,SA_logP_target,best_from_chembl
Cc1cc(C)c(NC(=O)NC2CCSc3c(F)cccc32)c(C)c1,SA_logP_target,best_from_chembl
N#CCCC1(CCC#N)c2ccccc2-c2nc3ccccc3cc21,SA_logP_target,best_from_chembl
CC(C)Sc1c(Cl)cccc1NCc1nnc(C2CCC2)o1,SA_logP_target,best_from_chembl
CC(C)Sc1ccc(Cl)cc1NCc1nnc(C2CCC2)o1,SA_logP_target,best_from_chembl
c1ccc(Sc2ccccc2NCc2nnc(C3CCC3)o2)cc1,SA_logP_target,best_from_chembl
CC(C)c1cccc(C(C)C)c1NC(=O)CCc1ccco1,SA_logP_target,best_from_chembl
Cc1scc(C(=O)N2CCCC2c2ccccn2)c1-c1ccccc1,SA_logP_target,best_from_chembl
