SMILES,property,source
COc1ccccc1OC1C(=O)N=C(c2ncccn2)NC1=O,SC_osimertinib,moses_wc/best_from_chembl
COc1ccc(NC(=O)COC(=O)c2nccnc2N)cc1,SC_osimertinib,moses_wc/best_from_chembl
COc1cc(OC)cc(C(=O)OCC(=O)Nc2ncccn2)c1,SC_osimertinib,moses_wc/best_from_chembl
COc1ccccc1OCCNC(=O)c1nccnc1N,SC_osimertinib,moses_wc/best_from_chembl
COc1cccc(OCCNC(=O)c2nccnc2N)c1,SC_osimertinib,moses_wc/best_from_chembl
COC(=O)c1ccccc1NC(=O)Cn1cc(N)ccc1=O,SC_osimertinib,moses_wc/best_from_chembl
NC(=O)c1ccccc1NC(=O)COC(=O)c1ccncc1,SC_osimertinib,moses_wc/best_from_chembl
NC(=O)c1ccccc1NC(=O)COC(=O)c1cccnc1,SC_osimertinib,moses_wc/best_from_chembl
COC(=O)c1ccccc1NC(=O)COC(=O)c1cccnc1N,SC_osimertinib,moses_wc/best_from_chembl
COc1ccc(NC(=O)c2nccnc2N)c(OC)c1,SC_osimertinib,moses_wc/best_from_chembl
COc1ccc(C(=O)Nn2nnc3ccccc3c2=O)cc1OC,SC_osimertinib,moses_wc/best_from_chembl
COc1ccccc1OCC(=O)Nc1ccc(S(N)(=O)=O)cc1,SC_osimertinib,moses_wc/best_from_chembl
COC(=O)c1noc(C(=O)Nc2ccccc2OC)c1N,SC_osimertinib,moses_wc/best_from_chembl
CC(=O)Nc1ccccc1C(=O)OCC(=O)Nc1ncccn1,SC_osimertinib,moses_wc/best_from_chembl
Nc1ccccc1OCC(=O)Nc1c(N)ncnc1N,SC_osimertinib,moses_wc/best_from_chembl
NS(=O)(=O)c1ccc(NC(=O)Cn2nnc3ccccc32)cc1,SC_osimertinib,moses_wc/best_from_chembl
NC(=O)c1ccccc1NC(=O)CSc1ncccn1,SC_osimertinib,moses_wc/best_from_chembl
COC(=O)c1ccccc1NC(=O)CSc1nc(N)cc(N)n1,SC_osimertinib,moses_wc/best_from_chembl
COc1ccc(NC(=O)COc2coc(CO)cc2=O)cc1,SC_osimertinib,moses_wc/best_from_chembl
CCOc1ccccc1NC(=O)Cc1nonc1N,SC_osimertinib,moses_wc/best_from_chembl
COc1ccc(S(=O)(=O)Nc2ncccn2)c(N)c1,SC_osimertinib,moses_wc/best_from_chembl
COc1ccc(NC(=O)c2ccccc2N)cc1S(N)(=O)=O,SC_osimertinib,moses_wc/best_from_chembl
CC(OC(=O)c1nccnc1N)C(=O)Nc1ccccc1,SC_osimertinib,moses_wc/best_from_chembl
