SMILES,property,source
COc1ccccc1NC(=O)C(NC(O)C(O)Nc1ccccc1OC)C(O)Nc1ncccn1,SC_osimertinib,moses_wc/graph_ga
COC(=O)C(NC(C(=O)Nc1ccccc1OC)C(O)Nc1ncccn1)C(O)Nc1ccccc1OC,SC_osimertinib,moses_wc/graph_ga
COc1ccccc1NC(=O)C(NC(O)C(Nc1ccccc1OC)C(C)=O)C(O)Nc1ncccn1,SC_osimertinib,moses_wc/graph_ga
COc1ccccc1NC(=O)C(NC(O)Nc1ccccc1OC)C(O)Nc1ncccn1,SC_osimertinib,moses_wc/graph_ga
COc1ccc(NC(=O)C(NC(O)Nc2ccccc2)C(O)Nc2ncccn2)c(OC)c1,SC_osimertinib,moses_wc/graph_ga
COc1ccccc1NC(O)C=CC(O)C(O)C(Nc1ncccn1)C(O)S(=O)(=O)Nc1ccccc1OC,SC_osimertinib,moses_wc/graph_ga
COc1ccccc1NC(=O)C(NC(O)C(Nc1ccccc1OC)OC)C(O)Nc1ncccn1,SC_osimertinib,moses_wc/graph_ga
COc1ccccc1NC(=O)C(NC(O)C(O)c1ccccc1OC)C(O)Nc1ncccn1,SC_osimertinib,moses_wc/graph_ga
COc1ccc(NS(=O)(=O)C(O)C(O)C(Nc2ccccc2OC)C(O)Nc2ncccn2)c(OC)c1,SC_osimertinib,moses_wc/graph_ga
COc1ccc(NC(C(O)Nc2ncccn2)C(O)C(O)S(=O)(=O)Nc2ccccc2OC)c(OC)c1,SC_osimertinib,moses_wc/graph_ga
COc1ccccc1NC(O)NC=CC(O)C(Nc1ncccn1)C(O)S(=O)(=O)Nc1ccccc1OC,SC_osimertinib,moses_wc/graph_ga
COc1ccccc1NC(=O)C(NC(O)C(Nc1cccnc1OC)C(C)=O)C(O)Nc1ncccn1,SC_osimertinib,moses_wc/graph_ga
COc1ccccc1NC(=O)C(NC(O)C(OC)C(=O)c1ccccc1OC)C(O)Nc1ncccn1,SC_osimertinib,moses_wc/graph_ga
