SMILES,property,source
CC(=O)Nc1ccccc1C(=O)OCC(O)Nc1ncccn1,SC_osimertinib,moses_wc/smiles_ga
COc1ccccc1NS(=O)(=O)c1cnc(N)nc1,SC_osimertinib,moses_wc/smiles_ga
COc1ccccc1OC1C(=O)N=C(c2ncccn2)NC1=O,SC_osimertinib,moses_wc/smiles_ga
NC(O)c1ccccc1NC(=O)COC(=O)c1cccnc1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(NC(=O)COC(=O)c2nccnc2N)cc1,SC_osimertinib,moses_wc/smiles_ga
COc1cc(OC)cc(C(=O)OCC(=O)Nc2ncccn2)c1,SC_osimertinib,moses_wc/smiles_ga
COc1ccccc1OCCNC(=O)c1nccnc1N,SC_osimertinib,moses_wc/smiles_ga
COc1cccc(OCCNC(=O)c2nccnc2N)c1,SC_osimertinib,moses_wc/smiles_ga
COC(=O)c1ccccc1NC(=O)Cc1nobc1N,SC_osimertinib,moses_wc/smiles_ga
COC(=O)c1ccccc1NC(=O)Cn1cc(N)ccc1=O,SC_osimertinib,moses_wc/smiles_ga
NC(=O)c1ccccc1NC(=O)COC(=O)c1ccncc1,SC_osimertinib,moses_wc/smiles_ga
NC(=O)c1ccccc1NC(=O)COC(=O)c1cccnc1,SC_osimertinib,moses_wc/smiles_ga
COC(=O)c1ccccc1NC(=O)COC(=O)c1cccnc1N,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(NC(=O)c2nccnc2N)c(OC)c1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(C(=O)Nn2nnc3ccccc3c2=O)cc1OC,SC_osimertinib,moses_wc/smiles_ga
COc1ccccc1OCC(=O)Nc1ccc(S(N)(=O)=O)cc1,SC_osimertinib,moses_wc/smiles_ga
COC(=O)c1noc(C(=O)Nc2ccccc2OC)c1N,SC_osimertinib,moses_wc/smiles_ga
CC(=O)Nc1ccccc1C(=O)OCC(=O)Nc1ncccn1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(NC(=O)COc2coc(BO)cc2=O)cc1,SC_osimertinib,moses_wc/smiles_ga
Nc1ccccc1OCC(=O)Nc1c(N)ncnc1N,SC_osimertinib,moses_wc/smiles_ga
NS(=O)(=O)c1ccc(NC(=O)Cn2nnc3ccccc32)cc1,SC_osimertinib,moses_wc/smiles_ga
NC(=O)c1ccccc1NC(=O)CSc1ncccn1,SC_osimertinib,moses_wc/smiles_ga
COC(=O)c1ccccc1NC(=O)CSc1nc(N)cc(N)n1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(OC)c(N[PH](=O)c2nccnc2N)c1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(NC(=O)COc2coc(CO)cc2=O)cc1,SC_osimertinib,moses_wc/smiles_ga
CCOc1ccccc1NC(=O)Cc1nonc1N,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(S(=O)(=O)Nc2ncccn2)c(N)c1,SC_osimertinib,moses_wc/smiles_ga
COc1ccccc1CNC(=O)CSc1nc(N)nc(N)n1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(NC(=O)c2ccccc2N)cc1S(N)(=O)=O,SC_osimertinib,moses_wc/smiles_ga
CC(OC(=O)c1nccnc1N)C(=O)Nc1ccccc1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(OC)c(NC(=O)c2nccnc2N)c1,SC_osimertinib,moses_wc/smiles_ga
COc1cc(NC(=O)c2nccnc2N)cc(OC)c1,SC_osimertinib,moses_wc/smiles_ga
COc1cc(N)c(C(=O)Nc2ncccn2)cc1OC,SC_osimertinib,moses_wc/smiles_ga
NS(=O)(=O)c1ccc(NC(=O)COc2ncccn2)cc1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(CNC(=O)c2nccnc2N)c(OC)c1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(NC(=O)C#Cc2ccccc2)cc1S(N)(=O)=O,SC_osimertinib,moses_wc/smiles_ga
NC(=O)c1cccc(NC(=O)COc2cccc(C(N)=O)c2)c1,SC_osimertinib,moses_wc/smiles_ga
COc1cc(OC)nc(NC(=O)CS(=O)(=O)c2ccccc2)n1,SC_osimertinib,moses_wc/smiles_ga
NC(=O)c1ccccc1OCC(=O)Nc1ccccc1N,SC_osimertinib,moses_wc/smiles_ga
CC(=O)Nc1ccc(S(=O)(=O)c2cnc(N)nc2)cc1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(OCCNC(=O)c2nccnc2N)cc1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(NC(O)C#Cc2ccccc2)cc1S(N)(=O)=O,SC_osimertinib,moses_wc/smiles_ga
NC(=O)c1ccccc1NC(=O)COC(=O)c1ccco1,SC_osimertinib,moses_wc/smiles_ga
COC(=O)c1ccccc1NC(=O)Cn1cc(N)cn1,SC_osimertinib,moses_wc/smiles_ga
COc1ccc(CN(C)Cc2nc(N)nc(N)n2)c(OC)c1,SC_osimertinib,moses_wc/smiles_ga
COc1ccccc1NS(=O)(=O)c1ccc(S(N)(=O)=O)cc1,SC_osimertinib,moses_wc/smiles_ga
NC(=O)COS(=O)c1ccc(Cn2nnc3ccccc32)cc1,SC_osimertinib,moses_wc/smiles_ga
O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ncccn1,SC_osimertinib,moses_wc/smiles_ga
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,SC_osimertinib,moses_wc/smiles_ga
NC(=O)COC(=O)c1ccc(Cn2nnc3ccccc32)cc1,SC_osimertinib,moses_wc/smiles_ga
COC(=O)C(NC(=O)CSc1nc(N)cc(N)n1)c1ccccc1,SC_osimertinib,moses_wc/smiles_ga
COc1coc(C(=O)Nc2ccccc2C(N)=O)cc1=O,SC_osimertinib,moses_wc/smiles_ga
COC(=O)c1ccccc1NC(=O)CSc1nccc(=O)[nH]1,SC_osimertinib,moses_wc/smiles_ga
COC(=O)c1nnn(CC(=O)Nc2cc(C)ccc2OC)c1N,SC_osimertinib,moses_wc/smiles_ga
COc1cccc(OC)c1-c1ccc(C(N)=O)c(N)n1,SC_osimertinib,moses_wc/smiles_ga
Nc1nonc1C(=O)OCC(=O)Nc1ccccc1,SC_osimertinib,moses_wc/smiles_ga
Nc1nonc1C(=O)OCC(=O)Nc1ccpcc1,SC_osimertinib,moses_wc/smiles_ga
CCOC(=O)c1cn(CC(=O)Nc2ccccc2OC)nn1,SC_osimertinib,moses_wc/smiles_ga
