SMILES,property,source
COc1cc(OC)c(NC(=O)Cn2c(N)nc(=O)c3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1ccccc1NC(=O)COC(=O)Cn1cc(-c2nc(N)ncc2N)ccc1=O,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(=O)oc(=O)c3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(N)nc3ccccc3c2=O)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)CN(C)C(=O)Cn2c(=O)oc3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)COC(=O)c2nc3ccccc3c(=O)n2C)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)Cn2c(=O)cnc3ccccc3c2=O)c(N)c(OC)c1,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)COc2nc(=O)n(C)c3ccccc3c2=O)ccc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(NC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(OC)c(NC(=O)Cn2cc(-c3nc(N)ncc3N)ccc2=O)c1,SC_osimertinib,moses_wc/smiles_lstm
NC(=O)COc1ccc(NC(=O)Cn2c(=O)oc3ccccc32)c(-c2nccnc2N)c1,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)COC(=O)Cn2c(N)nc3ccccc3c2=O)c(OC)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(NC(=O)COC(=O)Cn2c(N)nc3ccccc3c2=O)c(OC)c1,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)COC(=O)Cn2ncc(=O)c3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2nnc3ccccc3c2=O)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2nnc(=O)c3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)COC(=O)Cn2c(=O)oc3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(NC(=O)Cn2c(=O)c(=O)n(C)c(=O)c3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)COC(=O)Cn2nnc(=O)c3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)Cn2c(=O)oc(=O)c3ccccc32)c(OC)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)Cn2c(=O)oc(=O)c3ccccc32)c(N)c(OC)c1,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(NC(=O)COC(=O)Cn2c(N)nc3ccccc3c2=O)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)COC(=O)Cn2c(N)nc3cccnc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)CNC(=O)Cn2c(N)nc3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)Cn2c(N)nc3ccccc3c2=O)c(OC)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)Cn2c(N)nc3ccccc3c2=O)c(N)c(OC)c1,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(NC(=O)Cn2c(=O)n(N)c(=O)c3ccccc32)c(OC)c1,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(NC(=O)Cn2c(=O)c(=O)oc(=O)c3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(N)nc3cnccc3c2=O)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(N)nc3cccnc3c2=O)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(NC(=O)COC(=O)Cn2c(-c3ncccn3)cccc2=O)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cccc(NC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)c1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)ccc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(NC(=O)CNC(=O)Cn2cnc(=O)c3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)COC(=O)Cn2nc(N)c(=O)c3ccccc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)COC(=O)Cn2ccc(=O)c3cccnc32)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)COC(=O)Cn2c(N)nc3ccccc3c2=O)cc(OC)c1,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(NC(=O)Cn2c(N)nc3ccccc3c2=O)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1ccc(NC(=O)CN(C)C(=O)Cn2c(=O)oc(=O)c3ccccc32)c(OC)c1,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(N)nc(=O)n(-c3ccccc3)c2=O)cc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)Cn2cnc(=O)c(=O)c3ccccc32)ccc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1cc(NC(=O)Cn2c(=O)cnc3ccccc3c2=O)ccc1N,SC_osimertinib,moses_wc/smiles_lstm
COc1ccccc1NC(=O)CN(C)C(=O)COC(=O)Cn1c(N)nc2cccnc21,SC_osimertinib,moses_wc/smiles_lstm
