SMILES,property,source
COc1ccc(NC(=O)CN2CCN(c3ncccn3)CC2)cc1N,Osimertinib MPO,moses_wo/best_from_chembl
COc1ccc(N)cc1NC(=O)CN1CCN(c2ncccn2)CC1,Osimertinib MPO,moses_wo/best_from_chembl
COc1cc(N)ccc1NC(=O)CN1CCN(c2ncccn2)CC1,Osimertinib MPO,moses_wo/best_from_chembl
CN(C)c1ccc(NC(=O)Cn2c(=O)[nH]c(=O)c3ccccc32)cn1,Osimertinib MPO,moses_wo/best_from_chembl
COc1ccnc(NC(=O)CCn2c(=O)[nH]c(=O)c3ccccc32)c1,Osimertinib MPO,moses_wo/best_from_chembl
O=C(Cn1cnc2ccccc2c1=O)NCC(=O)Nc1cccnc1,Osimertinib MPO,moses_wo/best_from_chembl
COc1ccccc1Nc1nc(N)nc(CN2CCNC(=O)C2)n1,Osimertinib MPO,moses_wo/best_from_chembl
Cc1nccc(-c2cccc(NC(=O)Cn3ccc(=O)[nH]c3=O)c2)n1,Osimertinib MPO,moses_wo/best_from_chembl
COc1ccccc1CNC(=O)Cn1c(-c2ccccn2)noc1=O,Osimertinib MPO,moses_wo/best_from_chembl
O=C1COc2ccc(C(=O)Cn3nnc4ccccc4c3=O)cc2N1,Osimertinib MPO,moses_wo/best_from_chembl
COc1ccccc1Nc1nc(N)nc(CN2CCOCC2)n1,Osimertinib MPO,moses_wo/best_from_chembl
NC(=O)C1CC(O)CN1c1nc(-c2cccnc2)nc2ccccc12,Osimertinib MPO,moses_wo/best_from_chembl
COc1ccnc(NC(=O)Cn2nnc3ccccc3c2=O)c1,Osimertinib MPO,moses_wo/best_from_chembl
COc1ccccc1NC(=O)Cn1c(=O)c(N(C)C)c(N)n(C)c1=O,Osimertinib MPO,moses_wo/best_from_chembl
COc1ccc(N)cc1NC(=O)CCn1cccnc1=O,Osimertinib MPO,moses_wo/best_from_chembl
COCc1cc(=O)n(CC(=O)Nc2ccccc2OC)c(N)n1,Osimertinib MPO,moses_wo/best_from_chembl
CC(C(=O)Nc1cccc2ncccc12)N1CCOC(C(N)=O)C1,Osimertinib MPO,moses_wo/best_from_chembl
Cn1cnc(S(=O)(=O)NCC(=O)Nc2ccc3ncccc3c2)c1,Osimertinib MPO,moses_wo/best_from_chembl
Cc1ccc(-c2ncco2)cc1NC(=O)Cn1ccc(=O)n(C)c1=O,Osimertinib MPO,moses_wo/best_from_chembl
O=C(Cn1c(=O)oc2ccccc21)Nc1ccc(-n2cncn2)nc1,Osimertinib MPO,moses_wo/best_from_chembl
