SMILES,property,source
COc1cc(OC)c(NC(=O)C(N)N2CCN(c3nccc(C(=O)n4c(=O)nc(C)c5ccccc54)n3)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)C(N)n2c(=O)nc(N3CCN(C)CC3)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)C(N)N2CCN(c3nccc(C(=O)Cn4c(=O)[nH]c(=O)c5ccccc54)n3)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)C(=O)n2c(=O)nc(N3CCN(C)CC3)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)C(=O)Cn2c(=O)nc(N3CCN(C)CC3)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)CN2CCN(c3nccc(C(=O)n4c(=O)nc(OC)c5ccccc54)n3)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)Cc2cccnc2N2CCN(C(N)Cn3c(=O)nc(OC)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)C(=O)Cc2cccnc2N(C)CCN(C)C(N)Cn2c(=O)nc(CN)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)Cc2cccnc2N2CCN(C(N)n3c(=O)nc(ON)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)CNc2cccnc2N2CCN(C(N)Cn3c(=O)nc(N)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)C(=O)C(N)n2c(=O)nc(N3CCN(C)CC3)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)Cc2cccnc2N2CCN(C(N)Cn3c(=O)nc(CN)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)CN(C)Cc2nccc(C(=O)Cn3c(=O)[nH]c(=O)c4ccccc43)n2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)C(N)N2CCN(c3nccc(C(=O)n4c(=O)nc(C)c5ccccc54)n3)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)C(C)N2CCN(c3nccc(C(=O)n4c(=O)[nH]c(=O)c5ccccc54)n3)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)C(N)c2cccnc2N2CCN(C(N)Cn3c(=O)nc(C)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)C(N)c2cccnc2N2CCN(C(N)Cn3c(=O)nc(OC)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)Cc2cccnc2N2CCN(C(N)Cn3c(=O)nc(N)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)CN(C)CCc2nccc(C(=O)Cn3c(=O)[nH]c(=O)c4ccccc43)n2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)C(OC)n2c(=O)nc(N3CCN(C)CC3)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)C(ON)n2c(=O)nc(N3CCN(C)CC3)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/graph_ga
COOc1cc(OC)c(N)cc1NC(=O)C(N)n1c(=O)nc(N2CCN(C)CC2)c2ccccc21,Osimertinib MPO,moses_wo/graph_ga
COOc1cc(OC)c(N)cc1NC(=O)C(=O)n1c(=O)nc(N2CCN(C)CC2)c2ccccc21,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)CN(C)Cn2c(=O)nc(N3CCN(C)CC3)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/graph_ga
COOc1cc(OC)c(N)cc1NC(=O)C(=O)Cn1c(=O)nc(N2CCN(C)CC2)c2ccccc21,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)CN2C=CCN(c3nccc(C(=O)Cn4c(=O)[nH]c(=O)c5ccccc54)n3)C2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COOc1cc(OC)c(N)cc1NC(=O)Cc1cccnc1N1CCN(C(N)Cn2c(=O)nc(N)c3ccccc32)CC1,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)Cc2cccnc2N2CCN(C(N)n3c(=O)nc(N)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)CN2CCN(c3nccc(C(=O)n4c(=O)nc(N)c5ccccc54)n3)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)Cc2cccnc2N2CCN(C(N)Cn3c(=O)nc(N)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)CN2CCN(c3nccc(C(=O)Cn4c(=O)[nH]c(=O)c5ccccc54)n3)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)C(=O)Cc2cccnc2N2CCN(Cn3c(=O)nc(N)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)Cc2cccnc2N2CCN(C(N)Cn3c(=O)[nH]c(=O)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(NC(=O)CN2CCN(c3nccc(C(=O)Cn4c(=O)[nH]c(=O)c5ccccc54)n3)CC2)c(OC)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)Cc2cccnc2N2CCN(C(N)Cn3c(=O)nc(CN)c4ccccc43)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(NC(=O)CCN2CCN(c3nccc(C(=O)Cn4c(=O)[nH]c(=O)c5ccccc54)n3)CC2)cc1N,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(N)cc1NC(=O)Cc1cccnc1N1CCN(C(N)Cn2c(=O)nc(OC)c3ccccc32)CC1,Osimertinib MPO,moses_wo/graph_ga
COc1cc(ON)c(N)cc1NC(=O)Cc1cccnc1N1CCN(C(N)n2c(=O)nc(OC)c3ccccc32)CC1,Osimertinib MPO,moses_wo/graph_ga
COc1cc(OC)c(NC(=O)CC(N)n2c(=O)nc(N3CCN(C)CC3)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/graph_ga
