SMILES,property,source
Cn1pnc(-c2bc(BC(=O)Nc3ccccc3OP)no2)bc1=O,Osimertinib MPO,moses_wo/smiles_ga
Cn1bcc(-c2nc(CC(=O)Nc3ccbcc3OP)no2)cc1=O,Osimertinib MPO,moses_wo/smiles_ga
Cn1bcc(-c2nc(CC(=O)Nc3ccbbc3OP)no2)cc1=O,Osimertinib MPO,moses_wo/smiles_ga
Cn1bbc(-c2nc(CC(=O)Nc3ccbcc3OP)no2)cc1=O,Osimertinib MPO,moses_wo/smiles_ga
COc1pcpbc1NC(=O)Cc1noc(-c2bbn(C)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1pccbc1NC(=O)Cc1noc(-c2bc(=O)n(C)cc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cpccc1NC(=O)Bc1noc(-c2bcn(C)c(=O)b2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cpccc1NC(=O)Bc1noc(-c2bc(=O)n(C)cc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cpccc1NC(=O)Bc1noc(-c2bc(=O)n(C)bc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cpccc1NC(=O)Bc1bc(-c2bc(=O)n(C)pn2)on1,Osimertinib MPO,moses_wo/smiles_ga
COc1cpbcc1NC(=O)Bc1noc(-c2bc(=O)n(C)cc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cpbcc1NC(=O)Bc1noc(-c2bc(=O)n(C)bc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccpbc1NC(=O)Cc1noc(-c2bbn(C)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cccpc1N[PH](=O)Bc1noc(-c2cbn(C)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1N[PH](=O)Bc1noc(-c2cbn(C)c(=O)p2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1N[PH](=O)Bc1noc(-c2cbn(C)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1NS(=O)Bc1noc(-c2cpn(C)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1NC(=O)Cc1noc(-c2cbn(C)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1NC(=O)Cc1noc(-c2bc(=O)n(C)cc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1NC(=O)Cc1noc(-c2bbn(C)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1NC(=O)Bc1noc(-c2ccn(P)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1NC(=O)Bc1noc(-c2ccn(C)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1NC(=O)Bc1noc(-c2cbn(C)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1NC(=O)Bc1noc(-c2bc(=O)n(C)cc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1NC(=O)Bc1bc(-c2cc(=O)n(C)pn2)on1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccccc1NC(=O)Bc1bc(-c2bc(=O)n(C)pn2)on1,Osimertinib MPO,moses_wo/smiles_ga
COc1cccbc1NC(=O)Cc1noc(-c2bc(=O)n(C)cp2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cccbc1NC(=O)Cc1noc(-c2bbn(C)c(=O)c2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccbcc1NC(=O)Cc1noc(-c2bc(=O)n(C)pc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccbcc1NC(=O)Cc1noc(-c2bc(=O)n(C)cc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1ccbcc1NC(=O)Bc1noc(-c2bc(=O)n(C)cc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cbcpc1NC(=O)Cc1noc(-c2bc(=O)n(C)cc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cbccc1NC(=O)Cc1noc(-c2bc(=O)n(C)cp2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cbccc1NC(=O)Cc1noc(-c2bc(=O)n(C)cc2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cbcbc1NC(=O)Cc1noc(-c2bcn(C)c(=O)b2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cbcbc1NC(=O)Cc1noc(-c2bc(=O)n(C)cp2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1cbbcc1NC(=O)Cc1noc(-c2bc(=O)n(C)cp2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1bpcpc1NC(=O)Cc1noc(-c2bbn(C)c(=O)b2)n1,Osimertinib MPO,moses_wo/smiles_ga
COc1bpbbc1NC(=O)Cc1noc(-c2ccn(C)c(=O)p2)n1,Osimertinib MPO,moses_wo/smiles_ga
