SMILES,property,source
COc1cc(OC)c(NC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(N)nc(=O)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(=O)c(=O)n(C)c(=O)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(CO)nc(=O)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(OC)c(NC(=O)CN2CCN(c3ncccn3)CC2)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(=O)oc(=O)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(N)nc3ccccc3c2=O)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(CO)nc3ccccc3c2=O)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1ccc(NC(=O)CN(C)Cn2nnc3ccccc3c2=O)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1ccccc1NC(=O)Cn1c(N)nc(=O)c2noc(=O)c3cccc1c32,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(=O)n(CO)c(=O)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1ccc(NC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)c(OC)c1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(NC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)c(OC)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(NC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)c(N)c(OC)c1,Osimertinib MPO,moses_wo/smiles_lstm
COc1ccc(N)cc1NC(=O)COC(=O)Cn1c(N)nc(=O)c2ccccc21,Osimertinib MPO,moses_wo/smiles_lstm
COc1ccc(NC(=O)Cn2c(N)nc(=O)c3ccccc32)c(OC)c1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(NC(=O)Cn2c(N)nc(=O)c3ccccc32)c(OC)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1ccncc1NC(=O)Cn1c(N)nc(=O)c2ccccc21,Osimertinib MPO,moses_wo/smiles_lstm
COc1ccc(NC(=O)Cn2c(=O)cnc3ccccc3c2=O)c(OC)c1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1cc(OC)c(NC(=O)Cn2c(=O)[nH]c(=O)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1ccc(NC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)cc1N,Osimertinib MPO,moses_wo/smiles_lstm
COc1ccc(N)cc1NC(=O)Cn1c(=O)n(C)c(=O)c2ccccc21,Osimertinib MPO,moses_wo/smiles_lstm
COc1ccc(N)cc1NC(=O)Cn1c(=N)n(C)c(=O)c2ccccc21,Osimertinib MPO,moses_wo/smiles_lstm
