SMILES,property,source
c1ccc2c(c1)nc(CN1CCOCC1)n1c3ccccc3nc21,SA_CNS,chembl_wa/best_of_chembl
c1ccc(-c2nnc(-c3ccccn3)nc2-c2ccccc2)cc1,SA_CNS,chembl_wa/best_of_chembl
c1ccc(-c2nc(Cn3cncn3)no2)cc1,SA_CNS,chembl_wa/best_of_chembl
O=c1cc(Cn2ccnc2)c2ccc(OCc3ccccc3)cc2o1,SA_CNS,chembl_wa/best_of_chembl
O=c1c2cc3c(cc2ncn1Cc1ccc(-c2ccccc2)cc1)OCO3,SA_CNS,chembl_wa/best_of_chembl
O=[N+]([O-])c1cccc(COc2ccccc2CN2CCCCC2)c1,SA_CNS,chembl_wa/best_of_chembl
O=S(=O)(CCn1nnc(-c2ccccc2Cl)n1)c1ccccc1,SA_CNS,chembl_wa/best_of_chembl
O=S(=O)(C=Cc1ccccc1)N1CCN(c2ccc(F)cc2)CC1,SA_CNS,chembl_wa/best_of_chembl
O=C1c2cccnc2C(=O)c2ncccc21,SA_CNS,chembl_wa/best_of_chembl
O=C1c2cccnc2C(=O)N1Cc1ccc(F)cc1,SA_CNS,chembl_wa/best_of_chembl
O=C1c2ccccc2C(=O)N1CCCOc1ccc(Cl)c(Cl)c1,SA_CNS,chembl_wa/best_of_chembl
O=C1COc2ccccc2N1CCCn1cc(-c2ccccc2)nn1,SA_CNS,chembl_wa/best_of_chembl
O=C(c1nc2ccccc2s1)N1CCN(c2ccncc2)CC1,SA_CNS,chembl_wa/best_of_chembl
O=C(c1ccccc1)N1CCN(C(=O)c2ccncc2)CC1,SA_CNS,chembl_wa/best_of_chembl
O=C(c1ccc(Cl)cc1)C1CCN(C(=O)N2CCOCC2)CC1,SA_CNS,chembl_wa/best_of_chembl
O=C(c1cc2ccccc2oc1=O)N1CCN(c2ccc(F)cc2)CC1,SA_CNS,chembl_wa/best_of_chembl
O=C(c1cc(F)ccc1Br)N1CCN(C(=O)C2CC2)CC1,SA_CNS,chembl_wa/best_of_chembl
O=C(OCn1nnc2ccccc2c1=O)c1ccc2ccccc2n1,SA_CNS,chembl_wa/best_of_chembl
O=C(OCc1ccccc1)n1cc2ccccc2n1,SA_CNS,chembl_wa/best_of_chembl
O=C(N1CCN(Cc2ccc3ccccc3c2)CC1)n1cccn1,SA_CNS,chembl_wa/best_of_chembl
O=C(COc1ccc(Cl)c2cccnc12)N1CCOCC1,SA_CNS,chembl_wa/best_of_chembl
O=C(C1CCCC1)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,SA_CNS,chembl_wa/best_of_chembl
N#Cc1ccccc1C=NN1CCN(c2ccccc2)CC1,SA_CNS,chembl_wa/best_of_chembl
N#CCn1c(-c2ccccc2)nc2ccccc2c1=O,SA_CNS,chembl_wa/best_of_chembl
Cn1nnnc1SCC(=O)N1CCc2ccccc2C1,SA_CNS,chembl_wa/best_of_chembl
Cn1nc(OCc2ccccc2)c2cc([N+](=O)[O-])ccc21,SA_CNS,chembl_wa/best_of_chembl
Cn1nc(-c2ccccc2)c2nc3ccccc3nc21,SA_CNS,chembl_wa/best_of_chembl
Clc1ccccc1OCc1nc(-c2ccccn2)no1,SA_CNS,chembl_wa/best_of_chembl
Clc1ccc(CSc2nncn2-c2ccccn2)cc1,SA_CNS,chembl_wa/best_of_chembl
Cc1nn(CCOc2ccccc2)c(=O)n1-c1ccc(F)cc1,SA_CNS,chembl_wa/best_of_chembl
Cc1nc2ccccc2c(=O)n1CCCn1ccnc1,SA_CNS,chembl_wa/best_of_chembl
Cc1ccccc1C(=O)N1CCC(N2C(=O)CCc3ccccc32)CC1,SA_CNS,chembl_wa/best_of_chembl
Cc1cccc(OC2CN(C(=O)c3cnn(C)c3)C2)c1,SA_CNS,chembl_wa/best_of_chembl
Cc1cccc(C(=O)N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)c1,SA_CNS,chembl_wa/best_of_chembl
Cc1ccc2c(CC(=O)N3CCOCC3)coc2c1,SA_CNS,chembl_wa/best_of_chembl
Cc1ccc(-n2nnnc2CCl)cc1,SA_CNS,chembl_wa/best_of_chembl
Cc1ccc(-n2nncc2-c2ccccn2)cc1,SA_CNS,chembl_wa/best_of_chembl
Cc1ccc(-n2nnc3cccnc32)cc1C,SA_CNS,chembl_wa/best_of_chembl
Cc1ccc(-n2c(C)nnc2C2CCN(c3ccccn3)CC2)cc1,SA_CNS,chembl_wa/best_of_chembl
Cc1cc(Br)ccc1OCc1nc(-c2cccnc2)no1,SA_CNS,chembl_wa/best_of_chembl
COc1ccccc1OCCCN1C(=O)C(=O)c2cccc(C)c21,SA_CNS,chembl_wa/best_of_chembl
COc1cccc(N2CCN(C(=O)c3cc(C)ccc3OC)CC2)c1,SA_CNS,chembl_wa/best_of_chembl
COc1ccc(Cl)cc1S(=O)(=O)n1nnc2ccccc21,SA_CNS,chembl_wa/best_of_chembl
COc1ccc(Cl)c2sc(N3CCN(C(C)=O)CC3)nc12,SA_CNS,chembl_wa/best_of_chembl
COc1ccc(C(C)=O)cc1CSc1ncccn1,SA_CNS,chembl_wa/best_of_chembl
COc1ccc(C(C)=O)cc1CSc1nc2ccccc2o1,SA_CNS,chembl_wa/best_of_chembl
COc1ccc(-n2nnnc2SCc2nc3ccccc3s2)cc1,SA_CNS,chembl_wa/best_of_chembl
COc1ccc(-c2nnc(-c3ccccc3)o2)cc1OC,SA_CNS,chembl_wa/best_of_chembl
COc1ccc(-c2nc3cccnc3n2CC(=O)N(C)C)cc1,SA_CNS,chembl_wa/best_of_chembl
COc1ccc(-c2csc(N3CCOCC3)n2)cc1OC,SA_CNS,chembl_wa/best_of_chembl
COc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,SA_CNS,chembl_wa/best_of_chembl
COc1ccc(-c2cc(C(=O)N3CCC3)c3ccccc3n2)cc1OC,SA_CNS,chembl_wa/best_of_chembl
COc1cc2cnn(-c3ccccc3)c(=O)c2cc1OC,SA_CNS,chembl_wa/best_of_chembl
COc1cc2c(cc1OC)-c1cc3ccccc3c(=O)n1CCC2,SA_CNS,chembl_wa/best_of_chembl
COc1cc(OC)cc(C(=O)C=Cc2cnc3ccccc3c2)c1,SA_CNS,chembl_wa/best_of_chembl
COc1cc(OC)c(OC)cc1CN1CCN(C(=O)CC(C)C)CC1,SA_CNS,chembl_wa/best_of_chembl
COc1cc(C(C)=O)ccc1OC(=O)CN1C(=O)c2ccccc2C1=O,SA_CNS,chembl_wa/best_of_chembl
COc1cc(C(=O)C=Cc2ccc(OCC#N)cc2)cc(OC)c1OC,SA_CNS,chembl_wa/best_of_chembl
COc1cc(Br)c(-n2nnc3ccccc32)cc1OC,SA_CNS,chembl_wa/best_of_chembl
COCCSc1nnc(-c2ccccc2)o1,SA_CNS,chembl_wa/best_of_chembl
COCCCn1c(=O)c2ccccc2n(Cc2ccc(C)cc2)c1=O,SA_CNS,chembl_wa/best_of_chembl
COC(=O)c1ccn(Cc2ccccc2Cl)n1,SA_CNS,chembl_wa/best_of_chembl
COC(=O)c1ccccc1C(=O)c1ccccc1,SA_CNS,chembl_wa/best_of_chembl
COC(=O)c1ccc2nc(-c3ccccc3)c(Cc3ccc(C)cc3)n2c1,SA_CNS,chembl_wa/best_of_chembl
COC(=O)c1ccc(OC(=O)c2ccccn2)cc1,SA_CNS,chembl_wa/best_of_chembl
COC(=O)c1ccc(C=NN2CCN(Cc3ccccc3)CC2)cc1,SA_CNS,chembl_wa/best_of_chembl
COC(=O)c1cc2c(o1)c1ccccc1n2Cc1ccc(F)cc1,SA_CNS,chembl_wa/best_of_chembl
COC(=O)CCc1nc(-c2ccccc2)no1,SA_CNS,chembl_wa/best_of_chembl
COC(=O)C=CC(=O)c1cccnc1,SA_CNS,chembl_wa/best_of_chembl
CN1CCC(N(C)Cc2ccccc2[N+](=O)[O-])CC1,SA_CNS,chembl_wa/best_of_chembl
CN1C(=O)C(C)(C)c2cc(S(=O)(=O)N3CCCCCC3)ccc21,SA_CNS,chembl_wa/best_of_chembl
CN(c1nc2ccccc2nc1Cl)S(=O)(=O)c1ccccc1,SA_CNS,chembl_wa/best_of_chembl
CN(C)CCN(Cc1cccnc1)C(=O)c1ccn(-c2ccccc2)n1,SA_CNS,chembl_wa/best_of_chembl
CN(C(=O)c1cc2ccccc2oc1=O)c1ccccc1,SA_CNS,chembl_wa/best_of_chembl
CN(C(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1)c1ccccc1,SA_CNS,chembl_wa/best_of_chembl
CCc1nnc2ccc(-c3ccccc3)nn12,SA_CNS,chembl_wa/best_of_chembl
CCc1ccc(S(=O)(=O)n2ccnc2)cc1,SA_CNS,chembl_wa/best_of_chembl
CCc1cc2c(N3CCN(C(=O)c4ccccc4)CC3)ncnc2s1,SA_CNS,chembl_wa/best_of_chembl
