SMILES,property,source
c1ccc2c(c1)nc(CN1CCOCC1)n1c3ccccc3nc21,SA_CNS,chembl_wa/smiles_ga
c1ccc(-c2nnc(-c3ccccn3)nc2-c2ccccc2)cc1,SA_CNS,chembl_wa/smiles_ga
c1ccc(-c2nc(Cn3cncn3)no2)cc1,SA_CNS,chembl_wa/smiles_ga
O=c1cc(Cn2ccnc2)c2ccc(OCc3ccccc3)cc2o1,SA_CNS,chembl_wa/smiles_ga
O=c1c2cc3c(cc2ncn1Cc1ccc(-c2ccccc2)cc1)OCO3,SA_CNS,chembl_wa/smiles_ga
O=[N+]([O-])c1cccc(COc2ccccc2CN2CCCCC2)c1,SA_CNS,chembl_wa/smiles_ga
O=S(=O)(CCn1nnc(-c2ccccc2Cl)n1)c1ccccc1,SA_CNS,chembl_wa/smiles_ga
O=S(=O)(C=Cc1ccccc1)N1CCN(c2ccc(F)cc2)CC1,SA_CNS,chembl_wa/smiles_ga
O=C1c2cccnc2C(=O)c2ncccc21,SA_CNS,chembl_wa/smiles_ga
O=C1c2cccnc2C(=O)N1Cc1ccc(F)cc1,SA_CNS,chembl_wa/smiles_ga
O=C1c2ccccc2C(=O)N1CCCOc1ccc(Cl)c(Cl)c1,SA_CNS,chembl_wa/smiles_ga
O=C1COc2ccccc2N1CCCn1cc(-c2ccccc2)nn1,SA_CNS,chembl_wa/smiles_ga
O=C(c1nc2ccccc2s1)N1CCN(c2ccncc2)CC1,SA_CNS,chembl_wa/smiles_ga
O=C(c1ccccc1)N1CCN(C(=O)c2ccncc2)CC1,SA_CNS,chembl_wa/smiles_ga
O=C(c1ccc(Cl)cc1)C1CCN(C(=O)N2CCOCC2)CC1,SA_CNS,chembl_wa/smiles_ga
O=C(c1cc2ccccc2oc1=O)N1CCN(c2ccc(F)cc2)CC1,SA_CNS,chembl_wa/smiles_ga
O=C(c1cc(F)ccc1Br)N1CCN(C(=O)C2CC2)CC1,SA_CNS,chembl_wa/smiles_ga
O=C(OCn1nnc2ccccc2c1=O)c1ccc2ccccc2n1,SA_CNS,chembl_wa/smiles_ga
O=C(OCc1ccccc1)n1cc2ccccc2n1,SA_CNS,chembl_wa/smiles_ga
O=C(N1CCN(Cc2ccc3ccccc3c2)CC1)n1cccn1,SA_CNS,chembl_wa/smiles_ga
O=C(COc1ccc(Cl)c2cccnc12)N1CCOCC1,SA_CNS,chembl_wa/smiles_ga
O=C(C1CCCC1)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,SA_CNS,chembl_wa/smiles_ga
N#Cc1ccccc1C=NN1CCN(c2ccccc2)CC1,SA_CNS,chembl_wa/smiles_ga
N#CCn1c(-c2ccccc2)nc2ccccc2c1=O,SA_CNS,chembl_wa/smiles_ga
Cn1nnnc1SCC(=O)N1CCc2ccccc2C1,SA_CNS,chembl_wa/smiles_ga
Cn1nc(OCc2ccccc2)c2cc([N+](=O)[O-])ccc21,SA_CNS,chembl_wa/smiles_ga
Cn1nc(-c2ccccc2)c2nc3ccccc3nc21,SA_CNS,chembl_wa/smiles_ga
Clc1ccccc1OCc1nc(-c2ccccn2)no1,SA_CNS,chembl_wa/smiles_ga
Clc1ccc(CSc2nncn2-c2ccccn2)cc1,SA_CNS,chembl_wa/smiles_ga
Cc1nn(CCOc2ccccc2)c(=O)n1-c1ccc(F)cc1,SA_CNS,chembl_wa/smiles_ga
Cc1nc2ccccc2c(=O)n1CCCn1ccnc1,SA_CNS,chembl_wa/smiles_ga
Cc1ccccc1C(=O)N1CCC(N2C(=O)CCc3ccccc32)CC1,SA_CNS,chembl_wa/smiles_ga
Cc1cccc(OC2CN(C(=O)c3cnn(C)c3)C2)c1,SA_CNS,chembl_wa/smiles_ga
Cc1cccc(C(=O)N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)c1,SA_CNS,chembl_wa/smiles_ga
Cc1ccc2c(CC(=O)N3CCOCC3)coc2c1,SA_CNS,chembl_wa/smiles_ga
Cc1ccc(-n2nnnc2CCl)cc1,SA_CNS,chembl_wa/smiles_ga
Cc1ccc(-n2nncc2-c2ccccn2)cc1,SA_CNS,chembl_wa/smiles_ga
Cc1ccc(-n2nnc3cccnc32)cc1C,SA_CNS,chembl_wa/smiles_ga
Cc1ccc(-n2c(C)nnc2C2CCN(c3ccccn3)CC2)cc1,SA_CNS,chembl_wa/smiles_ga
Cc1cc(Br)ccc1OCc1nc(-c2cccnc2)no1,SA_CNS,chembl_wa/smiles_ga
COc1ccccc1OCCCN1C(=O)C(=O)c2cccc(C)c21,SA_CNS,chembl_wa/smiles_ga
COc1cccc(N2CCN(C(=O)c3cc(C)ccc3OC)CC2)c1,SA_CNS,chembl_wa/smiles_ga
COc1ccc(Cl)cc1S(=O)(=O)n1nnc2ccccc21,SA_CNS,chembl_wa/smiles_ga
COc1ccc(Cl)c2sc(N3CCN(C(C)=O)CC3)nc12,SA_CNS,chembl_wa/smiles_ga
COc1ccc(C(C)=O)cc1CSc1ncccn1,SA_CNS,chembl_wa/smiles_ga
COc1ccc(C(C)=O)cc1CSc1nc2ccccc2o1,SA_CNS,chembl_wa/smiles_ga
COc1ccc(-n2nnnc2SCc2nc3ccccc3s2)cc1,SA_CNS,chembl_wa/smiles_ga
COc1ccc(-c2nnc(-c3ccccc3)o2)cc1OC,SA_CNS,chembl_wa/smiles_ga
COc1ccc(-c2nc3cccnc3n2CC(=O)N(C)C)cc1,SA_CNS,chembl_wa/smiles_ga
COc1ccc(-c2csc(N3CCOCC3)n2)cc1OC,SA_CNS,chembl_wa/smiles_ga
COc1ccc(-c2cn(-c3ccc(Oc4ccccc4)cc3)nn2)cc1,SA_CNS,chembl_wa/smiles_ga
COc1ccc(-c2cc(C(=O)N3CCC3)c3ccccc3n2)cc1OC,SA_CNS,chembl_wa/smiles_ga
COc1cc2cnn(-c3ccccc3)c(=O)c2cc1OC,SA_CNS,chembl_wa/smiles_ga
COc1cc2c(cc1OC)-c1cc3ccccc3c(=O)n1CCC2,SA_CNS,chembl_wa/smiles_ga
COc1cc(OC)cc(C(=O)C=Cc2cnc3ccccc3c2)c1,SA_CNS,chembl_wa/smiles_ga
COc1cc(OC)c(OC)cc1CN1CCN(C(=O)CC(C)C)CC1,SA_CNS,chembl_wa/smiles_ga
COc1cc(C(C)=O)ccc1OC(=O)CN1C(=O)c2ccccc2C1=O,SA_CNS,chembl_wa/smiles_ga
COc1cc(C(=O)C=Cc2ccc(OCC#N)cc2)cc(OC)c1OC,SA_CNS,chembl_wa/smiles_ga
COc1cc(Br)c(-n2nnc3ccccc32)cc1OC,SA_CNS,chembl_wa/smiles_ga
COCCSc1nnc(-c2ccccc2)o1,SA_CNS,chembl_wa/smiles_ga
COCCCn1c(=O)c2ccccc2n(Cc2ccc(C)cc2)c1=O,SA_CNS,chembl_wa/smiles_ga
COC(=O)c1ccn(Cc2ccccc2Cl)n1,SA_CNS,chembl_wa/smiles_ga
COC(=O)c1ccccc1C(=O)c1ccccc1,SA_CNS,chembl_wa/smiles_ga
COC(=O)c1ccc2nc(-c3ccccc3)c(Cc3ccc(C)cc3)n2c1,SA_CNS,chembl_wa/smiles_ga
COC(=O)c1ccc(OC(=O)c2ccccn2)cc1,SA_CNS,chembl_wa/smiles_ga
COC(=O)c1ccc(C=NN2CCN(Cc3ccccc3)CC2)cc1,SA_CNS,chembl_wa/smiles_ga
COC(=O)c1cc2c(o1)c1ccccc1n2Cc1ccc(F)cc1,SA_CNS,chembl_wa/smiles_ga
COC(=O)CCc1nc(-c2ccccc2)no1,SA_CNS,chembl_wa/smiles_ga
COC(=O)C=CC(=O)c1cccnc1,SA_CNS,chembl_wa/smiles_ga
CN1CCC(N(C)Cc2ccccc2[N+](=O)[O-])CC1,SA_CNS,chembl_wa/smiles_ga
CN1C(=O)C(C)(C)c2cc(S(=O)(=O)N3CCCCCC3)ccc21,SA_CNS,chembl_wa/smiles_ga
CN(c1nc2ccccc2nc1Cl)S(=O)(=O)c1ccccc1,SA_CNS,chembl_wa/smiles_ga
CN(C)CCN(Cc1cccnc1)C(=O)c1ccn(-c2ccccc2)n1,SA_CNS,chembl_wa/smiles_ga
CN(C(=O)c1cc2ccccc2oc1=O)c1ccccc1,SA_CNS,chembl_wa/smiles_ga
CN(C(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1)c1ccccc1,SA_CNS,chembl_wa/smiles_ga
CCc1nnc2ccc(-c3ccccc3)nn12,SA_CNS,chembl_wa/smiles_ga
CCc1ccc(S(=O)(=O)n2ccnc2)cc1,SA_CNS,chembl_wa/smiles_ga
CCc1cc2c(N3CCN(C(=O)c4ccccc4)CC3)ncnc2s1,SA_CNS,chembl_wa/smiles_ga
CCS(=O)(=O)N1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1,SA_CNS,chembl_wa/smiles_ga
CCOc1ccc2c(c1)c(C(C)=O)c(C)n2Cc1ccco1,SA_CNS,chembl_wa/smiles_ga
CCOc1ccc(N2Cc3ncccc3C2=O)cc1,SA_CNS,chembl_wa/smiles_ga
CCOC(=O)Cn1c(=O)sc2ccccc21,SA_CNS,chembl_wa/smiles_ga
CCOC(=O)Cc1nnc(-c2ccccc2)o1,SA_CNS,chembl_wa/smiles_ga
CCOC(=O)COC(=O)c1ccccc1C(=O)OCC,SA_CNS,chembl_wa/smiles_ga
CCOC(=O)CN1C(=O)C(=O)N(Cc2ccccc2F)C1=O,SA_CNS,chembl_wa/smiles_ga
CCOC(=O)C1CCN(S(=O)(=O)c2ccc(OC)c(OC)c2)CC1,SA_CNS,chembl_wa/smiles_ga
CCOC(=O)C1CCN(C(=O)Cc2cccc3ccccc23)CC1,SA_CNS,chembl_wa/smiles_ga
CCN(CC)C(=O)c1cc2cc(Br)ccc2oc1=O,SA_CNS,chembl_wa/smiles_ga
CCN(C)c1ccc(C(=O)N(CCOC)Cc2ccccn2)cc1,SA_CNS,chembl_wa/smiles_ga
CCCn1c(=O)c2cccnc2n(CCC)c1=O,SA_CNS,chembl_wa/smiles_ga
CCCc1cn(CC(=O)OCC)nn1,SA_CNS,chembl_wa/smiles_ga
CCCOc1ccc(-c2nnn(CC(=O)N3CCCCC3)n2)cc1,SA_CNS,chembl_wa/smiles_ga
CCCOc1cc(=O)oc2cc(OCc3cccc(Cl)c3)ccc12,SA_CNS,chembl_wa/smiles_ga
CCCN1C(=O)C(=O)c2cc(C(=O)OC)ccc21,SA_CNS,chembl_wa/smiles_ga
CCCC(=O)N1CCN(c2nc3c(OC)ccc(Cl)c3s2)CC1,SA_CNS,chembl_wa/smiles_ga
CCC(=O)C(CCCCCCOc1ccc(F)cc1)C(=O)CC,SA_CNS,chembl_wa/smiles_ga
CC(=O)c1cccc2c1C(=O)c1c(OCc3ccccc3)cccc1C2=O,SA_CNS,chembl_wa/smiles_ga
CC(=O)c1c(OC(=O)c2cccc(Cl)c2)c2ccccc2n1C,SA_CNS,chembl_wa/smiles_ga
CC(=O)Oc1ccc2cc(Oc3ccccc3)c(=O)oc2c1,SA_CNS,chembl_wa/smiles_ga
CC(=O)Oc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1,SA_CNS,chembl_wa/smiles_ga
CN(C)CCC(=O)N1c2ccccc2NC(=O)c2ccccc21,SA_QED,chembl_wa/smiles_ga
O=C(NCC1COc2ccccc2O1)c1ccc(Cl)cc1,SA_QED,chembl_wa/smiles_ga
O=S(=O)(Nc1cnc2ccccc2c1)N1CCCCCC1,SA_QED,chembl_wa/smiles_ga
NC(=O)C1CCN(c2ncc(-c3cccc(F)c3)s2)CC1,SA_QED,chembl_wa/smiles_ga
NC(=O)C1CCN(c2nc(-c3ccccc3F)cs2)CC1,SA_QED,chembl_wa/smiles_ga
NC(=O)C1CCN(c2nc(-c3cccc(F)c3)cs2)CC1,SA_QED,chembl_wa/smiles_ga
NC(=O)C1CCN(c2nc(-c3ccc(F)cc3)cs2)CC1,SA_QED,chembl_wa/smiles_ga
O=S(=O)(Nc1cccnc1)c1cccc(C(F)(F)F)c1,SA_QED,chembl_wa/smiles_ga
O=S(=O)(Nc1cccc(C(F)(F)F)c1)c1cccnc1,SA_QED,chembl_wa/smiles_ga
O=S(=O)(Nc1ccc(C(F)(F)F)cn1)c1ccccc1,SA_QED,chembl_wa/smiles_ga
Cc1noc(C)c1C(=O)NCc1ccccc1Br,SA_QED,chembl_wa/smiles_ga
CN1CCc2c(sc(NC(=O)Cc3ccccc3)c2C#N)C1,SA_QED,chembl_wa/smiles_ga
Cc1cccc(-c2csc(N3CCC(C(N)=O)CC3)n2)c1,SA_QED,chembl_wa/smiles_ga
Cc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,SA_QED,chembl_wa/smiles_ga
Cc1ccc(-c2cnc(N3CCC(C(N)=O)CC3)s2)cc1,SA_QED,chembl_wa/smiles_ga
O=C(NC1CCCCC1)c1cc(-n2cnnc2)ccc1Cl,SA_QED,chembl_wa/smiles_ga
O=C(Nc1ncc(Cc2ccccc2)s1)N1CCOCC1,SA_QED,chembl_wa/smiles_ga
Cc1ccccc1C(=O)NS(=O)(=O)c1ccc(Cl)cc1,SA_QED,chembl_wa/smiles_ga
O=C(NC1CC1)C1CCN(c2nc3ccccc3s2)CC1,SA_QED,chembl_wa/smiles_ga
Cc1ccc(NS(=O)(=O)c2ccc3c(c2)CCO3)cc1C,SA_QED,chembl_wa/smiles_ga
Cc1csc(NC(=O)c2ccc(N3CCCC3=O)cc2)n1,SA_QED,chembl_wa/smiles_ga
O=C(Cn1c(=O)oc2ccc(Cl)cc21)NC1CCCCC1,SA_QED,chembl_wa/smiles_ga
O=C1NCCOc2ccc(OCc3ccccc3Cl)cc21,SA_QED,chembl_wa/smiles_ga
O=C1NCCOc2ccc(OCc3cccc(Cl)c3)cc21,SA_QED,chembl_wa/smiles_ga
O=C1NCCOc2ccc(OCc3ccc(Cl)cc3)cc21,SA_QED,chembl_wa/smiles_ga
O=C(NCc1cccc(Cl)c1)c1ccc2c(c1)OCCO2,SA_QED,chembl_wa/smiles_ga
CCc1ccccc1-n1cc(O)c(C(=O)N2CCCCC2)n1,SA_QED,chembl_wa/smiles_ga
Cc1c(C(=O)NC(C)C)nnn1-c1cccc(C(F)(F)F)c1,SA_QED,chembl_wa/smiles_ga
COc1ccc(NC(=O)c2cncc(Br)c2)cc1,SA_QED,chembl_wa/smiles_ga
COc1cc(NC(=O)c2ccccn2)ccc1Br,SA_QED,chembl_wa/smiles_ga
O=S(=O)(Nc1ccc(Cl)cc1)c1ccc2c(c1)CCO2,SA_QED,chembl_wa/smiles_ga
CS(=O)(=O)c1ccc(C(=O)Nc2ccccc2Cl)cc1,SA_QED,chembl_wa/smiles_ga
O=S(=O)(Nc1nc2c(s1)CCCC2)c1ccc(F)cc1,SA_QED,chembl_wa/smiles_ga
O=C(Nc1ccc(N2CCOCC2)c(F)c1)c1cccs1,SA_QED,chembl_wa/smiles_ga
Cc1nc(C(=O)N2CCCC2)cc(-c2ccc(F)cc2)c1CN,SA_QED,chembl_wa/smiles_ga
Cc1nc(C(=O)N2CCCC2)cc(-c2ccccc2F)c1CN,SA_QED,chembl_wa/smiles_ga
Cc1nc(-c2ccc(F)cc2)cc(C(=O)N2CCCC2)c1CN,SA_QED,chembl_wa/smiles_ga
CC(=O)Nc1ccccc1Cn1cc(C(F)(F)F)ccc1=O,SA_QED,chembl_wa/smiles_ga
CC(=O)Nc1ccc(Cn2cc(C(F)(F)F)ccc2=O)cc1,SA_QED,chembl_wa/smiles_ga
O=S(=O)(Nc1ccccn1)c1ccc(Br)cc1,SA_QED,chembl_wa/smiles_ga
O=C(O)c1cccn(Cc2ccc(Cl)c(Cl)c2)c1=O,SA_QED,chembl_wa/smiles_ga
CN(Cc1ccc(Br)o1)C(=O)Nc1cccnc1,SA_QED,chembl_wa/smiles_ga
CCC(=O)Nc1ccc2c(c1)CN(C(=O)c1ccco1)CC2,SA_QED,chembl_wa/smiles_ga
O=C(Nc1ccccc1)C1CCN(C(=O)c2ccco2)CC1,SA_QED,chembl_wa/smiles_ga
CCn1cc(C(=O)NC2CCCCC2)c(=O)c2ccc(C)nc21,SA_QED,chembl_wa/smiles_ga
CCNC(=O)N1CCN(c2cccc3ccc(OC)cc23)CC1,SA_QED,chembl_wa/smiles_ga
Cc1cc(C)n(C(=O)CNC(=O)c2ccc(C(C)(C)C)cc2)n1,SA_QED,chembl_wa/smiles_ga
Cc1ccc(C2OCC(NC(=O)c3ccccc3)CO2)cc1,SA_QED,chembl_wa/smiles_ga
O=C(Nc1ccccc1N1CCOCC1)c1cccc(F)c1,SA_QED,chembl_wa/smiles_ga
COc1cccc(NC(=O)N2CCN(c3ccccc3)CC2)c1,SA_QED,chembl_wa/smiles_ga
COc1ccc(NC(=O)N2CCN(c3ccccc3)CC2)cc1,SA_QED,chembl_wa/smiles_ga
Cc1ccccc1NC(=O)CN1C(=O)CSc2ccccc21,SA_QED,chembl_wa/smiles_ga
CCc1c(C)nc2ccccc2c1N1CCC(C(=O)NC)CC1,SA_QED,chembl_wa/smiles_ga
NC(=O)C1CCN(C(=O)c2ccc(-c3ccccc3)cc2)CC1,SA_QED,chembl_wa/smiles_ga
O=C(NS(=O)(=O)c1ccc(Cl)s1)c1ccccc1,SA_QED,chembl_wa/smiles_ga
Cc1csc(=O)n1CC(=O)Nc1ccc(Cl)cc1F,SA_QED,chembl_wa/smiles_ga
CC(=O)Nc1sc2c(c1C#N)CCN(Cc1ccccc1)C2,SA_QED,chembl_wa/smiles_ga
COc1ccccc1NC(=O)c1nn(C)cc1Br,SA_QED,chembl_wa/smiles_ga
COc1ccccc1NC(=O)c1c(Br)cnn1C,SA_QED,chembl_wa/smiles_ga
COc1cccc(NC(=O)c2nn(C)cc2Br)c1,SA_QED,chembl_wa/smiles_ga
Cc1ccc(NC(=O)C2CCN(C(=O)c3ccco3)CC2)cc1,SA_QED,chembl_wa/smiles_ga
O=C(O)c1ccc(Cn2cc(C(F)(F)F)ccc2=O)cc1,SA_QED,chembl_wa/smiles_ga
COC(=O)Nc1ncc(CN2CCc3ccccc3C2)s1,SA_QED,chembl_wa/smiles_ga
