SMILES,property,source
c1noc(Cc2nnnn2C2CC2)n1,SA_CNS,chembl_wa/smiles_lstm
c1nnsc1Cc1nncn1C1CCCC1,SA_CNS,chembl_wa/smiles_lstm
c1nnn(Cc2nncs2)n1,SA_CNS,chembl_wa/smiles_lstm
c1ncn(CCCn2cnnc2)n1,SA_CNS,chembl_wa/smiles_lstm
c1nc(Cc2noc(CCN3CCCCCC3)n2)no1,SA_CNS,chembl_wa/smiles_lstm
c1nc(CC2CCC(c3nnco3)CC2)no1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Sc2nsc(CN3CCCCC3)n2)n1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Sc2nnnn2-c2cncn2C2CCCC2)n1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Sc2nc3cncnc3nc2-c2ccon2)c1,SA_CNS,chembl_wa/smiles_lstm
c1csc(SCc2noc(Cc3ccncn3)n2)c1,SA_CNS,chembl_wa/smiles_lstm
c1csc(SCCc2nnnn2C2CCCCO2)n1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Oc2nonc2Cn2nccn2)c1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Cn2nnnc2SCC2=NCCCO2)c1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Cn2nnnc2N2CCOCC2)n1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Cn2nnnc2CCn2cncn2)c1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Cn2nncc2-c2cnco2)c1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Cn2nncc2-c2ccnn2C2CC2)n1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Cn2nnc(CN3CCC4CCCCC4C3)n2)n1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Cn2nnc(-c3cnns3)n2)c1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Cn2ncnc2-c2cocn2)n1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Cn2ccnc2CCn2nnc3ccccc32)c1,SA_CNS,chembl_wa/smiles_lstm
c1csc(Cn2c(-c3ccncn3)nnc2C2CCCO2)c1,SA_CNS,chembl_wa/smiles_lstm
