SMILES,property,source
O=c1n(CC2CO2)c(=O)n(CC2CO2)n1CC1CO1,SC_CNS,chembl_wc/best_from_chembl
O=c1ccc2ccc(C=NN=Cc3ccc4ccc(=O)oc4c3)cc2o1,SC_CNS,chembl_wc/best_from_chembl
O=c1c(-n2cnnc2)coc2ccccc12,SC_CNS,chembl_wc/best_from_chembl
O=[N+]([O-])c1ccccc1N=Cc1ccc2c(c1)OCO2,SC_CNS,chembl_wc/best_from_chembl
O=[N+]([O-])c1cccc(COc2ccccc2CN2CCCCC2)c1,SC_CNS,chembl_wc/best_from_chembl
O=[N+]([O-])c1cccc(C=Nc2ccco2)c1,SC_CNS,chembl_wc/best_from_chembl
O=[N+]([O-])c1ccc(C=NN2CCOCC2)s1,SC_CNS,chembl_wc/best_from_chembl
O=[N+]([O-])c1cc(C=NN2CCOCC2)cs1,SC_CNS,chembl_wc/best_from_chembl
O=S1(=O)N=C(OCc2cccc(Br)c2)c2ccccc21,SC_CNS,chembl_wc/best_from_chembl
O=S(=O)(Cc1ccccc1)N1CCN(c2ccccc2)CC1,SC_CNS,chembl_wc/best_from_chembl
O=C1c2cccnc2C(=O)c2ncccc21,SC_CNS,chembl_wc/best_from_chembl
O=C1c2ccccc2C(=O)N1CCCOc1ccc(Cl)c(Cl)c1,SC_CNS,chembl_wc/best_from_chembl
O=C1c2ccccc2C(=O)C1c1ccncc1,SC_CNS,chembl_wc/best_from_chembl
O=C1ON=C2C3CC4CC12CC1(C3)C(=O)ON=C41,SC_CNS,chembl_wc/best_from_chembl
O=C1CSC(=O)N1CCOCCN1C(=O)CSC1=O,SC_CNS,chembl_wc/best_from_chembl
O=C1CCCCCN1SSN1CCCCCC1=O,SC_CNS,chembl_wc/best_from_chembl
O=C1C=CC(=Nc2cccc3c(N=C4C=CC(=O)O4)cccc23)O1,SC_CNS,chembl_wc/best_from_chembl
O=C(c1ccco1)n1ncc2ccccc21,SC_CNS,chembl_wc/best_from_chembl
O=C(c1ccccc1)N1CCN(C(=O)c2ccncc2)CC1,SC_CNS,chembl_wc/best_from_chembl
O=C(OCc1ccccc1)n1cc2ccccc2n1,SC_CNS,chembl_wc/best_from_chembl
O=C(Cl)OCCOC(=O)Cl,SC_CNS,chembl_wc/best_from_chembl
O=C(CON1C(=O)c2ccccc2C1=O)c1ccccc1,SC_CNS,chembl_wc/best_from_chembl
N#CC(C#N)=Cc1ccc2c(c1)OCO2,SC_CNS,chembl_wc/best_from_chembl
Cn1nc(OCc2ccccc2)c2cc([N+](=O)[O-])ccc21,SC_CNS,chembl_wc/best_from_chembl
Cc1nn(C(=O)c2ccc(Cl)c([N+](=O)[O-])c2)c(C)c1Cl,SC_CNS,chembl_wc/best_from_chembl
Cc1csc(C=CC(=O)C=Cc2nc(C)cs2)n1,SC_CNS,chembl_wc/best_from_chembl
Cc1ccc(N(CC2CO2)S(=O)(=O)c2ccc(C)cc2)cc1,SC_CNS,chembl_wc/best_from_chembl
Cc1ccc(C(=O)Cn2cncn2)cc1,SC_CNS,chembl_wc/best_from_chembl
Cc1ccc(-n2nnnc2CCl)cc1,SC_CNS,chembl_wc/best_from_chembl
C[S+]([O-])CCCCCCCCn1ccnc1,SC_CNS,chembl_wc/best_from_chembl
CS(=O)(=O)OCCCOS(C)(=O)=O,SC_CNS,chembl_wc/best_from_chembl
CS(=O)(=O)OC1CCC2(C#N)CCC1C2=O,SC_CNS,chembl_wc/best_from_chembl
COc1nc(C)c(CCCl)c(OC)n1,SC_CNS,chembl_wc/best_from_chembl
COc1ccccc1N(C(C)=O)C1=C(Cl)C(=O)c2ccccc2C1=O,SC_CNS,chembl_wc/best_from_chembl
COc1ccccc1-n1c(=O)n(C)c(=O)n1C(C)(C)C,SC_CNS,chembl_wc/best_from_chembl
COc1ccc(Cl)cc1S(=O)(=O)n1nnc2ccccc21,SC_CNS,chembl_wc/best_from_chembl
COc1ccc(CS(=O)(=O)C=Cc2ccc(Cl)cc2)cc1,SC_CNS,chembl_wc/best_from_chembl
COc1ccc(C(C)=O)cc1CSc1ncccn1,SC_CNS,chembl_wc/best_from_chembl
COc1ccc(C(=O)C#Cc2cc(OC)c(OC)c(OC)c2)cc1,SC_CNS,chembl_wc/best_from_chembl
COc1ccc(C(=CC#N)c2cc(OC)cc(OC)c2)cc1,SC_CNS,chembl_wc/best_from_chembl
COc1cc2c(cc1OC)C(=CC(C)=O)OC2,SC_CNS,chembl_wc/best_from_chembl
COc1cc(OC)cc(C(=O)C=Cc2cnc3ccccc3c2)c1,SC_CNS,chembl_wc/best_from_chembl
COc1cc(OC)c(OC)cc1C=C1CCC(C2CCCC2)C1=O,SC_CNS,chembl_wc/best_from_chembl
COc1cc(C=CC(=O)C=Cc2ccccc2)cc(OC)c1OC,SC_CNS,chembl_wc/best_from_chembl
COc1cc(C(C)=O)ccc1OC(=O)CN1C(=O)c2ccccc2C1=O,SC_CNS,chembl_wc/best_from_chembl
COc1cc(C(=O)N(C)N(C)C)cc(OC)c1OC,SC_CNS,chembl_wc/best_from_chembl
COc1cc(C(=O)C=Cc2ccc(OCC#N)cc2)cc(OC)c1OC,SC_CNS,chembl_wc/best_from_chembl
COc1cc(Br)c(-n2nnc3ccccc32)cc1OC,SC_CNS,chembl_wc/best_from_chembl
COC=CC=C(C#N)C(=O)OC,SC_CNS,chembl_wc/best_from_chembl
COC(=O)c1ccn(Cc2ccccc2Cl)n1,SC_CNS,chembl_wc/best_from_chembl
COC(=O)c1ccccc1OP1(=O)COc2ccccc2OC1,SC_CNS,chembl_wc/best_from_chembl
COC(=O)c1ccccc1C(=O)c1ccccc1,SC_CNS,chembl_wc/best_from_chembl
COC(=O)c1ccc(OC)c(C=O)c1CC=O,SC_CNS,chembl_wc/best_from_chembl
COC(=O)c1ccc(OC(=O)c2ccccn2)cc1,SC_CNS,chembl_wc/best_from_chembl
COC(=O)c1ccc(C=NN2CCN(Cc3ccccc3)CC2)cc1,SC_CNS,chembl_wc/best_from_chembl
COC(=O)COc1ccc2occ(C(C)=O)c2c1,SC_CNS,chembl_wc/best_from_chembl
COC(=O)C=CC(=O)c1cccnc1,SC_CNS,chembl_wc/best_from_chembl
COC(=O)C1=C(c2ccc(OC)cc2)OC(=O)C1(C)C,SC_CNS,chembl_wc/best_from_chembl
COC(=O)C1(CCCCl)CCCN1C(=O)OC(C)(C)C,SC_CNS,chembl_wc/best_from_chembl
CN(N=O)c1ccc([N+](=O)[O-])cc1,SC_CNS,chembl_wc/best_from_chembl
