SMILES,property,source
O=c1n(CC2CO2)c(=O)n(CC2CO2)n1CC1CO1,SC_CNS,chembl_wc/graph_ga
O=c1ccc2ccc(C=NN=Cc3ccc4ccc(=O)oc4c3)cc2o1,SC_CNS,chembl_wc/graph_ga
O=c1c(-n2cnnc2)coc2ccccc12,SC_CNS,chembl_wc/graph_ga
O=[N+]([O-])c1ccccc1N=Cc1ccc2c(c1)OCO2,SC_CNS,chembl_wc/graph_ga
O=[N+]([O-])c1cccc(COc2ccccc2CN2CCCCC2)c1,SC_CNS,chembl_wc/graph_ga
O=[N+]([O-])c1cccc(C=Nc2ccco2)c1,SC_CNS,chembl_wc/graph_ga
O=[N+]([O-])c1ccc(C=NN2CCOCC2)s1,SC_CNS,chembl_wc/graph_ga
O=[N+]([O-])c1cc(C=NN2CCOCC2)cs1,SC_CNS,chembl_wc/graph_ga
O=S1(=O)N=C(OCc2cccc(Br)c2)c2ccccc21,SC_CNS,chembl_wc/graph_ga
O=S(=O)(Cc1ccccc1)N1CCN(c2ccccc2)CC1,SC_CNS,chembl_wc/graph_ga
O=C1c2cccnc2C(=O)c2ncccc21,SC_CNS,chembl_wc/graph_ga
O=C1c2ccccc2C(=O)N1CCCOc1ccc(Cl)c(Cl)c1,SC_CNS,chembl_wc/graph_ga
O=C1c2ccccc2C(=O)C1c1ccncc1,SC_CNS,chembl_wc/graph_ga
O=C1ON=C2C3CC4CC12CC1(C3)C(=O)ON=C41,SC_CNS,chembl_wc/graph_ga
O=C1CSC(=O)N1CCOCCN1C(=O)CSC1=O,SC_CNS,chembl_wc/graph_ga
O=C1CCCCCN1SSN1CCCCCC1=O,SC_CNS,chembl_wc/graph_ga
O=C1C=CC(=Nc2cccc3c(N=C4C=CC(=O)O4)cccc23)O1,SC_CNS,chembl_wc/graph_ga
O=C(c1ccco1)n1ncc2ccccc21,SC_CNS,chembl_wc/graph_ga
O=C(c1ccccc1)N1CCN(C(=O)c2ccncc2)CC1,SC_CNS,chembl_wc/graph_ga
O=C(OCc1ccccc1)n1cc2ccccc2n1,SC_CNS,chembl_wc/graph_ga
O=C(Cl)OCCOC(=O)Cl,SC_CNS,chembl_wc/graph_ga
O=C(CON1C(=O)c2ccccc2C1=O)c1ccccc1,SC_CNS,chembl_wc/graph_ga
N#CC(C#N)=Cc1ccc2c(c1)OCO2,SC_CNS,chembl_wc/graph_ga
Cn1nc(OCc2ccccc2)c2cc([N+](=O)[O-])ccc21,SC_CNS,chembl_wc/graph_ga
Cc1nn(C(=O)c2ccc(Cl)c([N+](=O)[O-])c2)c(C)c1Cl,SC_CNS,chembl_wc/graph_ga
Cc1csc(C=CC(=O)C=Cc2nc(C)cs2)n1,SC_CNS,chembl_wc/graph_ga
Cc1ccc(N(CC2CO2)S(=O)(=O)c2ccc(C)cc2)cc1,SC_CNS,chembl_wc/graph_ga
Cc1ccc(C(=O)Cn2cncn2)cc1,SC_CNS,chembl_wc/graph_ga
Cc1ccc(-n2nnnc2CCl)cc1,SC_CNS,chembl_wc/graph_ga
C[S+]([O-])CCCCCCCCn1ccnc1,SC_CNS,chembl_wc/graph_ga
CS(=O)(=O)OCCCOS(C)(=O)=O,SC_CNS,chembl_wc/graph_ga
CS(=O)(=O)OC1CCC2(C#N)CCC1C2=O,SC_CNS,chembl_wc/graph_ga
COc1nc(C)c(CCCl)c(OC)n1,SC_CNS,chembl_wc/graph_ga
COc1ccccc1N(C(C)=O)C1=C(Cl)C(=O)c2ccccc2C1=O,SC_CNS,chembl_wc/graph_ga
COc1ccccc1-n1c(=O)n(C)c(=O)n1C(C)(C)C,SC_CNS,chembl_wc/graph_ga
COc1ccc(Cl)cc1S(=O)(=O)n1nnc2ccccc21,SC_CNS,chembl_wc/graph_ga
COc1ccc(CS(=O)(=O)C=Cc2ccc(Cl)cc2)cc1,SC_CNS,chembl_wc/graph_ga
COc1ccc(C(C)=O)cc1CSc1ncccn1,SC_CNS,chembl_wc/graph_ga
COc1ccc(C(=O)C#Cc2cc(OC)c(OC)c(OC)c2)cc1,SC_CNS,chembl_wc/graph_ga
COc1ccc(C(=CC#N)c2cc(OC)cc(OC)c2)cc1,SC_CNS,chembl_wc/graph_ga
COc1cc2c(cc1OC)C(=CC(C)=O)OC2,SC_CNS,chembl_wc/graph_ga
COc1cc(OC)cc(C(=O)C=Cc2cnc3ccccc3c2)c1,SC_CNS,chembl_wc/graph_ga
COc1cc(OC)c(OC)cc1C=C1CCC(C2CCCC2)C1=O,SC_CNS,chembl_wc/graph_ga
COc1cc(C=CC(=O)C=Cc2ccccc2)cc(OC)c1OC,SC_CNS,chembl_wc/graph_ga
COc1cc(C(C)=O)ccc1OC(=O)CN1C(=O)c2ccccc2C1=O,SC_CNS,chembl_wc/graph_ga
COc1cc(C(=O)N(C)N(C)C)cc(OC)c1OC,SC_CNS,chembl_wc/graph_ga
COc1cc(C(=O)C=Cc2ccc(OCC#N)cc2)cc(OC)c1OC,SC_CNS,chembl_wc/graph_ga
COc1cc(Br)c(-n2nnc3ccccc32)cc1OC,SC_CNS,chembl_wc/graph_ga
COC=CC=C(C#N)C(=O)OC,SC_CNS,chembl_wc/graph_ga
COC(=O)c1ccn(Cc2ccccc2Cl)n1,SC_CNS,chembl_wc/graph_ga
COC(=O)c1ccccc1OP1(=O)COc2ccccc2OC1,SC_CNS,chembl_wc/graph_ga
COC(=O)c1ccccc1C(=O)c1ccccc1,SC_CNS,chembl_wc/graph_ga
COC(=O)c1ccc(OC)c(C=O)c1CC=O,SC_CNS,chembl_wc/graph_ga
COC(=O)c1ccc(OC(=O)c2ccccn2)cc1,SC_CNS,chembl_wc/graph_ga
COC(=O)c1ccc(C=NN2CCN(Cc3ccccc3)CC2)cc1,SC_CNS,chembl_wc/graph_ga
COC(=O)COc1ccc2occ(C(C)=O)c2c1,SC_CNS,chembl_wc/graph_ga
COC(=O)C=CC(=O)c1cccnc1,SC_CNS,chembl_wc/graph_ga
COC(=O)C1=C(c2ccc(OC)cc2)OC(=O)C1(C)C,SC_CNS,chembl_wc/graph_ga
COC(=O)C1(CCCCl)CCCN1C(=O)OC(C)(C)C,SC_CNS,chembl_wc/graph_ga
CN(N=O)c1ccc([N+](=O)[O-])cc1,SC_CNS,chembl_wc/graph_ga
CN(C=[N+](C)C)c1cccc2c1C(=O)c1ccccc1C2=O,SC_CNS,chembl_wc/graph_ga
CN(C)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],SC_CNS,chembl_wc/graph_ga
CN(C)C(=O)N=NC(=O)N(C)C,SC_CNS,chembl_wc/graph_ga
CN(C(=O)c1cc2ccccc2oc1=O)c1ccccc1,SC_CNS,chembl_wc/graph_ga
CN(C(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1)c1ccccc1,SC_CNS,chembl_wc/graph_ga
CCc1ccc(S(=O)(=O)n2ccnc2)cc1,SC_CNS,chembl_wc/graph_ga
CCS(=O)(=O)N1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1,SC_CNS,chembl_wc/graph_ga
CCOc1nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n1,SC_CNS,chembl_wc/graph_ga
CCOc1cc(C(=O)n2cccn2)cc(OCC)c1OCC,SC_CNS,chembl_wc/graph_ga
CCOC(C)OOC1(OOC)CCCCCCCCCCC1,SC_CNS,chembl_wc/graph_ga
CCOC(=O)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12,SC_CNS,chembl_wc/graph_ga
CCOC(=O)c1cncn1C(C)c1ccccc1,SC_CNS,chembl_wc/graph_ga
CCOC(=O)c1ccccc1C(=O)N1CCOCCOCCOCC1,SC_CNS,chembl_wc/graph_ga
CCOC(=O)c1cc(C=Cc2ccncc2)on1,SC_CNS,chembl_wc/graph_ga
CCOC(=O)c1c(N=CN(C)C)sc(C(=O)OC)c1C,SC_CNS,chembl_wc/graph_ga
CCOC(=O)N1C(=O)c2cc(OC)ccc2S1(=O)=O,SC_CNS,chembl_wc/graph_ga
CCOC(=O)Cn1nc(C=Cc2ccc(OC)cc2)ccc1=O,SC_CNS,chembl_wc/graph_ga
CCOC(=O)Cn1c(=O)sc2ccccc21,SC_CNS,chembl_wc/graph_ga
CCOC(=O)Cc1nnc(-c2ccccc2)o1,SC_CNS,chembl_wc/graph_ga
CCOC(=O)COC(=O)c1ccccc1C(=O)OCC,SC_CNS,chembl_wc/graph_ga
CCOC(=O)CC(=O)c1nccn1CCOC,SC_CNS,chembl_wc/graph_ga
CCOC(=O)C1CCN(S(=O)(=O)c2ccc(OC)c(OC)c2)CC1,SC_CNS,chembl_wc/graph_ga
CCOC(=O)C1CCN(C(=O)Cc2cccc3ccccc23)CC1,SC_CNS,chembl_wc/graph_ga
CCOC(=O)C1CCCN(C(=O)c2ccccc2[N+](=O)[O-])C1,SC_CNS,chembl_wc/graph_ga
CCOC(=O)C1CC1C(=O)c1ccc(C(C)(C)C)cc1,SC_CNS,chembl_wc/graph_ga
CCOC(=O)C1=C(C=CN(C)C)C(C)(C)OC1=O,SC_CNS,chembl_wc/graph_ga
CCOC(=O)C1=C(C)c2ccccc2OC1(C)C(=O)OCC,SC_CNS,chembl_wc/graph_ga
CCN1C(=O)CC(C(=O)OC)=C1C,SC_CNS,chembl_wc/graph_ga
CCCc1cn(CC(=O)OCC)nn1,SC_CNS,chembl_wc/graph_ga
CCC(C)C(C#CC(=O)OC)OC=CC(=O)OC,SC_CNS,chembl_wc/graph_ga
CC1=NN(c2ccccc2)C(=O)C1C(=O)c1ccc(Cl)cc1,SC_CNS,chembl_wc/graph_ga
CC1(C)N=C(c2ccccn2)C(c2ccccn2)=NC1(C)C,SC_CNS,chembl_wc/graph_ga
CC(C)Oc1c(C2(c3ccccc3)SCCCS2)c(=O)c1=O,SC_CNS,chembl_wc/graph_ga
CC(C)=CCOC(=O)C(C)=[N+]=[N-],SC_CNS,chembl_wc/graph_ga
CC(=O)c1cccc2c1C(=O)c1c(OCc3ccccc3)cccc1C2=O,SC_CNS,chembl_wc/graph_ga
CC(=O)ON=Cc1ncccc1OC(C)=O,SC_CNS,chembl_wc/graph_ga
CC(=O)OCCCCCCCCCCCCOc1ccccn1,SC_CNS,chembl_wc/graph_ga
CC(=O)C=Cc1ccc(C#N)cc1,SC_CNS,chembl_wc/graph_ga
C=CCSc1nc(C)cc(C(=O)OCC)c1C#N,SC_CNS,chembl_wc/graph_ga
C=C1CC2CC(OS(=O)(=O)c3ccc(C)cc3)C(C1)N2C,SC_CNS,chembl_wc/graph_ga
O=S(=O)(Nc1ccc(Cl)cn1)c1ccc(F)c(F)c1,SC_QED,chembl_wc/graph_ga
OC(c1ccc(Br)cc1)(c1cncnc1)C1CC1,SC_QED,chembl_wc/graph_ga
O=S(=O)(Nc1ccc(Br)o1)c1ccccc1,SC_QED,chembl_wc/graph_ga
O=S(=O)(Nc1ccccn1)c1ccc(C(F)(F)F)cc1,SC_QED,chembl_wc/graph_ga
O=S(=O)(Nc1ccc(C(F)(F)F)cn1)c1ccccc1,SC_QED,chembl_wc/graph_ga
Cc1noc(C)c1C(=O)NCc1ccccc1Br,SC_QED,chembl_wc/graph_ga
Cc1ccccc1C(=O)NS(=O)(=O)c1ccc(Cl)cc1,SC_QED,chembl_wc/graph_ga
Cc1ccc(C(=O)NS(=O)(=O)c2ccccc2)c(Cl)c1,SC_QED,chembl_wc/graph_ga
O=C1CCC2(c3ccccc3)OCC(C(O)c3ccccc3)N12,SC_QED,chembl_wc/graph_ga
O=C(NC1COC(c2ccc(F)cc2)OC1)c1ccccc1,SC_QED,chembl_wc/graph_ga
O=C(NC1(c2cccc(F)c2)CCOCC1)c1ccccn1,SC_QED,chembl_wc/graph_ga
CCOC(=O)N1N=C(c2ccccc2)NN=C1c1ccccc1,SC_QED,chembl_wc/graph_ga
Cc1ccccc1NS(=O)(=O)C(=O)c1c(F)cccc1F,SC_QED,chembl_wc/graph_ga
Cc1cc(S(=O)(=O)Nc2ccc(Cl)cn2)ccc1F,SC_QED,chembl_wc/graph_ga
COc1ccc(NC(=O)c2cncc(Br)c2)cc1,SC_QED,chembl_wc/graph_ga
COc1cc(NC(=O)c2ccccn2)ccc1Br,SC_QED,chembl_wc/graph_ga
CS(=O)(=O)c1ccc(C(=O)Nc2ccccc2Cl)cc1,SC_QED,chembl_wc/graph_ga
O=C(NCc1ccc(Cl)cc1)S(=O)(=O)c1ccccc1,SC_QED,chembl_wc/graph_ga
CS(=O)(=O)c1ccc(NC(=O)c2c(F)cccc2F)cc1,SC_QED,chembl_wc/graph_ga
O=S(=O)(Nc1cncc(Br)c1)c1ccccc1,SC_QED,chembl_wc/graph_ga
O=S(=O)(Nc1ccncc1)c1ccccc1Br,SC_QED,chembl_wc/graph_ga
O=S(=O)(Nc1ccccn1)c1ccc(Br)cc1,SC_QED,chembl_wc/graph_ga
O=C(NCc1ccc2c(c1)OCO2)c1ccc(F)cc1Cl,SC_QED,chembl_wc/graph_ga
O=C(NCc1ccc2c(c1)OCO2)c1c(F)cccc1Cl,SC_QED,chembl_wc/graph_ga
Cc1cc(C)n(C(=O)CNC(=O)c2ccc(C(C)(C)C)cc2)n1,SC_QED,chembl_wc/graph_ga
Cc1ccc(C2OCC(NC(=O)c3ccccc3)CO2)cc1,SC_QED,chembl_wc/graph_ga
Cc1cc(F)cc(C)c1C(=O)NCc1ccc2c(c1)OCO2,SC_QED,chembl_wc/graph_ga
CC1OC(c2ccccc2)OCC1NC(=O)c1ccccc1,SC_QED,chembl_wc/graph_ga
Cc1cccc(C2(NC(=O)c3ccccn3)CCOCC2)c1,SC_QED,chembl_wc/graph_ga
O=C(NS(=O)(=O)c1ccc(Cl)s1)c1ccccc1,SC_QED,chembl_wc/graph_ga
O=C(NCc1ccccc1Br)c1cc(F)on1,SC_QED,chembl_wc/graph_ga
O=C(NCc1ccc(Br)cc1)c1cc(F)on1,SC_QED,chembl_wc/graph_ga
O=C(NS(=O)(=O)c1ccccc1)c1ccc(F)cc1Cl,SC_QED,chembl_wc/graph_ga
O=C(NCc1ccc(F)cc1)c1cncc(Br)c1,SC_QED,chembl_wc/graph_ga
O=S(=O)(Nc1ccccn1)c1cc(Cl)ccc1Cl,SC_QED,chembl_wc/graph_ga
O=S(=O)(Nc1ccncc1)c1ccc(Cl)c(Cl)c1,SC_QED,chembl_wc/graph_ga
O=S(=O)(Nc1ccncc1)c1cc(Cl)ccc1Cl,SC_QED,chembl_wc/graph_ga
