SMILES,property,source
c1nonc1CN1CCCCC1,SC_CNS,chembl_wc/smiles_lstm
c1nnnn1C1CCCCO1,SC_CNS,chembl_wc/smiles_lstm
c1ncn(Cc2nonc2C23CC4CC(CC(C4)C2)C3)n1,SC_CNS,chembl_wc/smiles_lstm
c1ncn(Cc2ncoc2C2CC2)n1,SC_CNS,chembl_wc/smiles_lstm
c1ncn(CC2CCC3(CC2)OO3)n1,SC_CNS,chembl_wc/smiles_lstm
c1ncc2c(n1)ncn2CC1CC2CCCCC21,SC_CNS,chembl_wc/smiles_lstm
c1ncc(OCc2ccc3ncncc3c2)cn1,SC_CNS,chembl_wc/smiles_lstm
c1ncc(Cn2ccnc2-c2ncco2)cn1,SC_CNS,chembl_wc/smiles_lstm
c1nc(Cc2nc3ccon3n2)co1,SC_CNS,chembl_wc/smiles_lstm
c1csc(Cn2nnnc2Cn2cncn2)c1,SC_CNS,chembl_wc/smiles_lstm
c1csc(-c2ocnc2Cn2cncn2)n1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Sc2cnnc(-c3ccc4c(c3)OCO4)n2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Cn2nnnc2CC2CCCCC2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Cn2nnnc2C(c2cscn2)N2CCOCC2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Cn2nnnc2-c2cnc3ccsc3c2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Cn2nnc(Cc3ccncc3)n2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Cn2cc(-n3cncn3)nn2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Cn2c(-c3cccs3)nnc2C2CCCCC2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Cc2occc2Cn2nnc3ccccc32)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Cc2noc(CCCn3cncn3)n2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Cc2nnc(-c3cscn3)o2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(Cc2ncnc3nnnn23)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(CN2CCCn3nnnc3C2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(CN2CCCC(Cn3cncn3)C2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(CN2CCC(n3nnnc3COCC3CC3)CC2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(CCn2nnc3ncncc32)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(C(c2ncco2)c2cncs2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(-n2nnnc2-c2nc3ccccc3o2)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(-c2nnc3snc(-c4ccco4)n23)c1,SC_CNS,chembl_wc/smiles_lstm
c1coc(-c2ncnc3c2oc2cncnc23)c1,SC_CNS,chembl_wc/smiles_lstm
c1cnnc(N2CCC3CCCC3(c3ccncc3)CC2)c1,SC_CNS,chembl_wc/smiles_lstm
c1cnnc(Cn2nncc2-c2cnn3cccnc23)c1,SC_CNS,chembl_wc/smiles_lstm
c1cnnc(-n2nnnc2CN2CCOCC2)c1,SC_CNS,chembl_wc/smiles_lstm
c1cnnc(-c2ncn3c2CCOCC3)c1,SC_CNS,chembl_wc/smiles_lstm
c1cncc(COCC2CC(c3nnnn3C3CCCC3)C2)c1,SC_CNS,chembl_wc/smiles_lstm
c1cncc(CN2CCC(c3nc4cccnc4s3)CC2)c1,SC_CNS,chembl_wc/smiles_lstm
c1cncc(C2(n3nnc4ccccc43)CC2)c1,SC_CNS,chembl_wc/smiles_lstm
c1cncc(-c2ncnn2-c2ccc3c(c2)OCCO3)c1,SC_CNS,chembl_wc/smiles_lstm
c1cnc(N2C3CCC2CC(Oc2cccnn2)C3)nc1,SC_CNS,chembl_wc/smiles_lstm
c1cnc(CCc2cnco2)cn1,SC_CNS,chembl_wc/smiles_lstm
c1ccn(-c2nonc2-c2cncnc2)c1,SC_CNS,chembl_wc/smiles_lstm
c1ccc2oc(-n3ncc4cncnc43)nc2c1,SC_CNS,chembl_wc/smiles_lstm
c1ccc2nc(Cn3cnc(Cn4cnnn4)n3)ccc2c1,SC_CNS,chembl_wc/smiles_lstm
c1ccc(N2CCOCCOCCOCCOCC2)nc1,SC_CNS,chembl_wc/smiles_lstm
c1ccc(Cn2nnc3cc(-c4nnn(Cc5ccco5)n4)ccc32)cc1,SC_CNS,chembl_wc/smiles_lstm
c1ccc(-n2cnnc2-c2cccnc2)cc1,SC_CNS,chembl_wc/smiles_lstm
c1ccc(-c2noc(-c3cnco3)n2)cc1,SC_CNS,chembl_wc/smiles_lstm
c1cc2c(cn1)cnn2-c1ccnc(N2CCOCC2)n1,SC_CNS,chembl_wc/smiles_lstm
c1cc(-n2nnc3cnccc32)ccn1,SC_CNS,chembl_wc/smiles_lstm
[O-][n+]1onc2ccc(C#Cc3ccc(F)c(F)c3)cc21,SC_CNS,chembl_wc/smiles_lstm
