SMILES,property,source
O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccccn1,SA_CNS,moses_wa/graph_ga
O=C1CCCN1S(=O)(=O)c1ccc(Cl)cc1,SA_CNS,moses_wa/graph_ga
O=C(c1ccccn1)N1CCN(C(=O)c2ccccn2)CC1,SA_CNS,moses_wa/graph_ga
O=C(c1cccc(C(=O)N2CCCC2)c1)N1CCCC1,SA_CNS,moses_wa/graph_ga
O=C(c1ccc2c(c1)OCO2)N(Cc1ccccc1)c1ccccn1,SA_CNS,moses_wa/graph_ga
O=C(Cc1ccccc1)c1ccccc1C(=O)N1CCOCC1,SA_CNS,moses_wa/graph_ga
O=C(CN1CCCC1=O)N1CCN(c2cccc(Cl)c2)CC1,SA_CNS,moses_wa/graph_ga
Fc1ccccc1CSc1nnnn1-c1ccc2c(c1)OCO2,SA_CNS,moses_wa/graph_ga
Cn1c(=O)oc2ccc(C(=O)c3ccccc3)cc21,SA_CNS,moses_wa/graph_ga
Clc1ccccc1-c1nc(-c2ccncc2)no1,SA_CNS,moses_wa/graph_ga
Cc1nnc(SCc2nnc(-c3ccccc3)o2)s1,SA_CNS,moses_wa/graph_ga
Cc1cccnc1-n1c(C)nc2ccccc2c1=O,SA_CNS,moses_wa/graph_ga
Cc1cc(N2CCN(S(C)(=O)=O)CC2)ncn1,SA_CNS,moses_wa/graph_ga
Cc1c(C#N)c2ccccc2n1CC(=O)N1CCOCC1,SA_CNS,moses_wa/graph_ga
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,SA_CNS,moses_wa/graph_ga
CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,SA_CNS,moses_wa/graph_ga
CS(=O)(=O)N1CCN(c2cccc(Cl)c2)CC1,SA_CNS,moses_wa/graph_ga
CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1,SA_CNS,moses_wa/graph_ga
COc1ccnc(N2CCN(C(=O)c3cccs3)CC2)n1,SA_CNS,moses_wa/graph_ga
COc1ccnc(N2CCN(C(=O)c3ccco3)CC2)n1,SA_CNS,moses_wa/graph_ga
COc1ccnc(N2CCN(C(=O)c3ccccn3)CC2)n1,SA_CNS,moses_wa/graph_ga
COc1ccnc(N2CCN(C(=O)c3ccccc3)CC2)n1,SA_CNS,moses_wa/graph_ga
COc1ccccc1OC(=O)c1ccccc1OC(C)=O,SA_CNS,moses_wa/graph_ga
COc1ccccc1OC(=O)Oc1ccccc1OC,SA_CNS,moses_wa/graph_ga
COc1ccccc1N1CCN(S(C)(=O)=O)CC1,SA_CNS,moses_wa/graph_ga
COc1ccccc1N1CCN(S(=O)(=O)c2ccc(C)cc2)CC1,SA_CNS,moses_wa/graph_ga
COc1ccccc1N1CCN(S(=O)(=O)Cc2ccccc2)CC1,SA_CNS,moses_wa/graph_ga
COc1cccc(OC)c1C(=O)N1CCOCC1,SA_CNS,moses_wa/graph_ga
COc1cccc(OC)c1C(=O)N1CCN(c2ccc(F)cc2)CC1,SA_CNS,moses_wa/graph_ga
COc1ccc(S(=O)(=O)N2CCc3ccccc3C2)cc1OC,SA_CNS,moses_wa/graph_ga
COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1OC,SA_CNS,moses_wa/graph_ga
COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1,SA_CNS,moses_wa/graph_ga
COc1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1OC,SA_CNS,moses_wa/graph_ga
COc1ccc(S(=O)(=O)N2CCCC(C)C2)cc1,SA_CNS,moses_wa/graph_ga
COc1ccc(S(=O)(=O)N(C)Cc2ccccc2)cc1,SA_CNS,moses_wa/graph_ga
COc1ccc(S(=O)(=O)N(C)C2CCCCC2)cc1,SA_CNS,moses_wa/graph_ga
COc1ccc(CN2Cc3ncccc3C2=O)cc1,SA_CNS,moses_wa/graph_ga
COc1ccc(-c2nnc(C)nc2-c2ccc(OC)cc2)cc1,SA_CNS,moses_wa/graph_ga
COc1ccc(-c2cnc3c(-c4cccnc4)cnn3c2)cc1,SA_CNS,moses_wa/graph_ga
COc1cc2ncc(-c3ccccc3)nc2cc1OC,SA_CNS,moses_wa/graph_ga
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,SA_CNS,moses_wa/graph_ga
COc1cc(C(=O)N(C)Cc2ccccc2)cc(OC)c1OC,SA_CNS,moses_wa/graph_ga
COC(=O)c1ccn(COc2ccccc2Cl)n1,SA_CNS,moses_wa/graph_ga
COC(=O)C1CCN(C(=O)c2ccccc2OC(C)=O)CC1,SA_CNS,moses_wa/graph_ga
COC(=O)C1CCN(C(=O)c2cccc(OC)c2)CC1,SA_CNS,moses_wa/graph_ga
COC(=O)C1CCN(C(=O)c2cccc(C)c2)CC1,SA_CNS,moses_wa/graph_ga
COC(=O)C1CCN(C(=O)c2cccc(Br)c2)CC1,SA_CNS,moses_wa/graph_ga
COC(=O)C1CCN(C(=O)c2ccc(OC(C)=O)cc2)CC1,SA_CNS,moses_wa/graph_ga
COC(=O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1,SA_CNS,moses_wa/graph_ga
COC(=O)C1CCN(C(=O)c2ccc(C)c(C)c2)CC1,SA_CNS,moses_wa/graph_ga
COC(=O)C1CCN(C(=O)c2ccc(-c3ccccc3)cc2)CC1,SA_CNS,moses_wa/graph_ga
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,SA_CNS,moses_wa/graph_ga
CN(C)c1ncnc2c1ncn2Cc1ccccc1,SA_CNS,moses_wa/graph_ga
CN(C)S(=O)(=O)N1CCN(c2ncccn2)CC1,SA_CNS,moses_wa/graph_ga
CN(C)S(=O)(=O)N1CCN(c2ccccc2)CC1,SA_CNS,moses_wa/graph_ga
CN(C)S(=O)(=O)N1CCN(c2ccc(F)cc2)CC1,SA_CNS,moses_wa/graph_ga
CN(C)S(=O)(=O)N1CCC(Cc2ccccc2)CC1,SA_CNS,moses_wa/graph_ga
CN(C(=O)c1ccc(F)cc1)c1ccccc1C(=O)N1CCOCC1,SA_CNS,moses_wa/graph_ga
CCn1nc(-c2cccnc2)c2ccccc2c1=O,SA_CNS,moses_wa/graph_ga
CCOc1ccc(-n2c(C)nc3ccccc3c2=O)cc1,SA_CNS,moses_wa/graph_ga
CCOc1cc(C(=O)N(C)C)cc(OCC)c1OCC,SA_CNS,moses_wa/graph_ga
CCOC(=O)N1CCN(C(=O)c2cccs2)CC1,SA_CNS,moses_wa/graph_ga
