SMILES,property,source
c1ncn(Cc2nc(-c3ccsc3)no2)n1,SA_CNS,moses_wa/smiles_lstm
c1nc2occ(Sc3cnn(C4CCCCC4)c3)n2n1,SA_CNS,moses_wa/smiles_lstm
c1nc(Sc2nncn2-c2ncsn2)c2sccc2n1,SA_CNS,moses_wa/smiles_lstm
c1nc(C2CCCN2Cc2noc(C3CC3)n2)no1,SA_CNS,moses_wa/smiles_lstm
c1csc(SCc2nnc(C3CCCCC3)o2)n1,SA_CNS,moses_wa/smiles_lstm
c1csc(N2CCCn3nnc(Cn4cncn4)c3C2)n1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2nnnc2Sc2ccc3ccccc3n2)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2nnnc2-c2ccnc3ccccc23)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2nnnc2-c2cc3c(s2)OCO3)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2nnc(SCc3nccs3)n2)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2ncc(-c3nccs3)c2Cn2cccn2)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2cnnc2Sc2nnc(N3CCCC3)o2)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2cnnc2SCn2nnc3ncccc32)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2cnnc2SCc2nnc(C3CC3)o2)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2cnc(-n3ccnn3)c2)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2ccnc2Cn2ccnc2-n2cnnc2)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2ccnc2-c2cnc(Cc3ccsc3)o2)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2cc(Sc3nnc(C4CCC4)o3)nn2)c1,SA_CNS,moses_wa/smiles_lstm
c1csc(Cn2cc(Cn3cnnc3)cn2)c1,SA_CNS,moses_wa/smiles_lstm
