SMILES,property,source
O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccccn1,SC_CNS,moses_wc/graph_ga
O=C1c2ccccc2S(=O)(=O)N1c1c(F)c(F)nc(F)c1F,SC_CNS,moses_wc/graph_ga
O=C1OC(C2OC(=O)c3ccccc32)c2ccccc21,SC_CNS,moses_wc/graph_ga
O=C1CCCN1S(=O)(=O)c1ccc(Cl)cc1,SC_CNS,moses_wc/graph_ga
O=C(c1ccccn1)N1CCN(C(=O)c2ccccn2)CC1,SC_CNS,moses_wc/graph_ga
O=C(c1ccccc1)c1ccc(C(=O)N2CCOCC2)o1,SC_CNS,moses_wc/graph_ga
O=C(c1cccc(C(=O)N2CCCC2)c1)N1CCCC1,SC_CNS,moses_wc/graph_ga
O=C(c1ccc2c(c1)OCO2)N(Cc1ccccc1)c1ccccn1,SC_CNS,moses_wc/graph_ga
O=C(Cc1ccccc1)c1ccccc1C(=O)N1CCOCC1,SC_CNS,moses_wc/graph_ga
O=C(C1CCCN1C(=O)OCc1ccccc1)N1CCCC1,SC_CNS,moses_wc/graph_ga
Cc1ccc(S(=O)(=O)N2CCCC2C(=O)N2CCCC2)cc1,SC_CNS,moses_wc/graph_ga
CSc1cc(-c2ccc(Br)cc2)oc(=O)c1C#N,SC_CNS,moses_wc/graph_ga
COc1ccccc1OC(=O)c1ccccc1OC(C)=O,SC_CNS,moses_wc/graph_ga
COc1ccccc1OC(=O)Oc1ccccc1OC,SC_CNS,moses_wc/graph_ga
COc1ccccc1N1CCN(S(C)(=O)=O)CC1,SC_CNS,moses_wc/graph_ga
COc1ccccc1N1CCN(S(=O)(=O)c2ccc(C)cc2)CC1,SC_CNS,moses_wc/graph_ga
COc1cccc(OC)c1C(=O)N1CCOCC1,SC_CNS,moses_wc/graph_ga
COc1ccc(S(=O)(=O)n2ccnc2)c2cccnc12,SC_CNS,moses_wc/graph_ga
COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1OC,SC_CNS,moses_wc/graph_ga
COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1,SC_CNS,moses_wc/graph_ga
COc1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1OC,SC_CNS,moses_wc/graph_ga
COc1ccc(S(=O)(=O)N(C)Cc2ccccc2)cc1,SC_CNS,moses_wc/graph_ga
COc1ccc(S(=O)(=O)N(C)C2CCCCC2)cc1,SC_CNS,moses_wc/graph_ga
COc1ccc(C2(C#N)CCC(=O)CC2)cc1OC1CCCC1,SC_CNS,moses_wc/graph_ga
