SMILES,property,source
O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccccn1,SC_CNS,moses_wc/smiles_ga
O=C1c2ccccc2S(=O)(=O)N1c1c(F)c(F)nc(F)c1F,SC_CNS,moses_wc/smiles_ga
O=C1OC(C2OC(=O)c3ccccc32)c2ccccc21,SC_CNS,moses_wc/smiles_ga
O=C1CCCN1S(=O)(=O)c1ccc(Cl)cc1,SC_CNS,moses_wc/smiles_ga
O=C(c1ccccn1)N1CCN(C(=O)c2ccccn2)CC1,SC_CNS,moses_wc/smiles_ga
O=C(c1ccccc1)c1ccc(C(=O)N2CCOCC2)o1,SC_CNS,moses_wc/smiles_ga
O=C(c1cccc(C(=O)N2CCCC2)c1)N1CCCC1,SC_CNS,moses_wc/smiles_ga
O=C(c1ccc2c(c1)OCO2)N(Cc1ccccc1)c1ccccn1,SC_CNS,moses_wc/smiles_ga
O=C(Cc1ccccc1)c1ccccc1C(=O)N1CCOCC1,SC_CNS,moses_wc/smiles_ga
O=C(C1CCCN1C(=O)OCc1ccccc1)N1CCCC1,SC_CNS,moses_wc/smiles_ga
Cc1ccc(S(=O)(=O)N2CCCC2C(=O)N2CCCC2)cc1,SC_CNS,moses_wc/smiles_ga
CSc1cc(-c2ccc(Br)cc2)oc(=O)c1C#N,SC_CNS,moses_wc/smiles_ga
COc1ccccc1OC(=O)c1ccccc1OC(C)=O,SC_CNS,moses_wc/smiles_ga
COc1ccccc1OC(=O)Oc1ccccc1OC,SC_CNS,moses_wc/smiles_ga
COc1ccccc1N1CCN(S(C)(=O)=O)CC1,SC_CNS,moses_wc/smiles_ga
COc1ccccc1N1CCN(S(=O)(=O)c2ccc(C)cc2)CC1,SC_CNS,moses_wc/smiles_ga
COc1cccc(OC)c1C(=O)N1CCOCC1,SC_CNS,moses_wc/smiles_ga
COc1ccc(S(=O)(=O)n2ccnc2)c2cccnc12,SC_CNS,moses_wc/smiles_ga
COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1OC,SC_CNS,moses_wc/smiles_ga
COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1,SC_CNS,moses_wc/smiles_ga
COc1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1OC,SC_CNS,moses_wc/smiles_ga
COc1ccc(S(=O)(=O)N(C)Cc2ccccc2)cc1,SC_CNS,moses_wc/smiles_ga
COc1ccc(S(=O)(=O)N(C)C2CCCCC2)cc1,SC_CNS,moses_wc/smiles_ga
COc1ccc(C2(C#N)CCC(=O)CC2)cc1OC1CCCC1,SC_CNS,moses_wc/smiles_ga
COc1ccc(C(=O)N2CC(C)OC(C)C2)c(OC)c1,SC_CNS,moses_wc/smiles_ga
COc1ccc(C(=O)CSc2nc(C)cc(C)c2C#N)cc1,SC_CNS,moses_wc/smiles_ga
COc1ccc(-c2nnc(C)nc2-c2ccc(OC)cc2)cc1,SC_CNS,moses_wc/smiles_ga
COc1cc(Cn2ccnc2)c(OC)cc1Cn1ccnc1,SC_CNS,moses_wc/smiles_ga
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,SC_CNS,moses_wc/smiles_ga
COc1cc(C(=O)N(C)Cc2ccccc2)cc(OC)c1OC,SC_CNS,moses_wc/smiles_ga
COC(=O)c1sc(C(=O)OC)c(Cl)c1Cl,SC_CNS,moses_wc/smiles_ga
COC(=O)c1ccn(COc2ccccc2Cl)n1,SC_CNS,moses_wc/smiles_ga
COC(=O)c1ccn(COc2ccc(Cl)cc2)n1,SC_CNS,moses_wc/smiles_ga
COC(=O)C1CCN(C(=O)c2ccccc2OC(C)=O)CC1,SC_CNS,moses_wc/smiles_ga
COC(=O)C1CCN(C(=O)c2cccc(OC)c2)CC1,SC_CNS,moses_wc/smiles_ga
COC(=O)C1CCN(C(=O)c2cccc(C)c2)CC1,SC_CNS,moses_wc/smiles_ga
COC(=O)C1CCN(C(=O)c2cccc(Br)c2)CC1,SC_CNS,moses_wc/smiles_ga
COC(=O)C1CCN(C(=O)c2ccc(OC(C)=O)cc2)CC1,SC_CNS,moses_wc/smiles_ga
COC(=O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1,SC_CNS,moses_wc/smiles_ga
COC(=O)C1CCN(C(=O)c2ccc(C)c(C)c2)CC1,SC_CNS,moses_wc/smiles_ga
COC(=O)C1CCN(C(=O)C(C)Oc2ccccc2)CC1,SC_CNS,moses_wc/smiles_ga
CN(C)S(=O)(=O)N1CCN(c2ccccc2)CC1,SC_CNS,moses_wc/smiles_ga
CCOc1cc(C(=O)N(C)C)cc(OCC)c1OCC,SC_CNS,moses_wc/smiles_ga
CCOC(=O)N1CCN(C(=O)c2cccs2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)N1CCN(C(=O)c2ccco2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)N1CCN(C(=O)N2CCOCC2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)Cn1nc(C(F)(F)F)c(Br)c1C,SC_CNS,moses_wc/smiles_ga
CCOC(=O)CSc1nc2ccccc2n1C(=O)OCC,SC_CNS,moses_wc/smiles_ga
CCOC(=O)CSc1nc2ccccc2c(=O)n1-c1ccccc1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(S(=O)(=O)N(C)C)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)c2ccccc2OC(C)=O)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)c2ccccc2Cl)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)c2ccccc2Br)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)c2ccc3c(c2)OCO3)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)c2ccc(OCC)cc2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)c2ccc(OC)cc2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)c2ccc(OC)c(OC)c2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)c2ccc(Cl)cc2Cl)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)N2CCOCC2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)Cc2cccs2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)Cc2ccc(Cl)cc2)CC1,SC_CNS,moses_wc/smiles_ga
CCOC(=O)C1CCN(C(=O)COc2ccccc2)CC1,SC_CNS,moses_wc/smiles_ga
