SMILES,property,source
c1ncc(-n2cnnc2Sc2ccsn2)cn1,SC_CNS,moses_wc/smiles_lstm
c1csc(Cn2nnnc2Sc2ccc3cccnc3n2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(Cc2nnc(CN3CCOc4ccccc4C3)o2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(Cc2ncc(-c3nnn(Cc4cccs4)n3)o2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(CN2CCOC3CN(Cc4cncs4)CC32)n1,SC_CNS,moses_wc/smiles_lstm
c1csc(CCn2cnc3cncnc32)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(C2CN(Cc3nnc(C4CCC4)o3)CCO2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(C2CN(CCOc3nnc4ccccn34)CCO2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(C2CCN(c3ncnc4ncccc34)CCO2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(C2=Nc3cccnc3OC2CN2CCOCC2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(C2(c3nnns3)Sc3nncn32)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(-n2nnnc2SCc2scnc2C2CC2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(-n2nnnc2Cc2cnccn2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(-n2nnnc2-c2cnccn2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(-c2nnc(-c3cnc(N4CCOCC4)s3)o2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(-c2nc(Sc3cnccn3)c3cccnc3n2)c1,SC_CNS,moses_wc/smiles_lstm
c1csc(-c2nc(Cn3cnnn3)cs2)c1,SC_CNS,moses_wc/smiles_lstm
c1coc(Cn2nnnc2SCCn2cccn2)c1,SC_CNS,moses_wc/smiles_lstm
c1coc(-n2nnnc2SCc2csc(C3CCCC3)n2)c1,SC_CNS,moses_wc/smiles_lstm
c1coc(-n2cnc(SCc3nccs3)n2)c1,SC_CNS,moses_wc/smiles_lstm
c1coc(-c2ncnc(Sc3nncs3)n2)c1,SC_CNS,moses_wc/smiles_lstm
c1coc(-c2ncc(CSc3ncnc4sccc34)o2)c1,SC_CNS,moses_wc/smiles_lstm
c1coc(-c2ccc(CSc3nnc(C4CC4)o3)cc2)n1,SC_CNS,moses_wc/smiles_lstm
c1cncc(CSc2nncn2C2CCCO2)c1,SC_CNS,moses_wc/smiles_lstm
c1cncc(-c2nnc(Sc3ncnc4sccc34)s2)c1,SC_CNS,moses_wc/smiles_lstm
c1cncc(-c2ncsc2CN2Cc3cncnc3C2)c1,SC_CNS,moses_wc/smiles_lstm
c1cnc(Sc2nnc(-c3cccs3)o2)nc1,SC_CNS,moses_wc/smiles_lstm
c1cnc(-n2ccnc2Cc2nnc(C3CC3)o2)nc1,SC_CNS,moses_wc/smiles_lstm
c1ccc(Oc2cccc(CSc3nncs3)n2)cc1,SC_CNS,moses_wc/smiles_lstm
c1ccc(Cn2cnc(SCc3nccs3)n2)cc1,SC_CNS,moses_wc/smiles_lstm
c1ccc(Cc2nnc(-c3nc(C4CC4)no3)s2)cc1,SC_CNS,moses_wc/smiles_lstm
c1ccc(CSc2nnnn2Cc2cccs2)cc1,SC_CNS,moses_wc/smiles_lstm
c1ccc(CSc2nnnn2-c2nccs2)cc1,SC_CNS,moses_wc/smiles_lstm
c1ccc(CSc2nncn2-c2ccccn2)cc1,SC_CNS,moses_wc/smiles_lstm
c1ccc(CCSc2nnc(-c3cccnc3)o2)nc1,SC_CNS,moses_wc/smiles_lstm
c1ccc(-c2ncc(-c3noc(C4CCC4)n3)s2)nc1,SC_CNS,moses_wc/smiles_lstm
c1ccc(-c2cc(-n3cncn3)nc3ccccc23)nc1,SC_CNS,moses_wc/smiles_lstm
c1cc(-n2cccn2)cc(-n2nncc2-c2ccco2)c1,SC_CNS,moses_wc/smiles_lstm
O=c1onnn1Cc1ocnc1-c1ccc(Cl)cc1F,SC_CNS,moses_wc/smiles_lstm
O=c1oncn1Cc1occc1C(Cl)(Cl)Cl,SC_CNS,moses_wc/smiles_lstm
O=c1oncn1Cc1nnc(Sc2cccc(Cl)c2)o1,SC_CNS,moses_wc/smiles_lstm
O=c1oncn1Cc1nnc(Cc2c(Cl)cccc2Cl)o1,SC_CNS,moses_wc/smiles_lstm
O=c1oncn1Cc1coc(COc2ccccc2Cl)n1,SC_CNS,moses_wc/smiles_lstm
O=c1oncn1Cc1coc(-c2cccc(F)c2)n1,SC_CNS,moses_wc/smiles_lstm
O=c1oncn1Cc1cnn(-c2ccccc2)n1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2nccs2)n1-c1cccc2ccccc12,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2nccs2)n1-c1ccc(Cl)cc1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2nccn2C(F)(F)F)n1Sc1ccccc1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2ncccn2)n1-c1ccc2ccccc2n1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2ncc(Cl)cn2)n1-c1ccc(F)cc1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2nc3ccccc3s2)n1-c1cccnc1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2cnoc2)n1-c1ccc(Br)cc1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2cnccn2)n1Cc1cc2ccccc2s1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2ccncc2)n1-c1ccccc1Cl,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2cccs2)n1Cc1ncc(Cl)cc1Cl,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2cccnc2)n1-c1ccccc1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2ccccn2)n1-c1cccc(Br)c1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2ccccc2Cl)n1-c1ccccc1,SC_CNS,moses_wc/smiles_lstm
O=c1onc(-c2ccccc2)n1-c1cccc(Cl)c1,SC_CNS,moses_wc/smiles_lstm
O=c1oc2cccnc2n1Cc1nc(Cc2cccs2)no1,SC_CNS,moses_wc/smiles_lstm
O=c1oc2cccnc2n1Cc1nc(-c2ccsc2)no1,SC_CNS,moses_wc/smiles_lstm
O=c1oc2cccnc2n1CS(=O)(=O)c1ccccc1F,SC_CNS,moses_wc/smiles_lstm
O=c1oc2ccccc2n1Cc1nc(-c2cccnc2)no1,SC_CNS,moses_wc/smiles_lstm
O=c1oc2ccccc2n1Cc1cnc(-c2ccsc2)s1,SC_CNS,moses_wc/smiles_lstm
O=c1cc(CSc2nnnn2Cc2cccs2)nc2ccccn12,SC_CNS,moses_wc/smiles_lstm
O=c1c(Cl)c(Cl)cnn1Cc1coc(-c2cccs2)n1,SC_CNS,moses_wc/smiles_lstm
O=S1(=O)CCCN1CCn1cnc2ccccc21,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1csc2ccccc12)n1nccc1F,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1cnn(Cc2ccccc2)c1)C1CC1,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1cccs1)N1CCCC(n2ccnc2)C1,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1cccs1)N1CC(c2ccncc2)C1,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1ccccn1)n1ncc(Cl)c1C(F)(F)F,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1ccccc1F)N(Cc1ccno1)c1ccccn1,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1ccccc1)N1CCN(Cc2ccccn2)CC1,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1cccc(F)c1)N1CCn2c(Cn3cncn3)cnc21,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1ccc(F)cc1F)N1CCC(c2ccncc2)C1,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1ccc(F)c(F)c1F)N1CCOCC1,SC_CNS,moses_wc/smiles_lstm
O=S(=O)(c1ccc(Cl)cc1)N1CCn2ncnc21,SC_CNS,moses_wc/smiles_lstm
