SMILES,property,source
O=c1onc2n1-c1cc(Br)ccc1OC2,CNS MPO,moses_wo/graph_ga
O=c1c2ccccc2oc2nc3n(c(=O)c12)CCCS3,CNS MPO,moses_wo/graph_ga
O=c1c2ccccc2c(-c2cccnc2)nn1CCn1ccnc1,CNS MPO,moses_wo/graph_ga
O=c1c2cc(Cl)ccc2oc2nc3n(c(=O)c12)CCCS3,CNS MPO,moses_wo/graph_ga
O=C1c2ccccc2-c2c3c(cc4ccnc1c24)OCO3,CNS MPO,moses_wo/graph_ga
O=C1OC(C2OC(=O)c3ccccc32)c2ccccc21,CNS MPO,moses_wo/graph_ga
O=C1N=C(N2CCOCC2)CN1c1ccc(Cl)cc1,CNS MPO,moses_wo/graph_ga
O=C1CCCN1S(=O)(=O)c1ccc(Cl)cc1,CNS MPO,moses_wo/graph_ga
O=C(c1ccccn1)c1cnn2c(-c3ccncc3)ccnc12,CNS MPO,moses_wo/graph_ga
O=C(c1ccccn1)N1CCN(C(=O)c2ccccn2)CC1,CNS MPO,moses_wo/graph_ga
O=C(c1cccc(C(=O)N2CCCC2)c1)N1CCCC1,CNS MPO,moses_wo/graph_ga
O=C(CN1CCCC1=O)N1CCN(c2cccc(Cl)c2)CC1,CNS MPO,moses_wo/graph_ga
O=C(C1CCCN1C(=O)OCc1ccccc1)N1CCCC1,CNS MPO,moses_wo/graph_ga
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,CNS MPO,moses_wo/graph_ga
O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3C2C1,CNS MPO,moses_wo/graph_ga
Fc1ccccc1CSc1nnnn1-c1ccc2c(c1)OCO2,CNS MPO,moses_wo/graph_ga
Cn1c(=O)oc2ccc(C(=O)c3ccccc3)cc21,CNS MPO,moses_wo/graph_ga
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,CNS MPO,moses_wo/graph_ga
Clc1ccccc1-c1nc(-c2ccncc2)no1,CNS MPO,moses_wo/graph_ga
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,CNS MPO,moses_wo/graph_ga
Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,CNS MPO,moses_wo/graph_ga
Cc1nnc2sc(COc3ccc(Cl)cc3)nn2c1=O,CNS MPO,moses_wo/graph_ga
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,CNS MPO,moses_wo/graph_ga
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,CNS MPO,moses_wo/graph_ga
Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C,CNS MPO,moses_wo/graph_ga
Cc1nn(-c2ccccc2)c2nc3c(nc12)c(C)nn3-c1ccccc1,CNS MPO,moses_wo/graph_ga
Cc1nc2c(OCc3ccccc3)cccn2c1CC#N,CNS MPO,moses_wo/graph_ga
Cc1cccnc1-n1c(C)nc2ccccc2c1=O,CNS MPO,moses_wo/graph_ga
Cc1ccc2c(c1)c1nnc(-n3ccnc3)nc1n2C,CNS MPO,moses_wo/graph_ga
Cc1ccc(S(=O)(=O)N2CCCC2C(=O)N2CCCC2)cc1,CNS MPO,moses_wo/graph_ga
Cc1ccc(OCc2nn3c(=O)c(C)nnc3s2)cc1,CNS MPO,moses_wo/graph_ga
Cc1cc(N2CCN(S(C)(=O)=O)CC2)ncn1,CNS MPO,moses_wo/graph_ga
Cc1cc(C)n(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)n1,CNS MPO,moses_wo/graph_ga
Cc1c(C)c2ccc(OCc3nnc(C(C)C)s3)cc2oc1=O,CNS MPO,moses_wo/graph_ga
Cc1c(C#N)c2ccccc2n1CC(=O)N1CCOCC1,CNS MPO,moses_wo/graph_ga
CSc1cc(-c2ccc(Br)cc2)oc(=O)c1C#N,CNS MPO,moses_wo/graph_ga
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,CNS MPO,moses_wo/graph_ga
CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,CNS MPO,moses_wo/graph_ga
COc1nc2nc(-c3noc(C)n3)cn2c2c1CCCC2,CNS MPO,moses_wo/graph_ga
COc1cnc2c3c(nccc13)C(=O)c1ccccc1-2,CNS MPO,moses_wo/graph_ga
COc1ccnc(N2CCN(C(=O)c3cccs3)CC2)n1,CNS MPO,moses_wo/graph_ga
COc1ccnc(N2CCN(C(=O)c3ccco3)CC2)n1,CNS MPO,moses_wo/graph_ga
COc1ccnc(N2CCN(C(=O)c3ccccn3)CC2)n1,CNS MPO,moses_wo/graph_ga
COc1ccnc(N2CCN(C(=O)c3ccccc3)CC2)n1,CNS MPO,moses_wo/graph_ga
COc1ccccc1OC(=O)c1ccccc1OC(C)=O,CNS MPO,moses_wo/graph_ga
COc1ccccc1OC(=O)Oc1ccccc1OC,CNS MPO,moses_wo/graph_ga
