SMILES,property,source
c1noc(Cc2noc(Cc3ccsc3)n2)n1,CNS MPO,moses_wo/smiles_lstm
c1nc(OC2CCCCC2)c2nnnn2n1,CNS MPO,moses_wo/smiles_lstm
c1csc(Sc2cc(-n3cncn3)ncn2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cn2nnnc2Sc2ccnc3cccnc23)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cn2nnnc2SCc2csc3cccnc23)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cn2nnnc2SCc2coc3ccccc23)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cn2nnnc2-c2csc3ccsc23)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cn2ncc(-c3noc(-c4ccncc4)n3)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cc2noc(Cn3nnc(-c4ccsc4)n3)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cc2noc(Cn3cnc4sccc43)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cc2noc(Cn3ccnc3SCC3CC3)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cc2noc(CSc3ncnc4ccccc34)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cc2noc(-n3ccnc3C3CCCCC3)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cc2noc(-c3ccc4ccnnc4n3)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cc2noc(-c3ccc(COc4csnn4)cc3)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cc2nnc(COc3ccc4c(c3)OCCO4)o2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(Cc2nc(Cc3nnco3)cs2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(-c2noc(CSc3nnc(-c4ccsc4)o3)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1csc(-c2noc(COc3nnc4n3CCCCC4)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1coc(Cn2nnnc2SCc2nnc3n2CCCCC3)c1,CNS MPO,moses_wo/smiles_lstm
c1coc(Cn2nnnc2SCc2nc3ccccc3o2)c1,CNS MPO,moses_wo/smiles_lstm
c1coc(Cc2nnnn2Cc2csc(-c3ccoc3)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1coc(-n2nnnc2SCc2cscn2)c1,CNS MPO,moses_wo/smiles_lstm
c1coc(-c2nnsc2Cn2nnnc2-c2cccs2)c1,CNS MPO,moses_wo/smiles_lstm
c1coc(-c2nnc(Oc3ccnc(C4CC4)n3)o2)c1,CNS MPO,moses_wo/smiles_lstm
c1coc(-c2ncc(-c3nc(-c4cccs4)no3)s2)c1,CNS MPO,moses_wo/smiles_lstm
c1cncc(Cc2noc(Cc3noc4ccccc34)n2)c1,CNS MPO,moses_wo/smiles_lstm
c1cncc(-c2nnc(Cn3cc(-c4ccsc4)nn3)o2)c1,CNS MPO,moses_wo/smiles_lstm
c1cnc(SCc2nnc3n2CCCCCC3)nc1,CNS MPO,moses_wo/smiles_lstm
c1ccn2c(Cc3csc(-c4ccncc4)n3)nnc2c1,CNS MPO,moses_wo/smiles_lstm
c1ccc2nc(Cc3cc(Oc4nncs4)no3)ccc2c1,CNS MPO,moses_wo/smiles_lstm
c1ccc2c(c1)ncn2Cc1ncns1,CNS MPO,moses_wo/smiles_lstm
c1ccc2c(Cc3nnnn3CCc3nccs3)snc2c1,CNS MPO,moses_wo/smiles_lstm
c1ccc(N2CCC3(COCCN(c4ncccn4)C3)C2)cc1,CNS MPO,moses_wo/smiles_lstm
c1ccc(-n2nnnc2Sc2ccncn2)cc1,CNS MPO,moses_wo/smiles_lstm
c1ccc(-n2nnnc2Sc2cccc3cccnc23)cc1,CNS MPO,moses_wo/smiles_lstm
c1ccc(-n2nnnc2SCc2cn3cccnc3n2)cc1,CNS MPO,moses_wo/smiles_lstm
c1ccc(-n2nnnc2Cc2cnc3ccccc3n2)cc1,CNS MPO,moses_wo/smiles_lstm
c1ccc(-n2nnnc2-c2cccnc2-c2cccnc2)cc1,CNS MPO,moses_wo/smiles_lstm
c1ccc(-c2nonc2-c2ccc3cnccc3c2)cc1,CNS MPO,moses_wo/smiles_lstm
c1ccc(-c2noc(CSc3ncnn3C3CC3)n2)cc1,CNS MPO,moses_wo/smiles_lstm
c1ccc(-c2nnc3sc(-c4ccsc4)nn23)cc1,CNS MPO,moses_wo/smiles_lstm
c1cc(-c2nnsc2SCc2csnn2)cs1,CNS MPO,moses_wo/smiles_lstm
c1cc(-c2nnnn2-c2csnn2)cs1,CNS MPO,moses_wo/smiles_lstm
O=c1onnn1Cc1ccc2c(c1)OCCCO2,CNS MPO,moses_wo/smiles_lstm
O=c1onnn1-c1ccccc1OCc1ccccc1,CNS MPO,moses_wo/smiles_lstm
O=c1onc(-c2nncs2)n1-c1ccccc1Cl,CNS MPO,moses_wo/smiles_lstm
O=c1onc(-c2nnc3n2CCCCC3)n1-c1ccccc1,CNS MPO,moses_wo/smiles_lstm
O=c1onc(-c2ncon2)n1-c1ccccc1,CNS MPO,moses_wo/smiles_lstm
O=c1onc(-c2ncccn2)n1-c1cccc(OC(F)F)c1,CNS MPO,moses_wo/smiles_lstm
O=c1onc(-c2ncccn2)n1-c1cccc(Cl)c1,CNS MPO,moses_wo/smiles_lstm
