SMILES_before,SMILES_before_synth,SMILES_after,SMILES_after_synth,syn_before,syn_after,syn_changed,obj_before,obj_before_synth,obj_after,obj_after_synth,obj_changed,obj_changed_synth,property,method
COc1ccc(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1,COc1ccc(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1,COc1ccc(OC)c(NC(=O)CNC(=O)Cn2cnc3ccccc3c2=O)c1,COc1ccc(OC)c(NC(=O)CNC(=O)Cn2cnc3ccccc3c2=O)c1,1,1,0,0.8555261858712448,0.8555261858712448,0.837125180746246,0.837125180746246,-0.01840100512499887,-0.01840100512499887,Osimertinib MPO,best_from_chembl
BN1CN(CC(N)=O)CN[IH]1(S)c1cc(OC)c(Nc2ncc3bbc(-c4bbccc4[SH](C)S(=C)(C)=O)p3n2)cn1,,COc1ccc(OC)c(NC(=O)CNC(=O)Cn2cnc3ccccc3c2=O)c1,COc1ccc(OC)c(NC(=O)CNC(=O)Cn2cnc3ccccc3c2=O)c1,0,1,1,0.8815847323010192,,0.837125180746246,0.837125180746246,-0.04445955155477321,,Osimertinib MPO,smiles_ga
COc1ccccc1NC(=O)Cn1c(=O)n(CCN(C)C)c(=O)c2cnc(Nc3ccc(N4CC(N)C4)cc3OC)nc21,COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CCN(CCO)CC4)cc3OC)nc2n(C)c1=O,COc1ccccc1NC(=O)CN1CCN(c2cc3c(cc2N)c(=O)c(=O)n(Cc2ccco2)c(=O)n3C)CC1,COc1ccccc1NC(=O)COC(=O)Cn1c(=O)n(CCN2CCN(c3ccnc(N)n3)CC2)c(=O)c2ccccc21,0,0,0,0.9080009041151254,0.905324083791158,0.882673791805966,0.8817847333874802,-0.025327112309159405,-0.023539350403677828,Osimertinib MPO,smiles_lstm
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1ncccn1,COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C(N)=O)n1,COc1ccc(NC(=O)CNCCn2c(=O)c3ccccc3n(C)c2=O)c(OCCN(C)C)c1,COc1ccc(NC(=O)CNCCn2c(=O)c3ccccc3n(C)c2=O)c(OCCN(C)C)c1,0,1,1,0.95080752997384,0.9429038064652082,0.8924886897387199,0.8924886897387199,-0.05831884023512013,-0.05041511672648835,Osimertinib MPO,graph_ga
NS(=O)(=O)c1ccc(OCCCN2CCC(C(O)(c3cccc(F)c3)c3ccccn3)CC2)cc1,NS(=O)(=O)c1ccc(OCCCN2CCC(C(O)(c3cccc(F)c3)c3ccccn3)CC2)cc1,O=C(OC1CCN(CCc2ccc([N+](=O)[O-])cc2)CC1)C(O)(c1ccccc1)c1ccccc1,O=C(OC1CCN(CCc2ccc([N+](=O)[O-])cc2)CC1)C(O)(c1ccccc1)c1ccccc1,1,1,0,0.8559628749506688,0.8559628749506688,0.8143741530666495,0.8143741530666495,-0.0415887218840193,-0.0415887218840193,Fexofenadine MPO,best_from_chembl
NC(O)(O)c1ccc(OCCCN2CCC(C(O)(c3ccccc3)c3cccc(F)c3)CC2)cc1,Cc1cccc(C(O)(c2ccccc2)C2CCN(CCCOc3ccc(P(N)(=O)O)cc3)CC2)c1,O=C(OC1CCN(CCc2ccc([N+](=O)[O-])cc2)CC1)C(O)(c1ccccc1)c1ccccc1,O=C(OC1CCN(CCc2ccc([N+](=O)[O-])cc2)CC1)C(O)(c1ccccc1)c1ccccc1,0,1,1,0.9146433523702749,0.903773173489136,0.8143741530666495,0.8143741530666495,-0.10026919930362543,-0.08939902042248649,Fexofenadine MPO,smiles_ga
O=C(O)C(O)(CC(O)CCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1)c1ccc(O)cc1,O=C(NCCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1)c1ccc(C(O)C(=O)O)cc1,NC(=O)c1cc(OCCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)ccc1O,NC(=O)c1cc(OCCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)ccc1O,0,1,1,0.9385399003696718,0.9288810664765156,0.9256361326554682,0.9256361326554682,-0.012903767714203651,-0.003244933821047402,Fexofenadine MPO,smiles_lstm
O=C([O-])S(=O)(=O)c1ccc(C([O-])CCCN2CCC(C([O-])(c3ccccc3)c3ccccc3)CC2)cc1,O=C([O-])C(=O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,O=C(O)Cc1cccc(C(=O)NCCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)c1,O=C(O)Cc1cccc(C(=O)NCCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)c1,0,1,1,1.0,1.0,0.9209659172569208,0.9209659172569208,-0.07903408274307921,-0.07903408274307921,Fexofenadine MPO,graph_ga
CS(=O)(=O)Nc1cc(C(O)CNCCCCCCCCCN2CCC(OC(=O)Nc3ccc(F)cc3-c3ccc(O)c(Cl)c3)CC2)ccc1O,CS(=O)(=O)Nc1cc(C(O)CNCCCCCCCCCN2CCC(OC(=O)Nc3ccc(F)cc3-c3ccc(O)c(Cl)c3)CC2)ccc1O,O=C(O)CCCCCCCCCN1CCC(c2c[nH]c3ccc(NC(=O)c4ccc(F)cc4)cc23)CC1,O=C(O)CCCCCCCCCN1CCC(c2c[nH]c3ccc(NC(=O)c4ccc(F)cc4)cc23)CC1,1,1,0,0.8048339424820715,0.8048339424820715,0.7678829754169371,0.7678829754169371,-0.036950967065134455,-0.036950967065134455,Ranolazine MPO,best_from_chembl
Cc1cppc(F)c1NC(=O)IN1CCC(CC(O)COc2ccpcc2OO)CC1,,COc1ccc(C(=O)c2ccc(OCC(=O)N3CCC(CCCC4CCN(C(=O)Nc5ccc(F)cc5)CC4)CC3)cc2)c(OC)c1,COc1ccc(C(=O)c2ccc(OCC(=O)N3CCC(CCCC4CCN(C(=O)Nc5ccc(F)cc5)CC4)CC3)cc2)c(OC)c1,0,1,1,0.885232820270288,,0.7987544997199729,0.7987544997199729,-0.08647832055031512,,Ranolazine MPO,smiles_ga
CCCCCCCCCCCCOc1ccc(CNC(=O)CC(O)CCCCCCC(=O)Nc2ccccc2OC)cc1F,CCCCCCCCCCCCOc1ccc(CNC(=O)CC(O)CCCCCCC(=O)Nc2ccccc2OC)cc1F,CCCCCCCOc1ccc(OCCCCCCCCC(=O)Nc2ccc(OC(C)C(=O)O)c(F)c2)cc1OC,CCCCCCCOc1ccc(OCCCCCCCCC(=O)Nc2ccc(OC(C)C(=O)O)c(F)c2)cc1OC,1,1,0,0.8619134012042713,0.8619134012042713,0.8522784004575387,0.8522784004575387,-0.009635000746732625,-0.009635000746732625,Ranolazine MPO,smiles_lstm
Cc1cccc(CCCCCCCCC(O)COc2cccc(C)c2OO)c1NC(=O)OC=CF,,COc1ccccc1NC(=O)CCCCCCCCCCCCOc1ccc(F)c([N+](=O)[O-])c1OC,COc1ccccc1NC(=O)CCCCCCCCCCCCOc1ccc(F)c([N+](=O)[O-])c1OC,0,1,1,0.9102610339244503,,0.8675060545315889,0.8675060545315889,-0.042754979392861436,,Ranolazine MPO,graph_ga
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CC(Sc2ccccc2)CC1C(=O)O,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,CCOC(=O)c1nc2cc(C(=O)O)ccc2n1C1CCCCC1,CCOC(=O)c1nc2cc(C(=O)O)ccc2n1C1CCCCC1,0,1,1,0.607332247634187,0.6036611463901059,0.5091750772173156,0.5091750772173156,-0.09815717041687144,-0.09448606917279034,Perindopril MPO,best_from_chembl
