SMILES_before,SMILES_before_synth,SMILES_after,SMILES_after_synth,syn_before,syn_after,syn_changed,obj_before,obj_before_synth,obj_after,obj_after_synth,obj_changed,obj_changed_synth,property,method
COc1ccc(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1,COc1ccc(NC(=O)CN(C)CC(O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1,COc1ccccc1NC(=O)C(=O)NNC(=O)c1ccco1,COc1ccccc1NC(=O)C(=O)NNC(=O)c1ccco1,1,1,0,0.8555261858712448,0.8555261858712448,0.7936880926086217,0.7936880926086217,-0.06183809326262313,-0.06183809326262313,Osimertinib MPO,best_from_chembl
BN1CN(CC(N)=O)CN[IH]1(S)c1cc(OC)c(Nc2ncc3bbc(-c4bbccc4[SH](C)S(=C)(C)=O)p3n2)cn1,,COc1ccccc1NC(=O)C(=O)NNC(=O)c1ccco1,COc1ccccc1NC(=O)C(=O)NNC(=O)c1ccco1,0,1,1,0.8815847323010192,,0.7936880926086217,0.7936880926086217,-0.08789663969239747,,Osimertinib MPO,smiles_ga
COc1ccccc1NC(=O)Cn1c(=O)n(CCN(C)C)c(=O)c2cnc(Nc3ccc(N4CC(N)C4)cc3OC)nc21,COc1ccccc1NC(=O)Cn1c(=O)c2cnc(Nc3ccc(N4CCN(CCO)CC4)cc3OC)nc2n(C)c1=O,COc1ccc(NC(=O)CN(C)CC(=O)NC(=O)Cn2cnc3onc(-c4ccccc4)c3c2=O)c(OC)c1N,COc1cc(NC(=O)CN(C)CC(=O)NNC(=O)Cn2c3ccccc3c(=O)c3cccnc32)c(OC)cc1N,0,0,0,0.9080009041151254,0.905324083791158,0.8798604557579943,0.8798604557579943,-0.02814044835713103,-0.02546362803316371,Osimertinib MPO,smiles_lstm
COc1cc(N2CCN(C)CC2)c(NC(=O)C(N)n2c(=O)c3ccccc3n(C)c2=O)cc1Nc1ncccn1,COc1cc(N2CCN(C)CC2)c(NC(=O)Cn2c(=O)c3ccccc3n(C)c2=O)cc1Nc1nccc(C(N)=O)n1,COc1ccc(NC(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)C(=O)Nc2ccccc2Nc2ncccn2)c(OC)c1,COc1ccc(S(=O)(=O)n2c(C(=O)C(=O)NC(=O)C(=O)Cc3ncccn3)cc3ccccc32)c(OC)c1,0,0,0,0.95080752997384,0.9429038064652082,0.8597441913776945,0.8396597200880898,-0.09106333859614546,-0.10324408637711846,Osimertinib MPO,graph_ga
NS(=O)(=O)c1ccc(OCCCN2CCC(C(O)(c3cccc(F)c3)c3ccccn3)CC2)cc1,NS(=O)(=O)c1ccc(OCCCN2CCC(C(O)(c3cccc(F)c3)c3ccccn3)CC2)cc1,O=[N+]([O-])c1cccc(S(=O)(=O)N2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)c1,O=[N+]([O-])c1cccc(S(=O)(=O)N2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)c1,1,1,0,0.8559628749506688,0.8559628749506688,0.7702564206492882,0.7702564206492882,-0.08570645430138057,-0.08570645430138057,Fexofenadine MPO,best_from_chembl
NC(O)(O)c1ccc(OCCCN2CCC(C(O)(c3ccccc3)c3cccc(F)c3)CC2)cc1,Cc1cccc(C(O)(c2ccccc2)C2CCN(CCCOc3ccc(P(N)(=O)O)cc3)CC2)c1,O=[N+]([O-])c1cccc(S(=O)(=O)N2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)c1,O=[N+]([O-])c1cccc(S(=O)(=O)N2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)c1,0,1,1,0.9146433523702749,0.903773173489136,0.7702564206492882,0.7702564206492882,-0.1443869317209867,-0.13351675283984776,Fexofenadine MPO,smiles_ga
O=C(O)C(O)(CC(O)CCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1)c1ccc(O)cc1,O=C(NCCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1)c1ccc(C(O)C(=O)O)cc1,O=C(O)c1ccc(C(=O)NCCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,O=C(O)c1ccc(C(=O)NCCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0,1,1,0.9385399003696718,0.9288810664765156,0.9138739293935141,0.9138739293935141,-0.024665970976157747,-0.015007137083001498,Fexofenadine MPO,smiles_lstm
O=C([O-])S(=O)(=O)c1ccc(C([O-])CCCN2CCC(C([O-])(c3ccccc3)c3ccccc3)CC2)cc1,O=C([O-])C(=O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,O=C([O-])Oc1ccc(C([O-])CCCCCCC([O-])C([O-])(c2ccccc2)c2ccccc2)cc1,[O-]Oc1ccc(C(O)CCCCCCC(O)C(O)(c2ccccc2)c2ccccc2)cc1,0,0,0,1.0,1.0,0.943828437025768,0.916466158656157,-0.05617156297423198,-0.08353384134384301,Fexofenadine MPO,graph_ga
CS(=O)(=O)Nc1cc(C(O)CNCCCCCCCCCN2CCC(OC(=O)Nc3ccc(F)cc3-c3ccc(O)c(Cl)c3)CC2)ccc1O,CS(=O)(=O)Nc1cc(C(O)CNCCCCCCCCCN2CCC(OC(=O)Nc3ccc(F)cc3-c3ccc(O)c(Cl)c3)CC2)ccc1O,CCOC(=O)CCC(F)(C(=O)C=Cc1ccc(OC2CCCCO2)c(OC)c1)C(=O)C=Cc1ccc(OC2CCCCO2)c(OC)c1,COc1ccc(CNC(=O)CCCCCCCCCCCCCCCCCCC(=O)NCc2ccc(OC)c(O)c2)cc1O,1,0,-1,0.8048339424820715,0.8048339424820715,0.7312271456405306,0.7140341668211279,-0.07360679684154092,-0.09079977566094366,Ranolazine MPO,best_from_chembl
Cc1cppc(F)c1NC(=O)IN1CCC(CC(O)COc2ccpcc2OO)CC1,,CC(F)(Br)CC(=O)Oc1ccccc1NC(=O)CCCCCCC(=O)Nc1ccccc1NC(=O)OC(C)(C)C,,0,0,0,0.885232820270288,,0.7946877017588898,,-0.09054511851139824,,Ranolazine MPO,smiles_ga
