SMILES_before,SMILES_before_synth,SMILES_after,SMILES_after_synth,syn_before,syn_after,syn_changed,obj_before,obj_before_synth,obj_after,obj_after_synth,obj_changed,obj_changed_synth,property,method
COc1ccc(NC(=O)CN2CCN(c3ncccn3)CC2)cc1N,COc1ccc(NC(=O)CN2CCN(c3ncccn3)CC2)cc1N,COc1ccccc1OC1C(=O)N=C(c2ncccn2)NC1=O,COc1ccccc1OC1C(=O)N=C(c2ncccn2)NC1=O,1,1,0,0.838753264227513,0.838753264227513,0.8002714682359199,0.8002714682359199,-0.03848179599159307,-0.03848179599159307,Osimertinib MPO,best_from_chembl
Cn1pnc(-c2bc(BC(=O)Nc3ccccc3OP)no2)bc1=O,,CC(=O)Nc1ccccc1C(=O)OCC(O)Nc1ncccn1,COc1ccccc1NS(=O)(=O)c1cnc(N)nc1,0,0,0,0.8461731930663257,,0.8017923334723895,0.8017208037257441,-0.04438085959393612,,Osimertinib MPO,smiles_ga
COc1cc(OC)c(NC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)cc1N,COc1cc(OC)c(NC(=O)Cn2c(=O)n(C)c(=O)c3ccccc32)cc1N,COc1cc(OC)c(NC(=O)Cn2c(N)nc(=O)c3ccccc32)cc1N,COc1cc(OC)c(NC(=O)Cn2c(N)nc(=O)c3ccccc32)cc1N,1,1,0,0.8706443697359407,0.8706443697359407,0.8690697985545985,0.8690697985545985,-0.001574571181342188,-0.001574571181342188,Osimertinib MPO,smiles_lstm
COc1cc(OC)c(NC(=O)C(N)N2CCN(c3nccc(C(=O)n4c(=O)nc(C)c5ccccc54)n3)CC2)cc1N,COc1cc(OC)c(NC(=O)C(=O)Cn2c(=O)nc(N3CCN(C)CC3)c3ccccc32)cc1N,COc1ccccc1NC(=O)C(NC(O)C(O)Nc1ccccc1OC)C(O)Nc1ncccn1,COC(=O)C(Nc1ncccn1)C(=O)Nc1ccccc1OC,0,0,0,0.9071112036324318,0.9023157341522212,0.8510034220717925,0.8324090453532216,-0.056107781560639336,-0.06990668879899964,Osimertinib MPO,graph_ga
O=C(c1ccc(-c2ccccc2)[nH]c1=O)N1CCCC(O)(CO)CC1,O=C(c1ccc(-c2ccccc2)[nH]c1=O)N1CCCC(O)(CO)CC1,NC(=O)COC(=O)C(O)(c1ccccc1)c1ccccc1,NC(=O)COC(=O)C(O)(c1ccccc1)c1ccccc1,1,1,0,0.7049061438174437,0.7049061438174437,0.6612579430900661,0.6612579430900661,-0.04364820072737752,-0.04364820072737752,Fexofenadine MPO,best_from_chembl
NCc1ccccc1-c1ccccc1N(O)C1CCN(C(O)CO)CC1,N=C(N)CC1CCN(C(O)c2ccc(=O)n(-c3ccccc3)c2)CC1,NC(O)COC(O)C(O)(c1ccccc1)c1ccccc1,N#CC(c1ccccc1)N1CCN(C(O)c2ccc(C(N)=O)cc2)CC1,0,0,0,0.7556117896673612,0.7336339695500468,0.6786044041487267,0.6786044041487267,-0.07700738551863451,-0.05502956540132009,Fexofenadine MPO,smiles_ga
NC(=O)c1cc(C(O)CCC(=O)N2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)ccc1O,NC(=O)c1cc(C(O)CCC(=O)N2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)ccc1O,Nc1cccc(C(O)(c2ccccc2)N2CCN(CCC(O)C(O)c3ccccc3)CC2)c1,NC(=O)C(O)c1ccc(C(=O)N2CCCN(CCC(O)C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1,0,-1,0.9047081926258927,0.9047081926258927,0.9022532229294684,0.9003504699598116,-0.002454969696424336,-0.004357722666081143,Fexofenadine MPO,smiles_lstm
O=C(O)C(O)(C1=CCN(CCCC(O)(c2ccccc2)C(CO)c2ccccc2)CC1)c1ccccc1,,O=C(C(O)CCCCCCO)C(O)c1ccc(C(O)C(O)(CCCCCCO)c2ccccc2)cc1,,0,0,0,0.8980302811446619,,0.8447864921281698,,-0.05324378901649207,,Fexofenadine MPO,graph_ga
Cc1cccc(C)c1Oc1ccccc1NCc1nnc(C2CCC2)o1,Cc1cccc(C)c1Oc1ccccc1NCc1nnc(C2CCC2)o1,c1coc(-c2nc(-c3ccco3)c(-c3ccco3)nc2-c2ccco2)c1,Cc1noc(C)c1C(C)NC(=O)Nc1c(C(C)C)cccc1C(C)C,1,0,-1,0.33134741548520524,0.33134741548520524,0.3258209035539081,0.3154934933989144,-0.005526511931297162,-0.015853922086290828,Ranolazine MPO,best_from_chembl
Cc1pccc(F)c1NC(=O)IP1CCN(CP(O)COc2cccpc2OO)CC1,,N#CC1([PH](=O)Nc2ccc(N[PH](=N)OC(F)(Br)Br)cc2)CCCC1,,0,0,0,0.8753661858101229,,0.5446052233741346,,-0.3307609624359883,,Ranolazine MPO,smiles_ga
