SMILES,dataset,len_smiles,mean_complexity,sa_score,sc_score,tb_depth,tb_plausibility,tb_price,tb_synthesizability
CN(C)CCCN1c2ccccc2CCc2ccccc12,sheridan,29,1.938461538,1.9331,3.093,0,1.0,7.0,Synthesizable
CC(C)NC[C@@H](O)COc1ccc(CC(=O)N)cc1,sheridan,35,1.65,2.4358,3.471,0,1.0,24.0,Synthesizable
C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(c1)C(=O)N,sheridan,49,2.055555556,2.8086,3.7772,0,1.0,10.0,Synthesizable
Nc1ccc(cc1)S(=O)(=O)Nc1nccs1,sheridan,28,1.432432432,2.0317,2.3133,0,1.0,1.0,Synthesizable
CCC[C@@H](C)C1(CC=C)C(=O)NC(=S)NC1=O,sheridan,36,2.305555556,3.7121,2.5216,0,1.0,8.0,Synthesizable
CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12,sheridan,37,2.43902439,2.3344,3.8808,1,0.9979515671730042,83.0,Synthesizable
O1c2cc3CC[n+]4c(c3cc2OC1)cc1c(c4)c(OC)c(OC)cc1,sheridan,46,2.75,2.7871,3.1495,11,0.0,-1.0,Unsynthesizable
O1C(c2c(c3c1cc(CCCCC)cc3O)cc(cc2)C)(C)C,sheridan,39,2.111111111,2.4642,3.891,6,0.9113828424254484,15.0,Synthesizable
O(c1c2c(CC[C@@H](NC)c3c2ccc(OC)c(=O)c3)cc(OC)c1OC)C,sheridan,51,2.864864865,2.9351,3.451,2,0.8071415055343607,71.0,Synthesizable
O=C1C(C\C=C(\CC\C=C(\CC\C=C(\CC\C=C(\C)C)C)C)C)=C(C(=O)c2c1cccc2)C,sheridan,66,2.263157895,3.0333,3.1658,11,0.0,-1.0,Unsynthesizable
Brc1cc(C(OC[C@@H]2C[C@@]3(OC)[C@@H]([N@@](C2)C)Cc2c4c3cccc4n(c2)C)=O)cnc1,sheridan,73,3.615384615,4.0049,4.2804,11,0.0,-1.0,Unsynthesizable
O1[C@@H](n2c3ncnc(N(C)C)c3nc2)[C@H](O)[C@@H](N)[C@H]1CO,sheridan,55,3.3055555560000003,3.8925,3.6421,11,0.0,-1.0,Unsynthesizable
O1[C@@H]([C@@H](O)[C@H](O)[C@H](O)[C@@H]1Oc1c(C(=O)CCc2ccc(O)cc2)c(O)cc(O)c1)CO,sheridan,79,3.19047619,3.7847,2.7702,4,0.5270947993046695,4.0,Synthesizable
O(c1cc2c(nccc2cc1OC)Cc1cc(OC)c(OC)cc1)C,sheridan,39,1.8108108109999999,2.0340000000000003,3.1253,0,1.0,4.0,Synthesizable
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],sheridan,46,1.928571429,2.3597,2.4099,1,0.9989984631538392,4.0,Synthesizable
Cc1c(CCN2CCC(CC2)c2noc3cc(C)ccc23)c(=O)n2CCCCc2n1,sheridan,49,2.222222222,2.7097,4.9984,5,0.9984263942433041,30.0,Synthesizable
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,sheridan,32,1.8055555559999998,2.1145,3.0972,0,1.0,4.0,Synthesizable
O[C@@H]1[C@@H]([C@@H]2[C@H](C[N@@]3[C@@H](C2)c2[nH]c4c(c2CC3)cccc4)CC1)C(OC)=O,sheridan,78,3.87804878,3.8746,3.6737,11,0.0,-1.0,Unsynthesizable
O1[C@@H]([C@H]2[N@@](CCc3c2cc2OCOc2c3)C)c2c(C1=O)c1OCOc1cc2,sheridan,59,3.4324324319999997,3.5991,4.249,11,0.0,-1.0,Unsynthesizable
O(C(=O)[C@@H]1C([C@@H]1\C=C(\C)C)(C)C)[C@@H]1CC(=O)C(=C1C)CC=C,sheridan,62,2.794871795,4.1674,3.1710000000000003,5,0.06794468089853035,103.0,Synthesizable
CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc1ccccn1,sheridan,41,2.574468085,2.4417,3.4924,0,1.0,18.0,Synthesizable
COC12[C@H](C3=C(N2C[C@H]2[C@H]1N2)C(C(=C(C3=O)N)C)=O)COC(N)=O,sheridan,61,4.333333333,4.6003,3.8588,11,0.0,-1.0,Unsynthesizable
O1[C@@]2(O)[C@@H]3[C@@]4([C@@H]([C@@H]([C@H]2O)C)[C@@H](OC(=O)[C@@](O)(CC)C)C(O[C@@H]4C[C@@H]2[C@@]3([C@H](O)[C@@H](O)C=C2C)C)=O)C1,sheridan,131,4.404761905,6.7851,3.8186,11,0.0,-1.0,Unsynthesizable
