SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,len_smiles,dataset,method,sa_score,sc_score
O=C(CS(=O)(=O)c1cccs1)NC1CCc2ccccc21,1,3,0.9669911709078942,8.0,36,moses,aae,2.7194951528899907,2.824483286425216
Nc1c(C(=O)NCC(F)(F)F)nnn1-c1ccc(Cl)cc1,0,11,0.0,-1.0,38,moses,aae,2.307920543509093,2.8088373824780017
CCS(=O)(=O)N(C)C(C)c1ccccc1OC(F)F,1,3,0.2303020588896192,85.0,33,moses,aae,2.8800350913669526,2.9313662186942118
COC(=O)C(C)(C)NC(=O)c1sccc1OC,1,2,0.578832433810831,13.0,29,moses,aae,2.440469658763634,2.3184349039155574
COC(=O)c1[nH]c(C)cc1NC(=O)c1cnn(Cc2ccccc2)c1C,1,3,0.15207744909055632,78.0,45,moses,aae,2.3586334936786244,3.1492991247246853
O=C(Cc1csc(-c2cccs2)n1)NC(C1CC1)C1CC1,1,5,0.9612527522831958,112.0,37,moses,aae,2.519928235816783,3.4708589137724437
CCC(=O)c1cccc(NC(=O)Cc2cccc(OC)c2)c1,1,2,0.9065011991708688,17.0,36,moses,aae,1.705944697137129,2.6875884751454535
O=C(CCS(=O)(=O)c1ccccc1)N1CCCCC1,1,1,0.9975153207778932,11.0,32,moses,aae,1.7945694563450303,2.0764484692986462
CC(C)(C)OC(=O)N1CCCC(CNC(=O)CC2CCCCC2)C1,1,1,0.9999951124191284,17.0,40,moses,aae,2.615818079272179,2.91584680014813
Cc1S(=O)(=O)c1cccc(COC(=O)C2CCC2)c1,-1,11,-1.0,-1.0,35,moses,aae,0.0,1.1742103122535654
NC(C(=O)NCCCO)c1ccccc1C(F)(F)F,1,1,0.969085454940796,44.0,30,moses,aae,2.717297715801342,2.656322331615981
O=S(=O)(NC(=O)Cc1ccc[nH]1)c1ccc(F)c(C(F)(F)F)c1,1,2,0.8800067778601104,45.0,47,moses,aae,2.573146720864653,3.9422357772200387
O=C(CCCOC(=O)c1cccnc1)Nc1ccc(Cl)cn1,1,3,0.9411391108811936,7.0,35,moses,aae,2.024967313230711,2.817290253068931
COC(=O)c1cc(S(=O)(=O)NCC(C)O)c(C)n1C,1,2,0.9957861795701746,50.0,36,moses,aae,2.9668126109901873,2.9380017364381796
CCC(=O)c1cc(Cl)ccc1S(=O)(=O)CC(C)C,1,3,0.2620145699406297,3.0,34,moses,aae,2.2939640348298855,2.9550282155293246
O=C(NCc1cc(Cl)ccn1)Nc1cccc(C(=O)NCC2CC2)c1,1,2,0.9996589508561158,110.0,42,moses,aae,2.0858724712795684,3.915469305718574
COC(=O)C(C)(C)NS(=O)(=O)c1cccc(-n2cnnn2)c1,1,2,0.28803412623564384,95.0,42,moses,aae,2.5217102802636795,3.191285426410899
COCC(NC(=O)C(C)N1Cc2ccccc2C1=O)c1ccco1,0,11,0.0,-1.0,38,moses,aae,3.17380770871498,3.355144199296331
CC(=O)C(C)Cn1nnc(-c2ccccc2)n1,1,4,0.951574198559628,27.0,29,moses,aae,2.7142600373753005,2.955797108855182
O=C(NC1CCCCC1)N(Cc1ccncc1)CC1CCCCC1,1,2,0.9794276692366566,5.0,35,moses,aae,2.1903552308589234,3.2535848981260265
CC(=O)(=O)NC1CCN(C(=O)c2cnn3ccn(C)c23)CC1,-1,11,-1.0,-1.0,41,moses,aae,0.0,1.1742103122535654
COC(=O)C(NC(=O)C1(c2cccc(F)c2)CCCC1)C(C)C,1,1,0.999891757965088,76.0,41,moses,aae,2.7128296570800057,2.8344360426967254
CNC(=O)CN(C)S(=O)(=O)c1cccc2nonc12,1,4,0.9755561594722916,21.0,34,moses,aae,2.444539476068895,3.73626639253171
O=S(=O)(NC(C(F)(F)F)C(F)(F)F)c1ccccc1Cl,1,3,0.40026697431245,7.0,39,moses,aae,2.636022582721754,2.4353104959038143
Cc1c(S(C)(=O)=O)nc2ccc(Cl)cn2c1=O,0,11,0.0,-1.0,33,moses,aae,2.6668635049174796,3.4008949887320807
COC(=O)C(C)(C)NC(=O)CSc1nc2ccccc2o1,1,1,0.9985003471374512,100.0,35,moses,aae,2.322044416188138,2.482525221020477
COC(=O)CN(C(=O)C(C)CC)C(C)C,1,3,0.9669291787222152,60.0,27,moses,aae,2.730609469075503,2.4143116546713053
COC(=O)N(C)c1ccc(NC(=O)c2cc3c(F)cccc3s2)cc1,1,2,0.6486858840913463,118.0,43,moses,aae,2.1880255218909284,3.6543604025769705
CCC(=O)c1ccc2c(c1)N(CC(=O)OC)C(=O)C(C)(C)CO2,1,4,0.9574353625707752,13.0,44,moses,aae,2.4200216588299135,3.2417881812385048
O=C(NCCN1CCOCC1)N1CCC(c2c[nH]c3ncccc23)CC1,1,5,0.9981985431057986,7.0,42,moses,aae,2.4215010179351886,4.626734823474262
CCC(=O)N(C)c1ccc(OCc2cccc(C)c2)cc1,1,2,0.9975697103932076,80.0,34,moses,aae,1.841661091097098,2.8356030275067607
Cc1ccn(CC(=O)Nc2nc3ccc(F)cc3s2)c(=O)c1=O,-1,11,-1.0,-1.0,40,moses,aae,0.0,1.1742103122535654
COC(=O)c1c(C)[nH]c(C(=O)C(C)Sc2nnc(C3CC3)n2N)c1C,0,11,0.0,-1.0,48,moses,aae,3.0756725619754492,3.9627586633113134
O=C(C1CC=CCC1C(=O)N1CCCCC1)N1CCOCC1,1,2,0.9235590621207912,6.0,35,moses,aae,3.0758770656447503,2.672515688837432
Cc1cc(C(=O)OC(C)C(=O)NC2CCCCC2)c(C(C)C)n1,-1,11,-1.0,-1.0,41,moses,aae,0.0,1.1742103122535654
CCOC(=O)c1csc(NC(=O)c2ccc(OC)c(F)c2)n1,1,1,0.999995231628418,7.0,38,moses,aae,1.9485150343620425,2.764232603208062
NC(=O)C1(NCc2cc(=O)n3cc(Cl)ccc3n2)CCCCC1,1,5,0.4131299812165313,29.0,40,moses,aae,2.6807196546306393,3.671997855058012
CCOC(=O)N(C)c1ccc(NCc2cnc(C)s2)cc1,1,4,0.6648608595072496,75.0,34,moses,aae,2.317750530471285,3.579840012429461
Cc1c(=O)n(C)c2cc(NC(=O)c3cc(Cl)ccc3F)ccc21,-1,11,-1.0,-1.0,42,moses,aae,0.0,1.1742103122535654
CC(C)S(=O)(=O)c1ccccc1C(=O)Nc1ccc2c(c1)NC(=O)CS2,1,2,0.8870115347959207,100.0,48,moses,aae,2.3802006433098146,3.5425668604697034
COC(=O)CN(C(=O)CC1CCCC1)C(C)C,1,2,0.9945494225662016,10.0,29,moses,aae,2.20274383936564,2.922039838738079
O=S(=O)(CC(O)c1ccccc1F)c1ccccn1,1,2,0.8844221895094044,7.0,31,moses,aae,2.7530141334569382,2.147806273101839
O=S(=O)(Nc1cn[nH]c1)c1cccc(OC2CCCCC2)c1,1,4,0.8347019854289421,28.0,39,moses,aae,2.3380704725713723,3.7465986127678246
COC(=O)C(C(C)C)Cc1ccc(O)c(OC)c1,1,2,0.66347875405026,3.0,31,moses,aae,2.5183165738343494,2.6858862730086557
O=S(=O)(NC1CC1)c1cc(Br)ccc1Cl,1,1,0.9999896287918092,95.0,29,moses,aae,1.9595935034193026,2.43885975305734
CCS(=O)(=O)NCCNC(=O)c1c(O)cc(F)cc1F,1,2,0.9850702802722536,25.0,35,moses,aae,2.41335440206778,3.3546414042576216
NC(=O)C(Sc1ncn[nH]1)c1ccc(Cl)cc1,1,3,0.0930362598363684,94.0,32,moses,aae,2.8467504219906843,2.937206097243206
CCN(CC(=O)NC(C)(C)C)C(=O)Cc1cnccn1,1,2,0.9921292117189892,156.0,34,moses,aae,2.388102974878617,2.922367332819746
Cc1c(=O)[nH]cc(C(=O)N2CC=C(c3ccccc3)CC2)c1=O,-1,11,-1.0,-1.0,44,moses,aae,0.0,1.1742103122535654
Cc1cc(S(=O)(=O)Nc2ccccc2)c(=O)n(C)c1=O,-1,11,-1.0,-1.0,38,moses,aae,0.0,1.1742103122535654
CC(=O)(=O)N(CC(=O)NCc1ccccn1)c1ccc2c(c1)OCO2,-1,11,-1.0,-1.0,44,moses,aae,0.0,1.1742103122535654
NS(=O)(=O)NCc1ccccc1N1CCCCC1,1,1,0.9849457740783693,84.0,28,moses,aae,2.0570145210145387,3.396942548408748
cC(=O)(=O)CCNC(=O)CSc1cccc(C#N)c1,-1,11,-1.0,-1.0,33,moses,aae,0.0,1.1742103122535654
COC(=O)C(NC(=O)CC1C=CCC1)c1ccccc1,1,1,0.9935004115104676,20.0,33,moses,aae,2.955846439578176,2.410814219927187
