SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,property,len_smiles,method,rank,objective,dataset,type
O=C(CC(=O)NN=Cc1ccc(F)cc1)NN=Cc1ccc(F)cc1,1,1,0.9997361302375792,13.0,Sitagliptin MPO,41,best_from_chembl,1,0.43907692427221956,chembl,wc
Fc1cc(F)[nH]c(=NCc2ccc(CN=c3nc(F)cc(F)[nH]3)cc2)n1,0,11,0.0,-1.0,Sitagliptin MPO,50,best_from_chembl,2,0.3866652276313269,chembl,wc
CC1(C)SC2C(NC(=O)C(F)(F)F)C(=O)N2C1C(=O)OCc1ccccc1,1,7,0.15640159600991635,37.0,Sitagliptin MPO,50,best_from_chembl,3,0.3829471964682648,chembl,wc
CCOC(=O)C1C(c2ccc(C)cc2)NC(=S)NC1(O)C(F)(F)F,0,11,0.0,-1.0,Sitagliptin MPO,44,best_from_chembl,4,0.3620839823581379,chembl,wc
Cc1ccc(C(=O)NNC(=O)c2c(C)nc3ccccn23)cc1,1,1,0.999212384223938,54.0,Sitagliptin MPO,39,best_from_chembl,5,0.35452737193624917,chembl,wc
COc1ccc(OCC(=O)NCC(=O)Nc2c(F)cccc2F)cc1,1,2,0.9773038349871754,16.0,Sitagliptin MPO,39,best_from_chembl,6,0.3519033055912597,chembl,wc
CC(=NNC(=S)NN=C(C)c1ccccn1)c1ccccn1,1,2,0.36563495873528495,10.0,Sitagliptin MPO,35,best_from_chembl,7,0.35140115033399477,chembl,wc
O=C(CSCC(=O)NN=Cc1ccc(F)cc1)NN=Cc1ccc(F)cc1,1,2,0.9998379951051106,7.0,Sitagliptin MPO,43,best_from_chembl,8,0.3506175474640466,chembl,wc
O=C(NCc1ccncc1)C(F)(F)C(F)(F)C(=O)NCc1ccncc1,1,3,0.7604469400447544,12.0,Sitagliptin MPO,44,best_from_chembl,9,0.34681441725818773,chembl,wc
O=C(NCc1ccccn1)C(F)(F)C(F)(F)C(=O)NCc1ccccn1,1,3,0.7852524604608278,12.0,Sitagliptin MPO,44,best_from_chembl,10,0.34681441725818773,chembl,wc
O=S(=O)(c1c(F)cccc1F)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,1,3,0.9717076092067028,6.0,Sitagliptin MPO,52,best_from_chembl,11,0.34584106185525026,chembl,wc
N=C(NCCc1ccccc1)NS(=O)(=O)c1ccc(F)cc1,1,2,0.9997126586729904,4.0,Sitagliptin MPO,37,best_from_chembl,12,0.33883430128632713,chembl,wc
CCOc1ccc(NC(=S)NNC(=O)c2ccncc2)cc1,1,1,0.9999992847442628,7.0,Sitagliptin MPO,34,best_from_chembl,13,0.33875865923045545,chembl,wc
O=C(CSCC(=O)NN=Cc1ccccc1F)NN=Cc1ccccc1F,1,2,0.9998275063521193,7.0,Sitagliptin MPO,39,best_from_chembl,14,0.3343097074237974,chembl,wc
COc1ccc(C=CC(=O)NC(=S)NNC(=O)c2cccs2)cc1,1,7,0.0479147136095268,19.0,Sitagliptin MPO,40,best_from_chembl,15,0.33375657255739816,chembl,wc
Cc1ccc(S(=O)(=O)NNC(=O)C=Cc2cccc(F)c2)cc1,1,2,0.9921444611241484,19.0,Sitagliptin MPO,41,best_from_chembl,16,0.3298528522461471,chembl,wc
COc1ccc(C=CC(=O)NC(=S)NNC(=O)Cc2cccs2)cc1,1,7,0.04791591315129901,67.0,Sitagliptin MPO,41,best_from_chembl,17,0.32972295142385644,chembl,wc
O=C(NNC(=O)c1ccccc1-n1cccc1)c1cccnc1,1,1,0.999440848827362,22.0,Sitagliptin MPO,36,best_from_chembl,18,0.32898213072387483,chembl,wc
O=[N+]([O-])c1ccccc1C=NN1CCN(c2ccccn2)CC1,1,2,0.9927287701280036,7.0,Sitagliptin MPO,41,best_from_chembl,19,0.32493210673493633,chembl,wc
CCOC(=O)C(C=NNC(N)=S)c1ccc(C(F)(F)F)cc1,1,2,0.9725462003342678,18.0,Sitagliptin MPO,39,best_from_chembl,20,0.3242300622491699,chembl,wc
COC(=O)C(Cc1cccc(C(F)(F)F)c1)NC(=O)n1ccnc1,1,2,0.9040498655586332,68.0,Sitagliptin MPO,42,best_from_chembl,21,0.32074432808347514,chembl,wc
ON=Cc1cccc[n+]1-c1ccc(-[n+]2ccccc2C=NO)s1,0,11,0.0,-1.0,Sitagliptin MPO,41,best_from_chembl,22,0.3202894359588038,chembl,wc
ON=Cc1ccc[n+](-c2ccc(-[n+]3cccc(C=NO)c3)s2)c1,0,11,0.0,-1.0,Sitagliptin MPO,45,best_from_chembl,23,0.3202894359588038,chembl,wc
ON=Cc1cc[n+](-c2ccc(-[n+]3ccc(C=NO)cc3)s2)cc1,0,11,0.0,-1.0,Sitagliptin MPO,45,best_from_chembl,24,0.3202894359588038,chembl,wc
COc1ccc(C(=O)NC(=S)NNC(=O)c2ccccc2C)cc1,1,1,0.9999972581863404,29.0,Sitagliptin MPO,39,best_from_chembl,25,0.31982891881659176,chembl,wc
COc1ccc(C(=O)NC(=S)NNC(=O)c2ccc(C)cc2)cc1,1,1,0.9999754428863524,26.0,Sitagliptin MPO,41,best_from_chembl,26,0.31982891881659176,chembl,wc
COc1ccc(CN(C#N)c2nc(SC)nc(N(C)C)n2)cc1,1,4,0.624845813720874,6.0,Sitagliptin MPO,38,best_from_chembl,27,0.31950875062517037,chembl,wc
O=C(NNS(=O)(=O)c1ccccc1)c1ccccc1-n1cccc1,1,1,0.9999914169311525,22.0,Sitagliptin MPO,40,best_from_chembl,28,0.3173958867012068,chembl,wc
CC(CC(=O)Nc1ccc(Cl)cc1)=NNC(=O)C[n+]1ccccc1,1,1,0.7402209043502808,13.0,Sitagliptin MPO,43,best_from_chembl,29,0.3169753018964008,chembl,wc
NC(=O)N=C(NCc1ccccc1)NCc1ccccc1,1,3,0.9422067803464996,4.0,Sitagliptin MPO,31,best_from_chembl,30,0.3164938570259548,chembl,wc
O=S(=O)(c1ccc(F)cc1)N1CCN(S(=O)(=O)c2cc(F)ccc2F)CC1,1,1,0.9999969005584716,9.0,Sitagliptin MPO,51,best_from_chembl,31,0.3162025536167821,chembl,wc
COc1ccc(C(=O)NC(=S)NNC(=O)c2cccc(C)c2)cc1,1,1,0.9999991655349731,32.0,Sitagliptin MPO,41,best_from_chembl,32,0.3152949896853171,chembl,wc
CC(=O)NC(=S)NNC(=O)c1ccccc1OCc1ccccc1,1,2,0.9999318134425009,26.0,Sitagliptin MPO,37,best_from_chembl,33,0.31505596052572277,chembl,wc
O=C1NC2ON=C(c3ccccc3)C2C2ON=C(c3ccccc3)N12,0,11,0.0,-1.0,Sitagliptin MPO,42,best_from_chembl,34,0.314486583273385,chembl,wc
OCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1,1,2,0.979108642161762,6.0,Sitagliptin MPO,33,best_from_chembl,35,0.31204880063528956,chembl,wc
COc1cccc(OC)c1C(=O)NNC(=O)c1ccc(F)cc1,1,1,0.9923416376113892,13.0,Sitagliptin MPO,37,best_from_chembl,36,0.31125852316463515,chembl,wc
COc1ccc(C(=NNC(N)=S)c2cccc(C)n2)cc1,1,3,0.8010960467032296,9.0,Sitagliptin MPO,35,best_from_chembl,37,0.31076065685281173,chembl,wc
COc1ccc(CNC(=O)CSc2nnnn2-c2ccccc2)cc1,1,1,0.999918818473816,93.0,Sitagliptin MPO,37,best_from_chembl,38,0.31075032741685593,chembl,wc
O=C(NC(=S)NNC(=S)NN=Cc1ccccc1)c1ccccc1,1,2,0.8364714503963739,11.0,Sitagliptin MPO,38,best_from_chembl,39,0.30981600369539997,chembl,wc
