SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,property,len_smiles,method,rank,objective,dataset,type
CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,1,6,0.8661946387704347,101.0,Zaleplon MPO,48,best_from_chembl,1,0.5850564821770182,chembl,wo
CC(=O)N(Cc1c(C#N)c2ccccc2n1C)c1ccccc1,1,3,0.9645848480687518,43.0,Zaleplon MPO,37,best_from_chembl,2,0.5590625960767223,chembl,wo
CCN(C(=O)c1cnc2ccc(C)cn2c1=O)c1ccccc1,1,1,0.9999431371688844,91.0,Zaleplon MPO,37,best_from_chembl,3,0.5479333034257059,chembl,wo
Cc1cc(Nc2nccc(C)n2)cc(-c2cccc(C(=O)O)c2)c1,1,3,0.9994076962929412,27.0,Zaleplon MPO,42,best_from_chembl,4,0.5396870722208659,chembl,wo
COc1cccc(-c2ccnc(C(=O)Nc3cccc(C)n3)c2)c1,1,2,0.9985621207660672,10.0,Zaleplon MPO,40,best_from_chembl,5,0.5370861555295746,chembl,wo
CCC(=O)Nc1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,1,8,0.8661904051816082,50.0,Zaleplon MPO,46,best_from_chembl,6,0.5368776581264347,chembl,wo
COc1cccc(-c2ccnc3c(-c4ccccc4)c(C)nn23)c1,1,1,0.9999995231628418,53.0,Zaleplon MPO,40,best_from_chembl,7,0.5353090355834597,chembl,wo
COc1cccc(NC(=O)c2cnn3c(-c4ccccc4)ccnc23)c1,1,2,0.9999773502745484,58.0,Zaleplon MPO,42,best_from_chembl,8,0.5349293850471848,chembl,wo
CC(=O)N(Cc1ccc(-c2cnn(C)c2)cc1F)c1ccccc1,1,4,0.9996769091233496,40.0,Zaleplon MPO,40,best_from_chembl,9,0.5340265572447074,chembl,wo
CCN(C(=O)CSc1nccc(O)n1)c1cccc2ccccc12,1,2,0.9970402489287836,13.0,Zaleplon MPO,37,best_from_chembl,10,0.5327950473879101,chembl,wo
CCn1c(-c2ccc(C(N)=O)cc2)c(C#N)c2ccc(OC)cc21,1,5,0.9529834693541496,56.0,Zaleplon MPO,43,best_from_chembl,11,0.5306160552209596,chembl,wo
CN(C)c1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,1,5,0.9968623897531441,42.0,Zaleplon MPO,47,best_from_chembl,12,0.530414364153612,chembl,wo
CN(CCF)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,1,10,0.8660914868760303,129.0,Zaleplon MPO,45,best_from_chembl,13,0.5296521593516941,chembl,wo
Cc1c(O)cccc1NC(=O)c1cnn2c(-c3ccccc3)ccnc12,1,3,0.9995105369249876,31.0,Zaleplon MPO,42,best_from_chembl,14,0.5282004456759624,chembl,wo
Cn1c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cccc1=O,1,5,0.16229640743538198,103.0,Zaleplon MPO,41,best_from_chembl,15,0.5280588545286916,chembl,wo
COc1cccc(NC(=O)Cn2c(C)c(C#N)c3ccccc32)c1,1,2,0.9659177701205586,62.0,Zaleplon MPO,40,best_from_chembl,16,0.5280588545286916,chembl,wo
CC(=O)N(Cc1cc(O)nc2ccccc12)c1cccc(C)c1,1,2,0.9977527693411048,88.0,Zaleplon MPO,38,best_from_chembl,17,0.5277662991429691,chembl,wo
COc1ccccc1-c1ccnc(C(=O)Nc2cccc(C)n2)c1,1,2,0.9997780446038432,117.0,Zaleplon MPO,38,best_from_chembl,18,0.5255382728122436,chembl,wo
CCOC(=O)c1cccc(Nc2cc(-c3ccccc3)ncn2)c1,1,2,0.9983248479682914,8.0,Zaleplon MPO,38,best_from_chembl,19,0.5230534443633627,chembl,wo
CCOC(=O)c1cc(-c2cccnc2)nn1-c1ccccc1C,1,1,0.9990893602371216,66.0,Zaleplon MPO,36,best_from_chembl,20,0.5230430573109871,chembl,wo
Cc1cc(C(=O)O)cc(-c2ccc3c(c2)c(C#N)cn3C(C)C)n1,1,3,0.8585343860687711,49.0,Zaleplon MPO,45,best_from_chembl,21,0.521387245906701,chembl,wo
CN(C)C(=O)OC(c1cnccc1C#N)c1cccc2ccccc12,1,2,0.9971541254415968,66.0,Zaleplon MPO,39,best_from_chembl,22,0.5210926102791785,chembl,wo
CCN(C(=O)CSc1nc(-c2ccccc2)no1)c1ccccc1,1,7,0.6128523006808844,11.0,Zaleplon MPO,38,best_from_chembl,23,0.5193372251755369,chembl,wo
COC(=O)C1=C(C)NC(C)=C(C#N)C1c1ccnc2ccccc12,1,3,0.20483625685498372,20.0,Zaleplon MPO,42,best_from_chembl,24,0.5188745216627708,chembl,wo
CN(Cc1cccc(C#N)c1)C(=O)C1CC(c2cccc(F)c2)=NO1,1,3,0.9994123850842088,68.0,Zaleplon MPO,44,best_from_chembl,25,0.516858274385825,chembl,wo
CC1Cc2ccccc2N1C(=O)c1cc2cccnc2n(C)c1=O,1,4,0.9881184910686388,116.0,Zaleplon MPO,38,best_from_chembl,26,0.5163977794943222,chembl,wo
CC(=O)c1cccc(NC(=O)c2cnn(-c3ccccc3)c2C)c1,1,1,0.999982476234436,21.0,Zaleplon MPO,41,best_from_chembl,27,0.5163977794943222,chembl,wo
O=C(Nc1ccc(CO)cc1)c1cnn2c(-c3ccccc3)ccnc12,1,3,0.999770416170806,13.0,Zaleplon MPO,42,best_from_chembl,28,0.5162978691542235,chembl,wo
COc1ccccc1NC(=O)c1cnn2c(-c3ccccc3)ccnc12,1,2,0.9999713898214396,58.0,Zaleplon MPO,40,best_from_chembl,29,0.5162978691542235,chembl,wo
CCN(C(=O)c1c(-c2ccccc2Cl)noc1C)c1cccc(Cl)c1,1,2,0.7163489460945129,21.0,Zaleplon MPO,43,best_from_chembl,30,0.514668319344599,chembl,wo
C=CCNc1nc(-c2ccccc2)c(C(=O)OCC)cc1C#N,1,4,0.9962349501560896,42.0,Zaleplon MPO,37,best_from_chembl,31,0.5145377253179583,chembl,wo
CCN(C(=O)c1c(-c2ccccc2)noc1C)c1ccccc1,1,1,0.9988784193992616,3.0,Zaleplon MPO,37,best_from_chembl,32,0.5144319618950067,chembl,wo
CC(=O)Nc1cccc(-c2cc(O)cc(Nc3cccnc3)c2)c1,1,5,0.9815817871227752,43.0,Zaleplon MPO,40,best_from_chembl,33,0.5139561687500467,chembl,wo
CC(=O)c1cc(C#N)c(NCc2cc(-c3ccccc3)no2)nc1C,1,2,0.9981160768924724,127.0,Zaleplon MPO,42,best_from_chembl,34,0.5121638357747157,chembl,wo
CCc1cccc2c(C#N)cn(CC(=O)NCc3ccco3)c12,1,2,0.9862770552700582,68.0,Zaleplon MPO,37,best_from_chembl,35,0.5119841724574203,chembl,wo
CCOC(=O)c1cnn(-c2cccc3ncccc23)c1C1CC1,1,1,0.9962796568870544,79.0,Zaleplon MPO,37,best_from_chembl,36,0.5119841724574203,chembl,wo
CCNC(=O)c1ccc2c(c1)sc1nc(-c3cccc(OC)c3)cn12,1,6,0.8668460423562138,30.0,Zaleplon MPO,43,best_from_chembl,37,0.5117506938678975,chembl,wo
CCc1cccc(NC(=O)c2cccc(Oc3cccnc3)c2)n1,1,2,0.9982406024179618,29.0,Zaleplon MPO,37,best_from_chembl,38,0.5115488666693087,chembl,wo
CCOC(=O)C=Cc1cccc(Nc2cnc3ccccc3n2)c1,1,2,0.9995987673156606,22.0,Zaleplon MPO,36,best_from_chembl,39,0.5115488666693087,chembl,wo
COc1cccc(CC(=O)Nc2nc(-c3ccnc(C)c3)cs2)c1,1,2,0.999862432674604,115.0,Zaleplon MPO,40,best_from_chembl,40,0.5108921546316982,chembl,wo
Cc1nn(Cc2c(Cl)cccc2C#N)c2cc(CCC(=O)O)ccc12,1,5,0.9882122143339208,59.0,Zaleplon MPO,42,best_from_chembl,41,0.5084535146714031,chembl,wo
CCN(C(=O)COC(=O)c1cnccn1)c1cccc2ccccc12,1,2,0.9966727956062869,13.0,Zaleplon MPO,39,best_from_chembl,42,0.5080243269702821,chembl,wo
CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC,1,7,0.9742136724706704,5.0,Zaleplon MPO,39,best_from_chembl,43,0.5060494656733573,chembl,wo
CCOc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,1,5,0.9968782799581464,100.0,Zaleplon MPO,39,best_from_chembl,44,0.5060494656733573,chembl,wo
CCOC(=O)Cc1c(C)nc2c(-c3cccc(Br)c3)cnn2c1C,0,11,0.0,-1.0,Zaleplon MPO,41,best_from_chembl,45,0.5054949950325924,chembl,wo
Cc1cc(C#Cc2cn(-c3cccc(S(C)(=O)=O)c3)c(C)n2)ccn1,1,3,0.9991355003726242,38.0,Zaleplon MPO,47,best_from_chembl,46,0.5051943045904137,chembl,wo
COc1cccc(-c2cnc(N)c(-c3ccc(C(N)=O)cc3)c2)c1,1,2,0.9999225150521198,38.0,Zaleplon MPO,43,best_from_chembl,47,0.5046949386828399,chembl,wo
COc1ccc(Nc2nc3c(C)cccc3cc2C#N)c(OC)c1,1,1,0.999529242515564,54.0,Zaleplon MPO,37,best_from_chembl,48,0.5046949386828399,chembl,wo
COc1cc2ncc(C#N)c(Nc3ccc(C)cc3)c2cc1OC,1,3,0.9557792312697362,21.0,Zaleplon MPO,37,best_from_chembl,49,0.5046949386828399,chembl,wo
CN(C)CCN1C(=O)c2cccc3c2c(cc2ncccc23)C1=O,1,2,0.655188261438866,159.0,Zaleplon MPO,40,best_from_chembl,50,0.5046949386828399,chembl,wo
CN(C)CCN1C(=O)c2cccc3c2c(cc2cccnc23)C1=O,1,7,0.8180396839845585,8.0,Zaleplon MPO,40,best_from_chembl,51,0.5046949386828399,chembl,wo
COc1cccc(-c2ccnc3c(-c4ccc(F)cc4)c(C)nn23)c1,1,1,1.0,75.0,Zaleplon MPO,43,best_from_chembl,52,0.5041848179250141,chembl,wo
COc1cc2ncc(C#N)c(Nc3cccc(SC)c3)c2cc1OC,1,4,0.9990740728035692,10.0,Zaleplon MPO,38,best_from_chembl,53,0.5028500028245787,chembl,wo
COc1cccc(-c2cnc3c(NC(C)=O)cc(-c4ccsc4)cn23)c1,1,4,0.9989928228041628,62.0,Zaleplon MPO,45,best_from_chembl,54,0.5024994987822246,chembl,wo
O=C(Nc1cc2ccc(-c3cccnc3CO)cc2cn1)C1CC1,1,6,0.9760399155205044,144.0,Zaleplon MPO,38,best_from_chembl,55,0.5023310149673528,chembl,wo
Cc1ncccc1C(=O)Nc1cccc(Cn2ccccc2=O)c1,1,4,0.9640461587874921,18.0,Zaleplon MPO,36,best_from_chembl,56,0.5023310149673528,chembl,wo
Cc1cccc(C(=O)Nc2cccc(Oc3ccc(C)nc3)n2)c1,1,2,0.9997841732174636,8.0,Zaleplon MPO,39,best_from_chembl,57,0.5023310149673528,chembl,wo
Cc1cc(-c2ccccc2)nc(NCc2cccc(C(=O)O)c2)n1,1,1,0.9995239973068236,58.0,Zaleplon MPO,40,best_from_chembl,58,0.5023310149673528,chembl,wo
COc1ccccc1-c1cncc(C(=O)Nc2cccc(C)n2)c1,1,2,0.9999916553635018,38.0,Zaleplon MPO,38,best_from_chembl,59,0.5023310149673528,chembl,wo
