SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,property,len_smiles,method,rank,objective,dataset,type
CCN(C(=O)c1cnc2ccccn2c1=O)c1cccc(C)c1,1,2,0.9963243621230902,15.0,Zaleplon MPO,37,best_from_chembl,1,0.5813583551993192,moses,wa
COc1ccc2c(ccn2CC(=O)N(C)c2cccc(C#N)c2)c1,1,2,0.996511264995874,71.0,Zaleplon MPO,40,best_from_chembl,2,0.5628780357842335,moses,wa
CCN(C(=O)Cc1cccc(OCC#N)c1)c1ccc(C#N)cc1,1,2,0.9996224998057991,59.0,Zaleplon MPO,39,best_from_chembl,3,0.5628780357842335,moses,wa
COc1cccc(-c2ccnc3c(C(=O)N4CCCC4)cnn23)c1,1,3,0.9974136570864196,10.0,Zaleplon MPO,40,best_from_chembl,4,0.5613776888755795,moses,wa
Cc1cccc(N(C)C(=O)Cn2cc(C#N)c3ccccc32)c1,1,2,0.999610917403274,20.0,Zaleplon MPO,39,best_from_chembl,5,0.5590625960767223,moses,wa
CC(=O)N(Cc1c(C#N)c2ccccc2n1C)c1ccccc1,1,3,0.9645848480687518,43.0,Zaleplon MPO,37,best_from_chembl,6,0.5590625960767223,moses,wa
CCN(C(=O)c1nccc2ccccc12)c1ccc(OC)nc1,1,2,0.9869713389671588,5.0,Zaleplon MPO,36,best_from_chembl,7,0.5561733643525362,moses,wa
CCN(C(=O)Cn1cc(C#N)c2ccccc21)c1ccccc1,1,2,0.9901711948127456,16.0,Zaleplon MPO,37,best_from_chembl,8,0.5561733643525362,moses,wa
CCN(C(=O)c1cnn(-c2ccccn2)c1C)c1cccc(F)c1,1,4,0.945140387611034,57.0,Zaleplon MPO,40,best_from_chembl,9,0.5544012546287248,moses,wa
CCN(C(=O)c1cnn2c(-c3ccccc3)ccnc12)C1CC1,1,3,0.9367451104406176,60.0,Zaleplon MPO,39,best_from_chembl,10,0.5526011409432586,moses,wa
