SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,property,len_smiles,method,rank,objective,dataset,type
COc1ncccc1CNC(=O)c1cccnc1OCC(F)F,1,2,0.9688911985331156,47.0,Sitagliptin MPO,32,best_from_chembl,1,0.3828519720952446,moses,wc
O=C(CNC(=O)NCc1ccc(F)cc1)NCc1ccc(F)cc1,1,3,0.9961014739352692,7.0,Sitagliptin MPO,38,best_from_chembl,2,0.37675852760699513,moses,wc
Cc1ccc(S(=O)(=O)NCc2cn(-c3ccccc3)nn2)cc1,1,2,0.9989942373128784,80.0,Sitagliptin MPO,40,best_from_chembl,3,0.3653437988472176,moses,wc
O=C(Cn1cnnn1)Nc1c(F)cccc1OCc1ccccc1,1,3,0.9924418495326168,45.0,Sitagliptin MPO,35,best_from_chembl,4,0.35703756874105624,moses,wc
CC(C)(C)NS(=O)(=O)c1ccc(C(=O)NCC(F)(F)F)cc1,1,2,0.9984797047053284,75.0,Sitagliptin MPO,43,best_from_chembl,5,0.35525941998166677,moses,wc
CCOC(=O)C1=C(CNc2cc(F)ccc2F)NC(=O)NC1C,0,11,0.0,-1.0,Sitagliptin MPO,38,best_from_chembl,6,0.3535706328819001,moses,wc
CCOC(=O)C1=C(C)NC(=O)NC1CNc1c(F)cccc1F,1,6,0.29765845213083664,95.0,Sitagliptin MPO,38,best_from_chembl,7,0.3535706328819001,moses,wc
O=C(NCCNC(=O)c1cccnc1)Nc1ccc(F)c(F)c1F,1,2,0.9994826411875692,81.0,Sitagliptin MPO,38,best_from_chembl,8,0.35354386120887427,moses,wc
CCOC(=O)C1C(c2ccccc2)NC(=O)N(C)C1(O)C(F)(F)F,0,11,0.0,-1.0,Sitagliptin MPO,44,best_from_chembl,9,0.3527832105008015,moses,wc
CC(=O)Nc1ccc(C#CCNS(=O)(=O)c2ccc(F)cc2)cc1,1,2,0.9999697210421488,49.0,Sitagliptin MPO,42,best_from_chembl,10,0.35128591100751494,moses,wc
CC(=O)Nc1ccc(S(=O)(=O)NCC#Cc2ccc(F)cc2)cc1,1,2,0.9997512721804824,8.0,Sitagliptin MPO,42,best_from_chembl,11,0.3512859110075148,moses,wc
N#CCCN(CCC#N)C(=O)CNc1cc(F)ccc1F,1,2,0.9966497555400836,5.0,Sitagliptin MPO,32,best_from_chembl,12,0.34515083168903715,moses,wc
N#CCCN(CCC#N)C(=O)CNc1c(F)cccc1F,1,2,0.6951294500171129,5.0,Sitagliptin MPO,32,best_from_chembl,13,0.34515083168903715,moses,wc
CC(=O)Nc1ccc(C#CCNS(=O)(=O)c2ccccc2F)cc1,1,3,0.9999258528664652,11.0,Sitagliptin MPO,40,best_from_chembl,14,0.34429176282581575,moses,wc
CC(=O)Nc1ccc(S(=O)(=O)NCC#Cc2ccccc2F)cc1,1,2,0.9997366129398556,7.0,Sitagliptin MPO,40,best_from_chembl,15,0.34429176282581553,moses,wc
Cc1ccc(F)cc1NCC(=O)N(CCC#N)CCC#N,1,2,0.8306082126026837,5.0,Sitagliptin MPO,32,best_from_chembl,16,0.343245582476963,moses,wc
Cc1cc(F)ccc1NCC(=O)N(CCC#N)CCC#N,1,2,0.9979111791676588,5.0,Sitagliptin MPO,32,best_from_chembl,17,0.343245582476963,moses,wc
Cc1c(F)cccc1NCC(=O)N(CCC#N)CCC#N,1,2,0.9952143011046388,6.0,Sitagliptin MPO,32,best_from_chembl,18,0.343245582476963,moses,wc
CN(Cc1ccco1)C(=O)CSc1nnnn1-c1ccccc1,1,3,0.9054655530969771,49.0,Sitagliptin MPO,35,best_from_chembl,19,0.34319833581193465,moses,wc
CCNS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)cc2)cc1,1,2,0.9936349489509056,74.0,Sitagliptin MPO,40,best_from_chembl,20,0.3420200605877215,moses,wc
Cc1ccc(O)c(C(=O)NCCNC(=O)c2c(F)cccc2F)c1,1,1,0.9996424913406372,6.0,Sitagliptin MPO,40,best_from_chembl,21,0.33793419911581996,moses,wc
CC(=O)NCc1ccc(S(=O)(=O)NCc2ccc(F)cc2)cc1,1,2,0.4969470412303636,6.0,Sitagliptin MPO,40,best_from_chembl,22,0.337341372369968,moses,wc
CC(Nc1ncccc1C#N)C(=O)NCc1ccccc1,1,2,0.9880811548516492,4.0,Sitagliptin MPO,31,best_from_chembl,23,0.3369224587225316,moses,wc
O=C(NCCNC(=O)c1cccnc1)Nc1cc(F)ccc1F,1,2,0.9978505161622592,46.0,Sitagliptin MPO,35,best_from_chembl,24,0.33578608767204415,moses,wc
Cc1ccc(NCC(=O)N(CCC#N)CCC#N)c(F)c1,1,2,0.9972169155931,7.0,Sitagliptin MPO,34,best_from_chembl,25,0.33448561642735836,moses,wc
Cc1ccc(F)c(OCC(=O)N(CCC#N)CCC#N)c1,1,2,0.994483885491654,9.0,Sitagliptin MPO,34,best_from_chembl,26,0.3339049167894864,moses,wc
O=C(NCCNC(=O)c1cccnc1)c1ccc(C(F)(F)F)cc1,1,2,0.9793536836276644,6.0,Sitagliptin MPO,40,best_from_chembl,27,0.33327394764076446,moses,wc
CNS(=O)(=O)c1ccc(CNC(=O)c2cc(F)ccc2C)cc1,1,3,0.6610934843417966,16.0,Sitagliptin MPO,40,best_from_chembl,28,0.33271575403661013,moses,wc
O=S(=O)(Cc1ccccc1)NCc1ccc(Cn2cncn2)cc1,1,5,0.9774090254320402,7.0,Sitagliptin MPO,38,best_from_chembl,29,0.33158908832857514,moses,wc
N#Cc1ccc(C(=O)NCCNC(=O)c2c(F)cccc2F)cc1,1,1,0.9999948740005492,12.0,Sitagliptin MPO,39,best_from_chembl,30,0.3288489283842069,moses,wc
N#CCCN(CCC#N)C(=O)CNc1ccc(F)c(F)c1F,1,2,0.9979236712720764,4.0,Sitagliptin MPO,35,best_from_chembl,31,0.3275874493492709,moses,wc
COC(=O)C(c1cccc(C#N)c1)N1CCC(O)(C(F)(F)F)CC1,1,3,0.974819742942975,55.0,Sitagliptin MPO,44,best_from_chembl,32,0.3275687375058793,moses,wc
O=c1[nH]nc(CNC(c2ccccc2)c2ccccc2)[nH]1,1,1,0.8471036553382874,25.0,Sitagliptin MPO,38,best_from_chembl,33,0.32611942079778183,moses,wc
CCOC(=O)CN(C(=O)c1cnc(C)cn1)c1ccc(F)cc1,1,2,0.907376335921029,4.0,Sitagliptin MPO,39,best_from_chembl,34,0.3253224656151199,moses,wc
COc1ccc(N(Cc2ccccc2)C(=O)Cn2cnnn2)cc1,1,1,0.9415125846862792,67.0,Sitagliptin MPO,37,best_from_chembl,35,0.3251596587994025,moses,wc
O=C(CSc1nnnn1-c1ccccc1)NCc1ccccc1,1,1,0.9999797344207764,49.0,Sitagliptin MPO,33,best_from_chembl,36,0.3234952724885743,moses,wc
Cc1ccc(F)cc1C(=O)NCCNC(=O)c1ccccc1O,1,2,0.991236717596422,14.0,Sitagliptin MPO,35,best_from_chembl,37,0.3219787161345671,moses,wc
Cc1ccc(F)cc1C(=O)NCCNC(=O)c1ccc(O)cc1,1,1,0.9996511936187744,6.0,Sitagliptin MPO,37,best_from_chembl,38,0.3219787161345671,moses,wc
Cc1ccc(S(=O)(=O)NCC(=O)Nc2ccc(F)cc2)cc1,1,1,0.9983383417129515,7.0,Sitagliptin MPO,39,best_from_chembl,39,0.3215475160844831,moses,wc
NC(=O)CCN(c1ccccc1)S(=O)(=O)c1cccc(F)c1F,1,2,0.9842726510667889,100.0,Sitagliptin MPO,40,best_from_chembl,40,0.3211020635947397,moses,wc
O=C(CSc1nnnn1-c1ccccc1)NCCc1ccccc1,1,1,0.9999197721481324,44.0,Sitagliptin MPO,34,best_from_chembl,41,0.3207914180299251,moses,wc
COc1ccc(CC(=O)OCc2nnnn2-c2ccccc2)cc1,1,3,0.35618275086990875,2.0,Sitagliptin MPO,36,best_from_chembl,42,0.3199547609102077,moses,wc
OC(CNc1ccc(F)cc1)CSc1nnnn1-c1ccccc1,1,3,0.9081725265026804,5.0,Sitagliptin MPO,35,best_from_chembl,43,0.31911452840380444,moses,wc
O=C(NCc1ccccc1Cn1cccn1)c1cccnc1O,1,2,0.9612436842377434,97.0,Sitagliptin MPO,32,best_from_chembl,44,0.3189853586594845,moses,wc
N#Cc1cccnc1N1CCCN(c2ncccc2C#N)CC1,1,2,0.9763745349289366,4.0,Sitagliptin MPO,33,best_from_chembl,45,0.3174458191303634,moses,wc
N#Cc1ccc(COC(=O)CNC(=O)Cc2cccc(F)c2)cc1,1,2,0.9953796443617192,20.0,Sitagliptin MPO,39,best_from_chembl,46,0.3172916175550937,moses,wc
N#CCCN(CCC#N)C(=O)CNc1ccc(F)cc1,1,1,0.9982838034629822,24.0,Sitagliptin MPO,31,best_from_chembl,47,0.3165281405350133,moses,wc
CCOC(=O)CN(C(=O)c1cnc(C)cn1)c1ccccc1F,1,2,0.989363837994502,4.0,Sitagliptin MPO,37,best_from_chembl,48,0.3163029152678279,moses,wc
Cc1ccc(S(=O)(=O)NCC(=O)Nc2ccccc2F)cc1,1,1,0.9963794350624084,7.0,Sitagliptin MPO,37,best_from_chembl,49,0.31449113547266627,moses,wc
Cc1ccc(S(=O)(=O)NCC(=O)Nc2cccc(F)c2)cc1,1,1,0.9980232715606691,84.0,Sitagliptin MPO,39,best_from_chembl,50,0.31449113547266627,moses,wc
NC(=O)CCN(Cc1ccccc1)S(=O)(=O)c1ccc(F)cc1,1,1,0.9930826425552368,23.0,Sitagliptin MPO,40,best_from_chembl,51,0.31345074540430606,moses,wc
CC(C)(CNC(=O)c1ccnc(F)c1)CNC(=O)c1ccnc(F)c1,1,1,0.9999985694885254,21.0,Sitagliptin MPO,43,best_from_chembl,52,0.3128413410432762,moses,wc
Cc1ccc(C(=O)NCCNS(=O)(=O)c2ccc(F)cc2)cc1,1,2,0.9996472268195687,5.0,Sitagliptin MPO,40,best_from_chembl,53,0.31248016558420955,moses,wc
Cc1ccc(S(=O)(=O)NCCNC(=O)c2ccc(F)cc2)cc1,1,1,0.99996018409729,87.0,Sitagliptin MPO,40,best_from_chembl,54,0.3124801655842094,moses,wc
Cc1ncccc1C(=O)NCCNC(=O)c1c(F)cccc1F,1,2,0.9910736893732092,9.0,Sitagliptin MPO,35,best_from_chembl,55,0.3122517969757019,moses,wc
Cc1ccc(C(=O)NCCNC(=O)c2ccc(C#N)cc2)cc1F,1,1,0.999963402748108,6.0,Sitagliptin MPO,39,best_from_chembl,56,0.31147822567664285,moses,wc
Nn1c(COc2ccccc2)nnc1COc1ccccc1,1,1,0.9995284080505372,2.0,Sitagliptin MPO,30,best_from_chembl,57,0.31119602430347604,moses,wc
COc1cc(C)ccc1OC(=O)Cc1ccc(-n2cnnn2)cc1,1,1,0.995519518852234,61.0,Sitagliptin MPO,38,best_from_chembl,58,0.31054806319894684,moses,wc
Cn1nnc(NC(=O)c2ccc(OCc3ccccc3)cc2)n1,1,1,0.999515414237976,61.0,Sitagliptin MPO,36,best_from_chembl,59,0.31043944304525584,moses,wc
CCOC(=O)CN(Cc1ccc(F)cc1)C(=O)c1ccnnc1,1,2,0.9946390612100088,24.0,Sitagliptin MPO,37,best_from_chembl,60,0.3100959535806386,moses,wc
