SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,property,len_smiles,method,rank,objective,dataset,type
C#Cc1cccc(N(CC)C(=O)c2cnc3ccc(C)cn23)c1,1,4,0.9953112697787956,25.0,Zaleplon MPO,39,best_from_chembl,1,0.5925376935120508,moses,wo
CCN(C(=O)c1cnc2ccccn2c1=O)c1cccc(C)c1,1,2,0.9963243621230902,15.0,Zaleplon MPO,37,best_from_chembl,2,0.5813583551993192,moses,wo
N#CCC1(COC(=O)c2cnn3c(-c4ccccc4)ccnc23)CC1,1,4,0.9843799417518796,113.0,Zaleplon MPO,42,best_from_chembl,3,0.5810515718112484,moses,wo
COc1ccc2c(ccn2CC(=O)N(C)c2cccc(C#N)c2)c1,1,2,0.996511264995874,71.0,Zaleplon MPO,40,best_from_chembl,4,0.5628780357842335,moses,wo
CCN(C(=O)Cc1cccc(OCC#N)c1)c1ccc(C#N)cc1,1,2,0.9996224998057991,59.0,Zaleplon MPO,39,best_from_chembl,5,0.5628780357842335,moses,wo
COc1cccc(-c2ccnc3c(C(=O)N4CCCC4)cnn23)c1,1,2,0.9998544455610556,102.0,Zaleplon MPO,40,best_from_chembl,6,0.5613776888755795,moses,wo
Cc1cccc(N(C)C(=O)Cn2cc(C#N)c3ccccc32)c1,1,2,0.9984874650575079,21.0,Zaleplon MPO,39,best_from_chembl,7,0.5590625960767223,moses,wo
CC(=O)N(Cc1c(C#N)c2ccccc2n1C)c1ccccc1,1,3,0.9645848480687518,43.0,Zaleplon MPO,37,best_from_chembl,8,0.5590625960767223,moses,wo
CCN(C(=O)c1nccc2ccccc12)c1ccc(OC)nc1,1,2,0.9032038089031148,9.0,Zaleplon MPO,36,best_from_chembl,9,0.5561733643525362,moses,wo
CCN(C(=O)Cn1cc(C#N)c2ccccc21)c1ccccc1,1,2,0.9901711948127456,16.0,Zaleplon MPO,37,best_from_chembl,10,0.5561733643525362,moses,wo
