SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,property,len_smiles,dataset,type,method,rank,objective
c1ccc2c(c1)nc(CN1CCOCC1)n1c3ccccc3nc21,1,4,0.8993534820557705,79.0,CNS MPO,38,chembl,wa,best_from_chembl,1,1.0
c1ccc(-c2nnc(-c3ccccn3)nc2-c2ccccc2)cc1,1,0,1.0,21.0,CNS MPO,39,chembl,wa,best_from_chembl,2,1.0
c1ccc(-c2nc(Cn3cncn3)no2)cc1,1,1,1.0,101.0,CNS MPO,28,chembl,wa,best_from_chembl,3,1.0
O=c1cc(Cn2ccnc2)c2ccc(OCc3ccccc3)cc2o1,1,2,0.9329896857968548,82.0,CNS MPO,38,chembl,wa,best_from_chembl,4,1.0
O=c1c2cc3c(cc2ncn1Cc1ccc(-c2ccccc2)cc1)OCO3,1,4,0.6559745579555478,14.0,CNS MPO,43,chembl,wa,best_from_chembl,5,1.0
O=[N+]([O-])c1cccc(COc2ccccc2CN2CCCCC2)c1,1,1,0.9986059069633484,82.0,CNS MPO,41,chembl,wa,best_from_chembl,6,1.0
O=S(=O)(CCn1nnc(-c2ccccc2Cl)n1)c1ccccc1,1,2,0.9943024813573088,57.0,CNS MPO,39,chembl,wa,best_from_chembl,7,1.0
O=S(=O)(C=Cc1ccccc1)N1CCN(c2ccc(F)cc2)CC1,1,1,0.4321287274360657,92.0,CNS MPO,41,chembl,wa,best_from_chembl,8,1.0
O=C1c2cccnc2C(=O)c2ncccc21,1,2,0.8000296138032894,68.0,CNS MPO,26,chembl,wa,best_from_chembl,9,1.0
O=C1c2cccnc2C(=O)N1Cc1ccc(F)cc1,1,1,0.9955517649650574,3.0,CNS MPO,31,chembl,wa,best_from_chembl,10,1.0
O=C1c2ccccc2C(=O)N1CCCOc1ccc(Cl)c(Cl)c1,1,1,0.9985257983207704,4.0,CNS MPO,39,chembl,wa,best_from_chembl,11,1.0
O=C1COc2ccccc2N1CCCn1cc(-c2ccccc2)nn1,1,2,0.9265870283315536,6.0,CNS MPO,37,chembl,wa,best_from_chembl,12,1.0
O=C(c1nc2ccccc2s1)N1CCN(c2ccncc2)CC1,1,1,0.9999986886978148,102.0,CNS MPO,36,chembl,wa,best_from_chembl,13,1.0
O=C(c1ccccc1)N1CCN(C(=O)c2ccncc2)CC1,1,1,0.491316944360733,12.0,CNS MPO,36,chembl,wa,best_from_chembl,14,1.0
O=C(c1ccc(Cl)cc1)C1CCN(C(=O)N2CCOCC2)CC1,1,1,0.9990936517715454,46.0,CNS MPO,40,chembl,wa,best_from_chembl,15,1.0
O=C(c1cc2ccccc2oc1=O)N1CCN(c2ccc(F)cc2)CC1,1,1,0.9998838901519777,5.0,CNS MPO,42,chembl,wa,best_from_chembl,16,1.0
O=C(c1cc(F)ccc1Br)N1CCN(C(=O)C2CC2)CC1,1,1,0.9998874664306641,34.0,CNS MPO,38,chembl,wa,best_from_chembl,17,1.0
O=C(OCn1nnc2ccccc2c1=O)c1ccc2ccccc2n1,1,2,0.9844046923068106,35.0,CNS MPO,37,chembl,wa,best_from_chembl,18,1.0
O=C(OCc1ccccc1)n1cc2ccccc2n1,1,1,0.999988317489624,3.0,CNS MPO,28,chembl,wa,best_from_chembl,19,1.0
O=C(N1CCN(Cc2ccc3ccccc3c2)CC1)n1cccn1,1,2,0.9999525552573374,34.0,CNS MPO,37,chembl,wa,best_from_chembl,20,1.0
O=C(COc1ccc(Cl)c2cccnc12)N1CCOCC1,1,1,0.9996156692504884,66.0,CNS MPO,33,chembl,wa,best_from_chembl,21,1.0
O=C(C1CCCC1)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,1,1,0.9999939203262328,77.0,CNS MPO,43,chembl,wa,best_from_chembl,22,1.0
N#Cc1ccccc1C=NN1CCN(c2ccccc2)CC1,1,2,0.9934366665148388,5.0,CNS MPO,32,chembl,wa,best_from_chembl,23,1.0
N#CCn1c(-c2ccccc2)nc2ccccc2c1=O,1,2,0.9981816986873396,12.0,CNS MPO,31,chembl,wa,best_from_chembl,24,1.0
Cn1nnnc1SCC(=O)N1CCc2ccccc2C1,1,2,0.6987610444178216,6.0,CNS MPO,29,chembl,wa,best_from_chembl,25,1.0
Cn1nc(OCc2ccccc2)c2cc([N+](=O)[O-])ccc21,1,2,0.9951654045737792,90.0,CNS MPO,40,chembl,wa,best_from_chembl,26,1.0
Cn1nc(-c2ccccc2)c2nc3ccccc3nc21,1,6,0.03378704244978551,33.0,CNS MPO,31,chembl,wa,best_from_chembl,27,1.0
Clc1ccccc1OCc1nc(-c2ccccn2)no1,1,1,0.998844027519226,91.0,CNS MPO,30,chembl,wa,best_from_chembl,28,1.0
Clc1ccc(CSc2nncn2-c2ccccn2)cc1,0,11,0.0,-1.0,CNS MPO,30,chembl,wa,best_from_chembl,29,1.0
Cc1nn(CCOc2ccccc2)c(=O)n1-c1ccc(F)cc1,1,3,0.9976409895436416,6.0,CNS MPO,37,chembl,wa,best_from_chembl,30,1.0
Cc1nc2ccccc2c(=O)n1CCCn1ccnc1,1,1,0.9639090895652772,91.0,CNS MPO,29,chembl,wa,best_from_chembl,31,1.0
Cc1ccccc1C(=O)N1CCC(N2C(=O)CCc3ccccc32)CC1,1,5,0.9912755656678864,7.0,CNS MPO,42,chembl,wa,best_from_chembl,32,1.0
Cc1cccc(OC2CN(C(=O)c3cnn(C)c3)C2)c1,1,1,0.9999836683273317,69.0,CNS MPO,35,chembl,wa,best_from_chembl,33,1.0
Cc1cccc(C(=O)N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)c1,1,1,0.9999920129776,4.0,CNS MPO,48,chembl,wa,best_from_chembl,34,1.0
Cc1ccc2c(CC(=O)N3CCOCC3)coc2c1,1,1,0.9998823404312134,90.0,CNS MPO,30,chembl,wa,best_from_chembl,35,1.0
Cc1ccc(-n2nnnc2CCl)cc1,1,1,0.9987779259681702,66.0,CNS MPO,22,chembl,wa,best_from_chembl,36,1.0
Cc1ccc(-n2nncc2-c2ccccn2)cc1,0,11,0.0,-1.0,CNS MPO,28,chembl,wa,best_from_chembl,37,1.0
