SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,property,len_smiles,dataset,type,method,rank,objective
Oc1nc(O)c2c(n1)CCC2,1,0,1.0,49.0,C7H8N2O2,19,chembl,wc,best_from_chembl,1,1.0
O=C(O)c1n[nH]c2c1CCC2,1,0,1.0,37.0,C7H8N2O2,21,chembl,wc,best_from_chembl,2,1.0
O=C(O)c1cc(C2CC2)n[nH]1,1,0,1.0,27.0,C7H8N2O2,23,chembl,wc,best_from_chembl,3,1.0
O=C(NO)Nc1ccccc1,1,1,0.9998095631599426,1.0,C7H8N2O2,16,chembl,wc,best_from_chembl,4,1.0
O=C(NCO)c1cccnc1,1,0,1.0,5.0,C7H8N2O2,16,chembl,wc,best_from_chembl,5,1.0
O=C(Cc1ccccn1)NO,1,1,0.9951615929603576,9.0,C7H8N2O2,16,chembl,wc,best_from_chembl,6,1.0
Nc1ncccc1CC(=O)O,1,2,0.8901233809948579,57.0,C7H8N2O2,16,chembl,wc,best_from_chembl,7,1.0
Nc1ccccc1C(=O)NO,1,0,1.0,25.0,C7H8N2O2,16,chembl,wc,best_from_chembl,8,1.0
Nc1cccc(CC(=O)O)n1,1,2,0.07998969457241767,2.0,C7H8N2O2,18,chembl,wc,best_from_chembl,9,1.0
Nc1cccc(C(=O)NO)c1,1,3,0.9935128089168632,12.0,C7H8N2O2,18,chembl,wc,best_from_chembl,10,1.0
Nc1ccc(N)c(C(=O)O)c1,1,1,0.35012438893318176,9.0,C7H8N2O2,20,chembl,wc,best_from_chembl,11,1.0
Nc1ccc(CC(=O)O)cn1,1,1,0.8440391421318054,5.0,C7H8N2O2,18,chembl,wc,best_from_chembl,12,1.0
Nc1ccc(C(=O)O)cc1N,1,0,1.0,1.0,C7H8N2O2,18,chembl,wc,best_from_chembl,13,1.0
Nc1ccc(C(=O)O)c(N)c1,1,1,0.9651959538459778,3.0,C7H8N2O2,20,chembl,wc,best_from_chembl,14,1.0
Nc1ccc(C(=O)NO)cc1,1,2,0.965478298466568,84.0,C7H8N2O2,18,chembl,wc,best_from_chembl,15,1.0
Nc1cc(N)cc(C(=O)O)c1,1,0,1.0,1.0,C7H8N2O2,20,chembl,wc,best_from_chembl,16,1.0
Nc1cc(CC(=O)O)ccn1,1,1,0.9937177896499634,71.0,C7H8N2O2,18,chembl,wc,best_from_chembl,17,1.0
NNc1ccc(C(=O)O)cc1,1,0,1.0,2.0,C7H8N2O2,18,chembl,wc,best_from_chembl,18,1.0
NNC(=O)c1ccccc1O,1,0,1.0,2.0,C7H8N2O2,16,chembl,wc,best_from_chembl,19,1.0
NNC(=O)c1cccc(O)c1,1,0,1.0,15.0,C7H8N2O2,18,chembl,wc,best_from_chembl,20,1.0
NNC(=O)c1ccc(O)cc1,1,0,1.0,2.0,C7H8N2O2,18,chembl,wc,best_from_chembl,21,1.0
NNC(=O)C=Cc1ccco1,1,1,0.7638487219810486,2.0,C7H8N2O2,17,chembl,wc,best_from_chembl,22,1.0
NN=Cc1ccc(O)cc1O,1,1,0.96319842338562,1.0,C7H8N2O2,16,chembl,wc,best_from_chembl,23,1.0
NCc1cccc([N+](=O)[O-])c1,1,0,1.0,8.0,C7H8N2O2,24,chembl,wc,best_from_chembl,24,1.0
NC(=O)Nc1ccccc1O,1,1,0.5346274971961975,1.0,C7H8N2O2,16,chembl,wc,best_from_chembl,25,1.0
NC(=NO)c1ccccc1O,1,0,1.0,22.0,C7H8N2O2,16,chembl,wc,best_from_chembl,26,1.0
Cn1ccc(=O)c(C(N)=O)c1,1,2,0.7926623053649919,67.0,C7H8N2O2,21,chembl,wc,best_from_chembl,27,1.0
Cn1cc(C(N)=O)ccc1=O,1,1,0.9939666986465454,19.0,C7H8N2O2,19,chembl,wc,best_from_chembl,28,1.0
Cc1nc(N)ccc1C(=O)O,1,1,0.9726117253303528,65.0,C7H8N2O2,18,chembl,wc,best_from_chembl,29,1.0
Cc1ccc([N+](=O)[O-])cc1N,1,0,1.0,1.0,C7H8N2O2,24,chembl,wc,best_from_chembl,30,1.0
Cc1ccc([N+](=O)[O-])c(N)c1,1,0,1.0,11.0,C7H8N2O2,26,chembl,wc,best_from_chembl,31,1.0
Cc1ccc(N)cc1[N+](=O)[O-],1,0,1.0,2.0,C7H8N2O2,24,chembl,wc,best_from_chembl,32,1.0
Cc1ccc(N)c([N+](=O)[O-])c1,1,0,1.0,1.0,C7H8N2O2,26,chembl,wc,best_from_chembl,33,1.0
Cc1ccc(C(=O)O)c(N)n1,1,1,0.9479007720947266,4.0,C7H8N2O2,20,chembl,wc,best_from_chembl,34,1.0
Cc1cc([N+](=O)[O-])ccc1N,1,0,1.0,1.0,C7H8N2O2,24,chembl,wc,best_from_chembl,35,1.0
