SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,len_smiles,property,dataset,type,method,rank,objective
c1ccc2c(c1)COc1c3cc4c(cc3nn1-2)OCO4,0,11,0.0,-1.0,35,CNS MPO,chembl,wo,best_from_chembl,1,1.0
c1ccc(Cc2nc(CN3CCCC3Cn3cncn3)cs2)cc1,1,5,0.7202169366340628,73.0,36,CNS MPO,chembl,wo,best_from_chembl,2,1.0
O=c1nc(Oc2ccccc2)nc2ncccn12,0,11,0.0,-1.0,27,CNS MPO,chembl,wo,best_from_chembl,3,1.0
O=c1cc(N2CCOCC2)oc2c(-c3ccoc3)csc12,0,11,0.0,-1.0,35,CNS MPO,chembl,wo,best_from_chembl,4,1.0
O=c1c2cc3c(cc2ncn1Cc1ccc(-c2ccccc2)cc1)OCO3,1,4,0.6559745579555478,14.0,43,CNS MPO,chembl,wo,best_from_chembl,5,1.0
O=[N+]([O-])c1cccc(COc2ccccc2CN2CCCCC2)c1,1,1,0.9986059069633484,82.0,41,CNS MPO,chembl,wo,best_from_chembl,6,1.0
O=[N+]([O-])c1ccc(-c2ccc3nnc(C(F)(F)F)n3c2)cc1,1,2,0.999997615815616,18.0,46,CNS MPO,chembl,wo,best_from_chembl,7,1.0
O=C1ON=C2C3CC4CC12CC1(C3)C(=O)ON=C41,0,11,0.0,-1.0,36,CNS MPO,chembl,wo,best_from_chembl,8,1.0
O=C1CCCCCN1SSN1CCCCCC1=O,1,2,0.08546828110622684,3.0,24,CNS MPO,chembl,wo,best_from_chembl,9,1.0
O=C1C=C(N=CC=Cc2ccccc2)c2ccccc2C1=O,0,11,0.0,-1.0,35,CNS MPO,chembl,wo,best_from_chembl,10,1.0
O=C(c1csnn1)N1CCC2(CC1)CN(c1ccccn1)C2,1,3,0.9999774694648522,141.0,37,CNS MPO,chembl,wo,best_from_chembl,11,1.0
O=C(c1ccco1)N1CCOCC2(C1)CN(c1ccccn1)C(=O)CO2,0,11,0.0,-1.0,44,CNS MPO,chembl,wo,best_from_chembl,12,1.0
O=C(c1cc(F)ccc1Br)N1CCN(C(=O)C2CC2)CC1,1,1,0.9999715089797974,96.0,38,CNS MPO,chembl,wo,best_from_chembl,13,1.0
O=C(OCc1ccccc1)n1cc2ccccc2n1,1,1,0.999988317489624,3.0,28,CNS MPO,chembl,wo,best_from_chembl,14,1.0
O=C(N1CCN(Cc2ccc3ccccc3c2)CC1)n1cccn1,1,2,0.9997517513982714,8.0,37,CNS MPO,chembl,wo,best_from_chembl,15,1.0
O=C(CSc1nc(-c2ccccc2)ns1)N1CCOCC1,1,2,0.9998080143970256,75.0,33,CNS MPO,chembl,wo,best_from_chembl,16,1.0
O=C(C=Cc1ccccc1)c1ccc(OCC2=NCCO2)cc1,1,2,0.6652021129443568,12.0,36,CNS MPO,chembl,wo,best_from_chembl,17,1.0
N#Cc1cccc(OC(=O)c2ccc3c(=O)n4c(nc3c2)CCC4)c1,0,11,0.0,-1.0,44,CNS MPO,chembl,wo,best_from_chembl,18,1.0
Cn1c(=O)c2c(cc(-c3cccc4ccccc34)n2C)n(C)c1=O,1,5,0.4782207860905548,31.0,43,CNS MPO,chembl,wo,best_from_chembl,19,1.0
Clc1snnc1CN1CCCCC1Cn1cncn1,1,3,0.6756888147878823,62.0,26,CNS MPO,chembl,wo,best_from_chembl,20,1.0
Clc1ncn2c1Cn1ncnc1-c1cc(-n3ccnc3)ccc1-2,0,11,0.0,-1.0,39,CNS MPO,chembl,wo,best_from_chembl,21,1.0
Cc1nnc2n1CCN(C(=O)c1cn(-c3ccc(F)cc3)nn1)C2,1,3,0.9953189759568432,126.0,42,CNS MPO,chembl,wo,best_from_chembl,22,1.0
Cc1nnc2n1-c1ccc(-c3cncc4ccccc34)cc1CC2,1,3,0.9987117820288844,85.0,38,CNS MPO,chembl,wo,best_from_chembl,23,1.0
Cc1nn(CCOc2ccccc2)c(=O)n1-c1ccc(F)cc1,1,3,0.9976409895436416,6.0,37,CNS MPO,chembl,wo,best_from_chembl,24,1.0
Cc1nccn1CCC(=O)N1CCC2(CCC(=O)N(CC3CC3)C2)CC1,1,6,0.9958568688991812,67.0,44,CNS MPO,chembl,wo,best_from_chembl,25,1.0
Cc1nc(N2CCC3(CCCN(C(C)C)C3=O)C2)c2sccc2n1,1,7,0.9915787666259294,108.0,41,CNS MPO,chembl,wo,best_from_chembl,26,1.0
Cc1ccc(N(CC2CO2)S(=O)(=O)c2ccc(C)cc2)cc1,1,2,0.9970256707129366,3.0,40,CNS MPO,chembl,wo,best_from_chembl,27,1.0
Cc1ccc(C2CN(c3cc(-n4nc(C)nc4C)nc(C)n3)C2)nc1,1,4,0.9958831993026478,53.0,44,CNS MPO,chembl,wo,best_from_chembl,28,1.0
Cc1ccc(C)n2nc(CCc3nc(-c4cccnc4)cn3C)nc12,0,11,0.0,-1.0,40,CNS MPO,chembl,wo,best_from_chembl,29,1.0
Cc1ccc(-n2nncc2-c2ccccn2)cc1,0,11,0.0,-1.0,28,CNS MPO,chembl,wo,best_from_chembl,30,1.0
Cc1ccc(-n2c(SCC3CCCCO3)nnc2-c2ccco2)cc1,1,3,0.9995761562883104,24.0,39,CNS MPO,chembl,wo,best_from_chembl,31,1.0
Cc1cc(N2CCN(c3ccc(F)cc3)CC2)n2cnnc2n1,1,4,0.961405571104622,37.0,37,CNS MPO,chembl,wo,best_from_chembl,32,1.0
C[S+]([O-])CCCCCCCCn1ccnc1,0,11,0.0,-1.0,26,CNS MPO,chembl,wo,best_from_chembl,33,1.0
C[N+]1(CCOP(=O)([O-])OCCOC2CCCCC2)CCOCC1,1,5,0.9806120599624436,29.0,40,CNS MPO,chembl,wo,best_from_chembl,34,1.0
CSCCC(=O)N1CCCN(Cc2cnn(C(C)C)c2)CC1,1,2,0.9584588850417576,84.0,35,CNS MPO,chembl,wo,best_from_chembl,35,1.0
CSCC(=O)N1CCC(c2nccn2Cc2cscn2)CC1,1,5,0.9448824468705396,74.0,33,CNS MPO,chembl,wo,best_from_chembl,36,1.0
CS(=O)(=O)OCCCOS(C)(=O)=O,1,0,1.0,63.0,25,CNS MPO,chembl,wo,best_from_chembl,37,1.0
COc1cccc(OCC2CCCN(C(=O)c3cnn(C)c3)C2)c1,1,1,0.999998927116394,28.0,39,CNS MPO,chembl,wo,best_from_chembl,38,1.0
COc1cccc(CN(C)C(=O)CN2CCN(c3nccn3C)CC2)c1,1,2,0.9975932845157232,76.0,41,CNS MPO,chembl,wo,best_from_chembl,39,1.0
COc1cccc(-n2nnc(-c3nc(-c4ccccc4F)no3)c2C)c1,0,11,0.0,-1.0,43,CNS MPO,chembl,wo,best_from_chembl,40,1.0
COc1cccc(-c2cc(C(F)(F)F)nc(S(C)(=O)=O)n2)c1,1,2,0.9996571604761468,64.0,43,CNS MPO,chembl,wo,best_from_chembl,41,1.0
COc1ccc(Cl)cc1S(=O)(=O)n1nnc2ccccc21,1,1,0.9994307160377502,15.0,36,CNS MPO,chembl,wo,best_from_chembl,42,1.0
COc1ccc(C2SCC(=O)N2c2ncc(C)s2)cc1,1,1,0.9992313385009766,3.0,33,CNS MPO,chembl,wo,best_from_chembl,43,1.0
COc1ccc(C2=Nn3c(nnc3-c3ccncc3)SC2)cc1,1,1,0.9999979734420776,44.0,37,CNS MPO,chembl,wo,best_from_chembl,44,1.0
COc1ccc(-n2nnnc2-c2cn(C)nc2C(F)(F)F)cc1,0,11,0.0,-1.0,39,CNS MPO,chembl,wo,best_from_chembl,45,1.0
COc1ccc(-c2csc(N3CCOCC3)n2)cc1OC,1,1,0.9999986886978148,44.0,32,CNS MPO,chembl,wo,best_from_chembl,46,1.0
COc1cc2c(cc1OC)C(=CC(C)=O)OC2,1,9,0.09149882803860013,18.0,29,CNS MPO,chembl,wo,best_from_chembl,47,1.0
COc1cc2c(cc1OC)-c1cc3ccccc3c(=O)n1CCC2,1,6,0.8952678657174504,17.0,38,CNS MPO,chembl,wo,best_from_chembl,48,1.0
COc1cc2c(cc1OC)-c1cc3cc(OC)c(OC)cc3c[n+]1CC2,0,11,0.0,-1.0,44,CNS MPO,chembl,wo,best_from_chembl,49,1.0
COP1(=O)OCC2COC(=O)C2=C(C)O1,0,11,0.0,-1.0,28,CNS MPO,chembl,wo,best_from_chembl,50,1.0
COC(=O)c1ccc(C=NN2CCN(Cc3ccccc3)CC2)cc1,1,1,0.9996441602706908,69.0,39,CNS MPO,chembl,wo,best_from_chembl,51,1.0
COC(=O)c1cc2c(o1)c1ccccc1n2Cc1ccc(F)cc1,0,11,0.0,-1.0,39,CNS MPO,chembl,wo,best_from_chembl,52,1.0
COC(=O)CCc1nc(-c2ccccc2)no1,1,1,0.9999991655349731,11.0,27,CNS MPO,chembl,wo,best_from_chembl,53,1.0
COC(=O)C1CCN(C(=O)C23CCC(C)(C(=O)O2)C3(C)C)CC1,1,2,0.6549512478050694,8.0,46,CNS MPO,chembl,wo,best_from_chembl,54,1.0
COC(=O)C1=C(C)N(c2ccc(C)cc2)C(=Cc2cccs2)C1=O,0,11,0.0,-1.0,44,CNS MPO,chembl,wo,best_from_chembl,55,1.0
COC(=O)C1(CCCCl)CCCN1C(=O)OC(C)(C)C,1,4,0.8388936538401771,11.0,35,CNS MPO,chembl,wo,best_from_chembl,56,1.0
CN1CCC(N(C)Cc2ccccc2[N+](=O)[O-])CC1,1,1,0.9998710155487059,58.0,36,CNS MPO,chembl,wo,best_from_chembl,57,1.0
