SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,property,len_smiles,dataset,type,method,rank,objective
O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccccn1,1,1,0.9999673366546632,2.0,CNS MPO,37,moses,wa,best_from_chembl,1,1.0
O=C1CCCN1S(=O)(=O)c1ccc(Cl)cc1,1,1,0.9364727139472958,85.0,CNS MPO,30,moses,wa,best_from_chembl,2,1.0
O=C(c1ccccn1)N1CCN(C(=O)c2ccccn2)CC1,1,2,0.9901989696419022,21.0,CNS MPO,36,moses,wa,best_from_chembl,3,1.0
O=C(c1cccc(C(=O)N2CCCC2)c1)N1CCCC1,1,1,0.9999510049819946,3.0,CNS MPO,34,moses,wa,best_from_chembl,4,1.0
O=C(c1ccc2c(c1)OCO2)N(Cc1ccccc1)c1ccccn1,1,1,0.9999318122863772,26.0,CNS MPO,40,moses,wa,best_from_chembl,5,1.0
O=C(Cc1ccccc1)c1ccccc1C(=O)N1CCOCC1,1,2,0.9344281344878418,3.0,CNS MPO,35,moses,wa,best_from_chembl,6,1.0
O=C(CN1CCCC1=O)N1CCN(c2cccc(Cl)c2)CC1,1,1,0.9997466206550598,89.0,CNS MPO,37,moses,wa,best_from_chembl,7,1.0
Fc1ccccc1CSc1nnnn1-c1ccc2c(c1)OCO2,1,2,0.9999924898147584,48.0,CNS MPO,34,moses,wa,best_from_chembl,8,1.0
Cn1c(=O)oc2ccc(C(=O)c3ccccc3)cc21,1,3,0.8379769886922255,71.0,CNS MPO,33,moses,wa,best_from_chembl,9,1.0
Clc1ccccc1-c1nc(-c2ccncc2)no1,1,1,0.9999982118606568,9.0,CNS MPO,29,moses,wa,best_from_chembl,10,1.0
Cc1nnc(SCc2nnc(-c3ccccc3)o2)s1,1,1,0.9998648166656494,78.0,CNS MPO,30,moses,wa,best_from_chembl,11,1.0
Cc1cccnc1-n1c(C)nc2ccccc2c1=O,1,3,0.14589758223286395,19.0,CNS MPO,29,moses,wa,best_from_chembl,12,1.0
Cc1cc(N2CCN(S(C)(=O)=O)CC2)ncn1,1,1,0.9997047781944276,50.0,CNS MPO,31,moses,wa,best_from_chembl,13,1.0
Cc1c(C#N)c2ccccc2n1CC(=O)N1CCOCC1,1,2,0.966688538687734,67.0,CNS MPO,33,moses,wa,best_from_chembl,14,1.0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,1,0,1.0,100.0,CNS MPO,42,moses,wa,best_from_chembl,15,1.0
CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,1,2,0.9976199472841358,53.0,CNS MPO,34,moses,wa,best_from_chembl,16,1.0
CS(=O)(=O)N1CCN(c2cccc(Cl)c2)CC1,1,1,0.9946503043174744,1.0,CNS MPO,32,moses,wa,best_from_chembl,17,1.0
CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1,1,1,0.9994422793388368,3.0,CNS MPO,31,moses,wa,best_from_chembl,18,1.0
COc1ccnc(N2CCN(C(=O)c3cccs3)CC2)n1,1,1,0.9999905824661256,43.0,CNS MPO,34,moses,wa,best_from_chembl,19,1.0
COc1ccnc(N2CCN(C(=O)c3ccco3)CC2)n1,1,1,0.9999942779541016,43.0,CNS MPO,34,moses,wa,best_from_chembl,20,1.0
COc1ccnc(N2CCN(C(=O)c3ccccn3)CC2)n1,1,1,0.9999996423721312,52.0,CNS MPO,35,moses,wa,best_from_chembl,21,1.0
COc1ccnc(N2CCN(C(=O)c3ccccc3)CC2)n1,1,1,0.99999737739563,20.0,CNS MPO,35,moses,wa,best_from_chembl,22,1.0
COc1ccccc1OC(=O)c1ccccc1OC(C)=O,1,1,0.9992129802703856,7.0,CNS MPO,31,moses,wa,best_from_chembl,23,1.0
COc1ccccc1OC(=O)Oc1ccccc1OC,1,0,1.0,3.0,CNS MPO,27,moses,wa,best_from_chembl,24,1.0
COc1ccccc1N1CCN(S(C)(=O)=O)CC1,1,1,0.9999587535858154,3.0,CNS MPO,30,moses,wa,best_from_chembl,25,1.0
COc1ccccc1N1CCN(S(=O)(=O)c2ccc(C)cc2)CC1,1,1,0.9999516010284424,2.0,CNS MPO,40,moses,wa,best_from_chembl,26,1.0
COc1ccccc1N1CCN(S(=O)(=O)Cc2ccccc2)CC1,1,1,0.9997509121894836,3.0,CNS MPO,38,moses,wa,best_from_chembl,27,1.0
COc1cccc(OC)c1C(=O)N1CCOCC1,1,1,0.9665712714195251,2.0,CNS MPO,27,moses,wa,best_from_chembl,28,1.0
COc1cccc(OC)c1C(=O)N1CCN(c2ccc(F)cc2)CC1,1,1,0.9999178647994996,11.0,CNS MPO,40,moses,wa,best_from_chembl,29,1.0
COc1ccc(S(=O)(=O)N2CCc3ccccc3C2)cc1OC,1,1,0.999360740184784,10.0,CNS MPO,37,moses,wa,best_from_chembl,30,1.0
COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1OC,1,1,0.9990031123161316,10.0,CNS MPO,36,moses,wa,best_from_chembl,31,1.0
COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1,1,1,0.9999511241912842,3.0,CNS MPO,34,moses,wa,best_from_chembl,32,1.0
COc1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1OC,1,1,0.9984034895896912,10.0,CNS MPO,37,moses,wa,best_from_chembl,33,1.0
COc1ccc(S(=O)(=O)N2CCCC(C)C2)cc1,1,1,0.999991536140442,4.0,CNS MPO,32,moses,wa,best_from_chembl,34,1.0
COc1ccc(S(=O)(=O)N(C)Cc2ccccc2)cc1,1,1,0.9994031190872192,3.0,CNS MPO,34,moses,wa,best_from_chembl,35,1.0
COc1ccc(S(=O)(=O)N(C)C2CCCCC2)cc1,1,1,0.9998216032981871,3.0,CNS MPO,33,moses,wa,best_from_chembl,36,1.0
COc1ccc(CN2Cc3ncccc3C2=O)cc1,1,2,0.9948837718720256,58.0,CNS MPO,28,moses,wa,best_from_chembl,37,1.0
COc1ccc(-c2nnc(C)nc2-c2ccc(OC)cc2)cc1,0,11,0.0,-1.0,CNS MPO,37,moses,wa,best_from_chembl,38,1.0
COc1ccc(-c2cnc3c(-c4cccnc4)cnn3c2)cc1,1,4,0.9619950715324034,23.0,CNS MPO,37,moses,wa,best_from_chembl,39,1.0
COc1cc2ncc(-c3ccccc3)nc2cc1OC,1,1,0.9993941783905028,78.0,CNS MPO,29,moses,wa,best_from_chembl,40,1.0
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,1,1,0.9997950196266174,3.0,CNS MPO,31,moses,wa,best_from_chembl,41,1.0
COc1cc(C(=O)N(C)Cc2ccccc2)cc(OC)c1OC,1,1,0.9948199391365052,3.0,CNS MPO,36,moses,wa,best_from_chembl,42,1.0
COC(=O)c1ccn(COc2ccccc2Cl)n1,1,2,0.1076017569074672,10.0,CNS MPO,28,moses,wa,best_from_chembl,43,1.0
COC(=O)C1CCN(C(=O)c2ccccc2OC(C)=O)CC1,1,1,0.9998791217803956,8.0,CNS MPO,37,moses,wa,best_from_chembl,44,1.0
COC(=O)C1CCN(C(=O)c2cccc(OC)c2)CC1,1,1,0.9998108744621276,5.0,CNS MPO,34,moses,wa,best_from_chembl,45,1.0
COC(=O)C1CCN(C(=O)c2cccc(C)c2)CC1,1,1,0.9997898936271667,3.0,CNS MPO,33,moses,wa,best_from_chembl,46,1.0
COC(=O)C1CCN(C(=O)c2cccc(Br)c2)CC1,1,1,0.9999839067459106,4.0,CNS MPO,34,moses,wa,best_from_chembl,47,1.0
COC(=O)C1CCN(C(=O)c2ccc(OC(C)=O)cc2)CC1,1,1,0.9967532753944396,3.0,CNS MPO,39,moses,wa,best_from_chembl,48,1.0
COC(=O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1,1,1,0.9978176355361938,3.0,CNS MPO,34,moses,wa,best_from_chembl,49,1.0
COC(=O)C1CCN(C(=O)c2ccc(C)c(C)c2)CC1,1,1,0.999053418636322,4.0,CNS MPO,36,moses,wa,best_from_chembl,50,1.0
COC(=O)C1CCN(C(=O)c2ccc(-c3ccccc3)cc2)CC1,1,1,0.9999098777770996,4.0,CNS MPO,41,moses,wa,best_from_chembl,51,1.0
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1,4,0.9452333082825596,9.0,CNS MPO,38,moses,wa,best_from_chembl,52,1.0
CN(C)c1ncnc2c1ncn2Cc1ccccc1,1,2,0.9432000032321568,4.0,CNS MPO,27,moses,wa,best_from_chembl,53,1.0
CN(C)S(=O)(=O)N1CCN(c2ncccn2)CC1,1,1,0.999942421913147,56.0,CNS MPO,32,moses,wa,best_from_chembl,54,1.0
CN(C)S(=O)(=O)N1CCN(c2ccccc2)CC1,1,1,0.9989792704582214,55.0,CNS MPO,32,moses,wa,best_from_chembl,55,1.0
CN(C)S(=O)(=O)N1CCN(c2ccc(F)cc2)CC1,1,1,0.999147653579712,4.0,CNS MPO,35,moses,wa,best_from_chembl,56,1.0
CN(C)S(=O)(=O)N1CCC(Cc2ccccc2)CC1,1,1,0.9999310970306396,3.0,CNS MPO,33,moses,wa,best_from_chembl,57,1.0
CN(C(=O)c1ccc(F)cc1)c1ccccc1C(=O)N1CCOCC1,1,2,0.9927332168812908,8.0,CNS MPO,41,moses,wa,best_from_chembl,58,1.0
CCn1nc(-c2cccnc2)c2ccccc2c1=O,1,2,0.9970170626024526,56.0,CNS MPO,29,moses,wa,best_from_chembl,59,1.0
CCOc1ccc(-n2c(C)nc3ccccc3c2=O)cc1,1,5,0.305821148554812,7.0,CNS MPO,33,moses,wa,best_from_chembl,60,1.0
