SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,property,len_smiles,dataset,type,method,rank,objective
O=C(NCCO)c1sccc1Br,1,1,0.9998642206192015,16.0,C7H8N2O2,18,moses,wc,best_from_chembl,1,0.8824969025845955
O=C(NCCO)c1cc(Br)cs1,1,1,0.9995667338371276,9.0,C7H8N2O2,20,moses,wc,best_from_chembl,2,0.8824969025845955
NS(=O)(=O)Cc1ccccc1Br,1,1,0.9831013083457948,79.0,C7H8N2O2,21,moses,wc,best_from_chembl,3,0.8824969025845955
NS(=O)(=O)Cc1cccc(Br)c1,1,1,0.9970474839210508,41.0,C7H8N2O2,23,moses,wc,best_from_chembl,4,0.8824969025845955
NS(=O)(=O)Cc1ccc(Br)cc1,1,1,0.9903892874717712,67.0,C7H8N2O2,23,moses,wc,best_from_chembl,5,0.8824969025845955
NCC(=O)OCc1cc(Br)cs1,1,2,0.9576592388928588,59.0,C7H8N2O2,20,moses,wc,best_from_chembl,6,0.8824969025845955
Cc1cccc(S(N)(=O)=O)c1Br,1,2,0.9741467171149764,6.0,C7H8N2O2,23,moses,wc,best_from_chembl,7,0.8824969025845955
Cc1ccc(S(N)(=O)=O)cc1Br,1,1,0.2164858430624008,1.0,C7H8N2O2,23,moses,wc,best_from_chembl,8,0.8824969025845955
Cc1ccc(S(N)(=O)=O)c(Br)c1,1,2,0.9672162301510844,3.0,C7H8N2O2,25,moses,wc,best_from_chembl,9,0.8824969025845955
Cc1ccc(Br)cc1S(N)(=O)=O,1,1,0.9976481795310974,64.0,C7H8N2O2,23,moses,wc,best_from_chembl,10,0.8824969025845955
Cc1ccc(Br)c(S(N)(=O)=O)c1,1,1,0.11271879076957705,1.0,C7H8N2O2,25,moses,wc,best_from_chembl,11,0.8824969025845955
Cc1cc(S(N)(=O)=O)ccc1Br,1,0,1.0,67.0,C7H8N2O2,23,moses,wc,best_from_chembl,12,0.8824969025845955
Cc1cc(Br)ccc1S(N)(=O)=O,1,1,0.8169147968292236,1.0,C7H8N2O2,23,moses,wc,best_from_chembl,13,0.8824969025845955
Cc1cc(Br)cc(S(N)(=O)=O)c1,1,1,0.9975157976150512,80.0,C7H8N2O2,25,moses,wc,best_from_chembl,14,0.8824969025845955
Cc1c(Br)cccc1S(N)(=O)=O,1,2,0.8956243812888118,4.0,C7H8N2O2,23,moses,wc,best_from_chembl,15,0.8824969025845955
CS(=O)(=O)c1ccc(N)c(Br)c1,1,0,1.0,61.0,C7H8N2O2,25,moses,wc,best_from_chembl,16,0.8824969025845955
CS(=O)(=O)c1ccc(Br)cc1N,1,1,0.991101622581482,76.0,C7H8N2O2,23,moses,wc,best_from_chembl,17,0.8824969025845955
CS(=O)(=O)c1ccc(Br)c(N)c1,1,1,0.994746208190918,21.0,C7H8N2O2,25,moses,wc,best_from_chembl,18,0.8824969025845955
CS(=O)(=O)c1cc(N)ccc1Br,1,1,0.4497946500778198,18.0,C7H8N2O2,23,moses,wc,best_from_chembl,19,0.8824969025845955
CS(=O)(=O)c1cc(N)cc(Br)c1,1,2,0.3165354824742206,38.0,C7H8N2O2,25,moses,wc,best_from_chembl,20,0.8824969025845955
CS(=O)(=O)c1cc(Br)ccc1N,1,1,0.25391125679016113,19.0,C7H8N2O2,23,moses,wc,best_from_chembl,21,0.8824969025845955
CS(=O)(=O)Nc1ccccc1Br,1,0,1.0,49.0,C7H8N2O2,21,moses,wc,best_from_chembl,22,0.8824969025845955
CS(=O)(=O)Nc1cccc(Br)c1,1,0,1.0,36.0,C7H8N2O2,23,moses,wc,best_from_chembl,23,0.8824969025845955
CS(=O)(=O)Nc1ccc(Br)cc1,1,0,1.0,5.0,C7H8N2O2,23,moses,wc,best_from_chembl,24,0.8824969025845955
COC(=O)c1sc(C)c(Br)c1N,1,7,0.12675157567678094,89.0,C7H8N2O2,22,moses,wc,best_from_chembl,25,0.8824969025845955
COC(=O)c1nc(SC)ncc1Br,1,0,1.0,27.0,C7H8N2O2,21,moses,wc,best_from_chembl,26,0.8824969025845955
COC(=O)CSc1ncc(Br)cn1,1,2,0.9972867695120228,4.0,C7H8N2O2,21,moses,wc,best_from_chembl,27,0.8824969025845955
CNS(=O)(=O)c1ccccc1Br,1,0,1.0,56.0,C7H8N2O2,21,moses,wc,best_from_chembl,28,0.8824969025845955
CNS(=O)(=O)c1cccc(Br)c1,1,1,0.9992559552192688,5.0,C7H8N2O2,23,moses,wc,best_from_chembl,29,0.8824969025845955
CNS(=O)(=O)c1ccc(Br)cc1,1,0,1.0,19.0,C7H8N2O2,23,moses,wc,best_from_chembl,30,0.8824969025845955
CNC(=O)C(O)c1cc(Br)cs1,1,1,0.8526026010513306,7.0,C7H8N2O2,22,moses,wc,best_from_chembl,31,0.8824969025845955
CCS(=O)(=O)c1ncccc1Br,1,2,0.9780038824087356,5.0,C7H8N2O2,21,moses,wc,best_from_chembl,32,0.8824969025845955
CCOc1ncc(Br)c(N)c1Br,1,1,0.9472219347953796,35.0,C7H8N2O2,20,moses,wc,best_from_chembl,33,0.8824969025845955
CCOc1nc(N)c(Br)cc1Br,1,1,0.95333594083786,79.0,C7H8N2O2,20,moses,wc,best_from_chembl,34,0.8824969025845955
O=c1c(Cl)cc(Br)cn1CCO,1,1,0.99952232837677,27.0,C7H8N2O2,21,moses,wc,best_from_chembl,35,0.8187307530779818
O=c1c(Br)cc(Br)cn1CCO,1,1,0.9975268244743348,29.0,C7H8N2O2,21,moses,wc,best_from_chembl,36,0.8187307530779818
Nc1cccc(Br)c1S(N)(=O)=O,1,2,0.8556453708633676,2.0,C7H8N2O2,23,moses,wc,best_from_chembl,37,0.8187307530779818
Nc1ccc(S(N)(=O)=O)cc1Br,1,1,0.801361620426178,1.0,C7H8N2O2,23,moses,wc,best_from_chembl,38,0.8187307530779818
Nc1ccc(Br)cc1S(N)(=O)=O,1,0,1.0,34.0,C7H8N2O2,23,moses,wc,best_from_chembl,39,0.8187307530779818
