SMILES,tb_synthesizability,tb_depth,tb_plausibility,tb_price,property,len_smiles,dataset,type,method,rank,objective
O=c1onc2n1-c1cc(Br)ccc1OC2,0,11,0.0,-1.0,CNS MPO,26,moses,wo,best_from_chembl,1,1.0
O=c1c2ccccc2oc2nc3n(c(=O)c12)CCCS3,0,11,0.0,-1.0,CNS MPO,34,moses,wo,best_from_chembl,2,1.0
O=c1c2ccccc2c(-c2cccnc2)nn1CCn1ccnc1,1,4,0.9807529556856814,10.0,CNS MPO,36,moses,wo,best_from_chembl,3,1.0
O=c1c2cc(Cl)ccc2oc2nc3n(c(=O)c12)CCCS3,0,11,0.0,-1.0,CNS MPO,38,moses,wo,best_from_chembl,4,1.0
O=C1c2ccccc2-c2c3c(cc4ccnc1c24)OCO3,1,8,0.9839042227324536,16.0,CNS MPO,35,moses,wo,best_from_chembl,5,1.0
O=C1OC(C2OC(=O)c3ccccc32)c2ccccc21,1,2,0.4324965437766366,5.0,CNS MPO,34,moses,wo,best_from_chembl,6,1.0
O=C1N=C(N2CCOCC2)CN1c1ccc(Cl)cc1,1,2,0.9409302752719562,3.0,CNS MPO,32,moses,wo,best_from_chembl,7,1.0
O=C1CCCN1S(=O)(=O)c1ccc(Cl)cc1,1,1,0.9364727139472958,85.0,CNS MPO,30,moses,wo,best_from_chembl,8,1.0
O=C(c1ccccn1)c1cnn2c(-c3ccncc3)ccnc12,1,2,0.9999781847736244,62.0,CNS MPO,37,moses,wo,best_from_chembl,9,1.0
O=C(c1ccccn1)N1CCN(C(=O)c2ccccn2)CC1,1,2,0.9901989696419022,21.0,CNS MPO,36,moses,wo,best_from_chembl,10,1.0
O=C(c1cccc(C(=O)N2CCCC2)c1)N1CCCC1,1,1,0.9999510049819946,3.0,CNS MPO,34,moses,wo,best_from_chembl,11,1.0
O=C(CN1CCCC1=O)N1CCN(c2cccc(Cl)c2)CC1,1,1,0.9997466206550598,89.0,CNS MPO,37,moses,wo,best_from_chembl,12,1.0
O=C(C1CCCN1C(=O)OCc1ccccc1)N1CCCC1,1,1,0.9986156225204468,4.0,CNS MPO,34,moses,wo,best_from_chembl,13,1.0
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,1,0,1.0,2.0,CNS MPO,37,moses,wo,best_from_chembl,14,1.0
O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3C2C1,1,4,0.1387137723344311,7.0,CNS MPO,38,moses,wo,best_from_chembl,15,1.0
Fc1ccccc1CSc1nnnn1-c1ccc2c(c1)OCO2,1,2,0.9999924898147584,48.0,CNS MPO,34,moses,wo,best_from_chembl,16,1.0
Cn1c(=O)oc2ccc(C(=O)c3ccccc3)cc21,1,3,0.8379769886922255,71.0,CNS MPO,33,moses,wo,best_from_chembl,17,1.0
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,1,0,1.0,29.0,CNS MPO,33,moses,wo,best_from_chembl,18,1.0
Clc1ccccc1-c1nc(-c2ccncc2)no1,1,1,0.9999982118606568,9.0,CNS MPO,29,moses,wo,best_from_chembl,19,1.0
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,1,2,0.9858109915258382,28.0,CNS MPO,36,moses,wo,best_from_chembl,20,1.0
Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,1,2,0.9989746036325188,3.0,CNS MPO,33,moses,wo,best_from_chembl,21,1.0
Cc1nnc2sc(COc3ccc(Cl)cc3)nn2c1=O,1,2,0.9994926971923944,10.0,CNS MPO,32,moses,wo,best_from_chembl,22,1.0
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,1,2,0.9935598457845884,48.0,CNS MPO,39,moses,wo,best_from_chembl,23,1.0
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1,0,1.0,40.0,CNS MPO,37,moses,wo,best_from_chembl,24,1.0
Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C,0,11,0.0,-1.0,CNS MPO,35,moses,wo,best_from_chembl,25,1.0
